代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,106,Y1,1.5,107/06/22,106/01/01~106/12/31,股東會確認,1.5,1.0,424050901
1102,亞泥,106,Y1,1.2,107/06/26,106/01/01~106/12/31,股東會確認,1.2,0.0,0
1103,嘉泥,106,Y1,0.5,107/06/21,106/01/01~106/12/31,股東會確認,0.5,0.0,0
1104,環泥,106,Y1,1.1,107/06/14,106/01/01~106/12/31,股東會確認,1.1,0.0,0
1108,幸福,106,Y1,0.0,107/06/15,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1109,信大,106,Y1,0.1,107/06/21,106/01/01~106/12/31,股東會確認,0.1,0.0,0
1110,東泥,106,Y1,0.1,107/06/22,106/01/01~106/12/31,股東會確認,0.1,0.0,0
1201,味全,106,Y1,0.0,107/06/27,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1203,味王,106,Y1,1.3,107/06/26,106/01/01~106/12/31,股東會確認,1.3,0.0,0
1210,大成,106,Y1,2.0,107/06/15,106/01/01~106/12/31,股東會確認,2.0,0.7,51547607
1213,大飲,106,Y1,0.0,107/05/29,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1215,卜蜂,106,Y1,3.0,107/06/13,106/01/01~106/12/31,股東會確認,3.0,0.0,0
1216,統一,106,Y1,5.5,107/06/20,106/01/01~106/12/31,股東會確認,5.5,0.0,0
1217,愛之味,106,Y1,0.0,107/06/26,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1218,泰山,106,Y1,0.4,107/06/27,106/01/01~106/12/31,股東會確認,0.4,0.0,0
1219,福壽,106,Y1,0.3,107/06/27,106/01/01~106/12/31,股東會確認,0.3,0.0,0
1220,台榮,106,Y1,0.4,107/06/29,106/01/01~106/12/31,股東會確認,0.4,0.0,0
1225,福懋油,106,Y1,1.25,107/06/26,106/01/01~106/12/31,股東會確認,1.25,0.0,0
1227,佳格,106,Y1,2.0,107/06/15,106/01/01~106/12/31,股東會確認,2.0,0.0,0
1229,聯華,106,Y1,1.8,107/06/26,106/01/01~106/12/31,股東會確認,1.8,1.0,95648471
1231,聯華食,106,Y1,1.4,107/06/27,106/01/01~106/12/31,股東會確認,1.4,0.4,6395436
1232,大統益,106,Y1,5.0,107/06/13,106/01/01~106/12/31,股東會確認,5.0,0.0,0
1233,天仁,106,Y1,2.25,107/06/11,106/01/01~106/12/31,股東會確認,2.25,0.0,0
1234,黑松,106,Y1,1.5,107/06/22,106/01/01~106/12/31,股東會確認,1.5,0.0,0
1235,興泰,106,Y1,0.0,107/06/25,106/01/01~106/12/31,股東會確認,0.0,4.5,27298051
1236,宏亞,106,Y1,0.1,107/06/20,106/01/01~106/12/31,股東會確認,0.1,0.0,0
1240,茂生農經,106,Y1,2.5,107/06/22,106/01/01~106/12/31,股東會確認,2.5,0.0,0
1256,鮮活果汁-KY,106,Y1,5.0,107/05/28,106/01/01~106/12/31,股東會確認,5.0,0.0,0
1259,安心,106,Y1,3.5,107/06/05,106/01/01~106/12/31,股東會確認,3.5,0.0,0
1264,德麥,106,Y1,10.5,107/05/30,106/01/01~106/12/31,股東會確認,10.5,0.0,0
1268,漢來美食,106,Y1,6.6,107/05/30,106/01/01~106/12/31,股東會確認,6.6,0.3,1139730
1301,台塑,106,Y1,5.7,107/06/20,106/01/01~106/12/31,股東會確認,5.7,0.0,0
1303,南亞,106,Y1,5.1,107/06/19,106/01/01~106/12/31,股東會確認,5.1,0.0,0
1304,台聚,106,Y1,0.3,107/06/05,106/01/01~106/12/31,股東會確認,0.3,0.2,23309088
1305,華夏,106,Y1,1.5,107/06/22,106/01/01~106/12/31,股東會確認,1.5,0.3,14759986
1307,三芳,106,Y1,1.7,107/06/12,106/01/01~106/12/31,股東會確認,1.7,0.0,0
1308,亞聚,106,Y1,0.2,107/06/05,106/01/01~106/12/31,股東會確認,0.2,0.7,36268030
1309,台達化,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
