代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.3,16856366706.0,0.7,357559293.0
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.3,16856366706.0,0.7,357559293.0
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,18219178.0,0.0,0.0
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,18219178.0,0.0,0.0
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.3,16856366706.0,0.7,357559293.0
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,18219178.0,0.0,0.0
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,18219178.0,0.0,0.0
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.3,16856366706.0,0.7,357559293.0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.8,9412052154.0,0.0,0.0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.8,9412052154.0,0.0,0.0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.8,9412052154.0,0.0,0.0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.8,9412052154.0,0.0,0.0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.0,771780548.0,0.0,0.0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.0,771780548.0,0.0,0.0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.0,771780548.0,0.0,0.0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.0,771780548.0,0.0,0.0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.0,653609192.0,0.0,0.0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.0,653609192.0,0.0,0.0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.0,653609192.0,0.0,0.0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.0,653609192.0,0.0,0.0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.8,273566294.0,0.0,0.0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.8,273566294.0,0.0,0.0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.8,273566294.0,0.0,0.0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.8,273566294.0,0.0,0.0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.1,57200079.0,0.0,0.0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.1,57200079.0,0.0,0.0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.1,57200079.0,0.0,0.0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.1,57200079.0,0.0,0.0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.8,404850331.0,0.0,0.0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.8,404850331.0,0.0,0.0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.8,404850331.0,0.0,0.0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.8,404850331.0,0.0,0.0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,240000000.0,0.0,0.0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,240000000.0,0.0,0.0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,240000000.0,0.0,0.0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,240000000.0,0.0,0.0
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.5,1181912980.0,0.5,39397099.0
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.5,1181912980.0,0.5,39397099.0
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.5,1181912980.0,0.5,39397099.0
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.5,1181912980.0,0.5,39397099.0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,0.0,0.0,0.0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,0.0,0.0,0.0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,0.0,0.0,0.0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,0.0,0.0,0.0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.0,803972994.0,0.0,0.0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.0,803972994.0,0.0,0.0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.0,803972994.0,0.0,0.0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.0,803972994.0,0.0,0.0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.5,14205038553.0,0.0,0.0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.5,14205038553.0,0.0,0.0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.5,14205038553.0,0.0,0.0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.5,14205038553.0,0.0,0.0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,0.0,0.0,0.0
1218,泰山,107,Y1,108/05/23,107/01/01~107/12/31,股東會確認,0.8,399999230.0,0.0,0.0
1218,泰山,107,Y1,108/05/23,107/01/01~107/12/31,股東會確認,0.8,399999230.0,0.0,0.0
1218,泰山,107,Y1,108/05/23,107/01/01~107/12/31,股東會確認,0.8,399999230.0,0.0,0.0
1218,泰山,107,Y1,108/05/23,107/01/01~107/12/31,股東會確認,0.8,399999230.0,0.0,0.0
1219,福壽,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.1,32201389.0,0.0,0.0
1219,福壽,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.1,32201389.0,0.0,0.0
1219,福壽,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.1,32201389.0,0.0,0.0
1219,福壽,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.1,32201389.0,0.0,0.0
1220,台榮,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.46,81455854.0,0.0,0.0
1220,台榮,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.46,81455854.0,0.0,0.0
1220,台榮,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.46,81455854.0,0.0,0.0
1220,台榮,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,0.46,81455854.0,0.0,0.0
1225,福懋油,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,1.15,251508509.0,0.0,0.0
1225,福懋油,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,1.15,251508509.0,0.0,0.0
1225,福懋油,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,1.15,251508509.0,0.0,0.0
1225,福懋油,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,1.15,251508509.0,0.0,0.0
1227,佳格,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.5,2287723978.0,0.0,0.0
1227,佳格,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.5,2287723978.0,0.0,0.0
1227,佳格,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.5,2287723978.0,0.0,0.0
1227,佳格,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.5,2287723978.0,0.0,0.0
1229,聯華,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.6,1683413091.0,0.5,52606659.0
1229,聯華,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.6,1683413091.0,0.5,52606659.0
1229,聯華,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.6,1683413091.0,0.5,52606659.0
1229,聯華,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.6,1683413091.0,0.5,52606659.0
1231,聯華食,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.8,299306397.0,0.5,8314066.0
1231,聯華食,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.8,299306397.0,0.5,8314066.0
1231,聯華食,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.8,299306397.0,0.5,8314066.0
1231,聯華食,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.8,299306397.0,0.5,8314066.0
1232,大統益,107,Y1,108/06/11,107/01/01~107/12/31,股東會確認,5.0,799874575.0,0.0,0.0
1232,大統益,107,Y1,108/06/11,107/01/01~107/12/31,股東會確認,5.0,799874575.0,0.0,0.0
1232,大統益,107,Y1,108/06/11,107/01/01~107/12/31,股東會確認,5.0,799874575.0,0.0,0.0
1232,大統益,107,Y1,108/06/11,107/01/01~107/12/31,股東會確認,5.0,799874575.0,0.0,0.0
1233,天仁,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,1.9,172124701.0,0.0,0.0
1233,天仁,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,1.9,172124701.0,0.0,0.0
