代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,108,Q1,4898817.0
1101,台泥,108,Q4,28871269.0
1101,台泥,108,Q3,17688398.0
1101,台泥,108,Q2,13235196.0
1102,亞泥,108,Q3,28496226.0
1102,亞泥,108,Q1,6284976.0
1102,亞泥,108,Q4,37271901.0
1102,亞泥,108,Q2,14830427.0
1103,嘉泥,108,Q4,161520.0
1103,嘉泥,108,Q2,98670.0
1103,嘉泥,108,Q3,20360.0
1103,嘉泥,108,Q1,14428.0
1104,環泥,108,Q4,749877.0
1104,環泥,108,Q2,104284.0
1104,環泥,108,Q3,522422.0
1104,環泥,108,Q1,16455.0
1108,幸福,108,Q3,106067.0
1108,幸福,108,Q1,31733.0
1108,幸福,108,Q4,262747.0
1108,幸福,108,Q2,56173.0
1109,信大,108,Q1,227520.0
1109,信大,108,Q2,959527.0
1109,信大,108,Q4,2138329.0
1109,信大,108,Q3,1376868.0
1110,東泥,108,Q3,34384.0
1110,東泥,108,Q1,75654.0
1110,東泥,108,Q2,81013.0
1110,東泥,108,Q4,177772.0
1201,味全,108,Q1,457953.0
1201,味全,108,Q4,1428433.0
1201,味全,108,Q2,63191.0
1201,味全,108,Q3,569950.0
1203,味王,108,Q2,123716.0
1203,味王,108,Q4,445126.0
1203,味王,108,Q3,266175.0
1203,味王,108,Q1,79098.0
1210,大成,108,Q1,1704857.0
1210,大成,108,Q4,5521975.0
1210,大成,108,Q2,1888593.0
1210,大成,108,Q3,3213065.0
1213,大飲,108,Q4,67444.0
1213,大飲,108,Q2,75309.0
1213,大飲,108,Q1,74790.0
1213,大飲,108,Q3,79191.0
1215,卜蜂,108,Q4,1960317.0
1215,卜蜂,108,Q1,379933.0
1215,卜蜂,108,Q2,719443.0
1215,卜蜂,108,Q3,915910.0
1216,統一,108,Q3,48668746.0
1216,統一,108,Q2,24078270.0
1216,統一,108,Q1,9217523.0
1216,統一,108,Q4,58871291.0
1217,愛之味,108,Q4,213163.0
1217,愛之味,108,Q1,276622.0
1217,愛之味,108,Q2,212875.0
1217,愛之味,108,Q3,186056.0
1218,泰山,108,Q2,27444.0
1218,泰山,108,Q1,341045.0
1218,泰山,108,Q4,361193.0
1218,泰山,108,Q3,141799.0
1219,福壽,108,Q4,111569.0
1219,福壽,108,Q1,122886.0
1219,福壽,108,Q2,170684.0
1219,福壽,108,Q3,2299.0
1220,台榮,108,Q4,188357.0
1220,台榮,108,Q3,130109.0
1220,台榮,108,Q2,99693.0
1220,台榮,108,Q1,135749.0
1225,福懋油,108,Q3,32165.0
1225,福懋油,108,Q1,262028.0
1225,福懋油,108,Q4,411734.0
1225,福懋油,108,Q2,116132.0
1227,佳格,108,Q3,4388705.0
1227,佳格,108,Q4,5026474.0
1227,佳格,108,Q2,2029674.0
1227,佳格,108,Q1,754889.0
1229,聯華,108,Q4,2821391.0
1229,聯華,108,Q1,203710.0
1229,聯華,108,Q2,1095872.0
1229,聯華,108,Q3,2407257.0
1231,聯華食,108,Q2,224933.0
1231,聯華食,108,Q1,19441.0
1231,聯華食,108,Q4,250589.0
1231,聯華食,108,Q3,351161.0
1232,大統益,108,Q1,693354.0
1232,大統益,108,Q4,1122600.0
1232,大統益,108,Q3,497423.0
1232,大統益,108,Q2,138368.0
1233,天仁,108,Q4,313431.0
1233,天仁,108,Q2,167776.0
1233,天仁,108,Q3,209059.0
1233,天仁,108,Q1,69630.0
1234,黑松,108,Q2,8768.0
1234,黑松,108,Q1,1087.0
1234,黑松,108,Q3,515729.0
1234,黑松,108,Q4,1222270.0
1235,興泰,108,Q4,41647.0
1235,興泰,108,Q1,18408.0
1235,興泰,108,Q3,53817.0
1235,興泰,108,Q2,15320.0
1236,宏亞,108,Q4,140706.0
1236,宏亞,108,Q3,138103.0
1236,宏亞,108,Q1,20968.0
1236,宏亞,108,Q2,80197.0
1240,茂生農經,108,Q2,90316.0
1240,茂生農經,108,Q1,3465.0
1240,茂生農經,108,Q4,64100.0
1240,茂生農經,108,Q3,86809.0
1256,鮮活果汁-KY,108,Q3,597548.0
1256,鮮活果汁-KY,108,Q2,363979.0
1256,鮮活果汁-KY,108,Q1,97888.0
1256,鮮活果汁-KY,108,Q4,721383.0
1259,安心,108,Q1,138843.0
1259,安心,108,Q3,726333.0
1259,安心,108,Q2,395259.0
1259,安心,108,Q4,784987.0
1264,德麥,108,Q4,641407.0
1264,德麥,108,Q3,415024.0
1264,德麥,108,Q2,277649.0
1264,德麥,108,Q1,198083.0
1268,漢來美食,108,Q4,660490.0
1268,漢來美食,108,Q1,102506.0
1268,漢來美食,108,Q2,249291.0
1268,漢來美食,108,Q3,384428.0
1301,台塑,108,Q2,11813981.0
1301,台塑,108,Q1,8434731.0
1301,台塑,108,Q4,46580428.0
1301,台塑,108,Q3,38579336.0
1303,南亞,108,Q4,52299353.0
1303,南亞,108,Q1,7593718.0
1303,南亞,108,Q3,44325809.0
1303,南亞,108,Q2,14291614.0
1304,台聚,108,Q3,4036824.0
1304,台聚,108,Q1,1083921.0
1304,台聚,108,Q4,6072493.0
1304,台聚,108,Q2,1434730.0
1305,華夏,108,Q3,1191953.0
1305,華夏,108,Q1,273497.0
1305,華夏,108,Q2,445789.0
1305,華夏,108,Q4,2016552.0
1307,三芳,108,Q2,339879.0
1307,三芳,108,Q4,1345560.0
1307,三芳,108,Q1,93653.0
1307,三芳,108,Q3,626538.0
1308,亞聚,108,Q4,498621.0
1308,亞聚,108,Q1,1007514.0
1308,亞聚,108,Q2,393051.0
1308,亞聚,108,Q3,245221.0
1309,台達化,108,Q4,1602732.0
1309,台達化,108,Q2,1401663.0
1309,台達化,108,Q1,630665.0
1309,台達化,108,Q3,1103360.0
1310,台苯,108,Q1,74559.0
1310,台苯,108,Q2,277984.0
1310,台苯,108,Q3,748322.0
1310,台苯,108,Q4,947800.0
1312,國喬,108,Q4,3056778.0
1312,國喬,108,Q3,2919454.0
1312,國喬,108,Q1,688568.0
1312,國喬,108,Q2,1334199.0
1313,聯成,108,Q1,620847.0
1313,聯成,108,Q3,3072839.0
1313,聯成,108,Q2,1959828.0
1313,聯成,108,Q4,4387768.0
1314,中石化,108,Q1,1529452.0
1314,中石化,108,Q3,1618439.0
1314,中石化,108,Q2,1880503.0
1314,中石化,108,Q4,8403512.0
1315,達新,108,Q2,66575.0
1315,達新,108,Q4,291393.0
1315,達新,108,Q3,351956.0
1315,達新,108,Q1,36931.0
1316,上曜,108,Q4,2484463.0
1316,上曜,108,Q2,577427.0
1316,上曜,108,Q3,944734.0
1316,上曜,108,Q1,348759.0
1319,東陽,108,Q2,2272337.0
1319,東陽,108,Q1,1175408.0
1319,東陽,108,Q4,5227191.0
1319,東陽,108,Q3,3394269.0
1321,大洋,108,Q4,364954.0
1321,大洋,108,Q1,18232.0
