代號,名稱,年度,季別,出表日期,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,111,Q3,114/10/29,1554383.0,2917831.0,79274330.0,74872991.0,0.38
1101,台泥,111,Q4,114/10/29,4157085.0,5404984.0,113929706.0,104345739.0,0.74
1101,台泥,111,Q1,114/10/29,856506.0,1204144.0,22973461.0,20977100.0,0.2
1101,台泥,111,Q2,114/10/29,-84209.0,1408190.0,48151294.0,46044635.0,0.16
1102,亞泥,111,Q4,114/10/29,12597136.0,12016396.0,90340503.0,78585021.0,3.63
1102,亞泥,111,Q1,114/10/29,2716844.0,2533389.0,19681118.0,16705226.0,0.76
1102,亞泥,111,Q3,114/10/29,11959147.0,11407298.0,66093948.0,56176859.0,3.44
1102,亞泥,111,Q2,114/10/29,7444658.0,6991773.0,44168876.0,37041668.0,2.11
1103,嘉泥,111,Q1,114/10/29,-77250.0,-80636.0,512577.0,497255.0,-0.12
1103,嘉泥,111,Q4,114/10/29,-173886.0,-180762.0,2253659.0,2121073.0,-0.28
1103,嘉泥,111,Q3,114/10/29,-210339.0,-215386.0,1593823.0,1539019.0,-0.33
1103,嘉泥,111,Q2,114/10/29,-496512.0,-480843.0,1027363.0,1016217.0,-0.74
1104,環泥,111,Q4,114/10/29,2183492.0,2041395.0,7055789.0,5689489.0,3.12
1104,環泥,111,Q2,114/10/29,877980.0,865924.0,3280857.0,2675954.0,1.32
1104,環泥,111,Q1,114/10/29,538395.0,534814.0,1532253.0,1240036.0,0.82
1104,環泥,111,Q3,114/10/29,1459070.0,1435977.0,5063948.0,4127680.0,2.2
1108,幸福,111,Q2,114/10/29,171747.0,171747.0,1882891.0,1518167.0,0.42
1108,幸福,111,Q3,114/10/29,304720.0,304720.0,2946179.0,2361456.0,0.75
1108,幸福,111,Q4,114/10/29,581221.0,581216.0,4149253.0,3158473.0,1.44
1108,幸福,111,Q1,114/10/29,54885.0,54885.0,880911.0,739503.0,0.14
1109,信大,111,Q4,114/10/29,517738.0,399166.0,6388338.0,5138589.0,1.17
1109,信大,111,Q2,114/10/29,114258.0,66898.0,3004875.0,2420609.0,0.2
1109,信大,111,Q3,114/10/29,362635.0,282240.0,4675441.0,3828411.0,0.83
1109,信大,111,Q1,114/10/29,110325.0,88509.0,1239184.0,1027988.0,0.26
1110,東泥,111,Q3,114/10/29,15893.0,41144.0,1231013.0,1132325.0,0.07
1110,東泥,111,Q1,114/10/29,27624.0,29516.0,443221.0,392142.0,0.05
1110,東泥,111,Q2,114/10/29,-36237.0,-29735.0,752511.0,706894.0,-0.05
1110,東泥,111,Q4,114/10/29,108124.0,149043.0,1794015.0,1672736.0,0.26
1201,味全,111,Q2,114/10/29,186710.0,186394.0,9463147.0,6786509.0,0.37
1201,味全,111,Q4,114/10/29,241083.0,240283.0,19972832.0,14474786.0,0.47
1201,味全,111,Q1,114/10/29,96288.0,96151.0,4550665.0,3250986.0,0.19
1201,味全,111,Q3,114/10/29,327082.0,326522.0,15214414.0,10916254.0,0.65
1203,味王,111,Q3,114/10/29,744939.0,537871.0,4705786.0,3326906.0,2.26
1203,味王,111,Q2,114/10/29,318360.0,181244.0,3115648.0,2174929.0,0.76
1203,味王,111,Q4,114/10/29,889374.0,625396.0,6385557.0,4560378.0,2.63
1203,味王,111,Q1,114/10/29,233954.0,140616.0,1533519.0,1014123.0,0.59
1210,大成,111,Q2,114/10/29,1308833.0,1071023.0,52655457.0,47282825.0,1.33
1210,大成,111,Q1,114/10/29,632123.0,553282.0,25571801.0,22992408.0,0.69
1210,大成,111,Q4,114/10/29,2850126.0,2193061.0,113297286.0,101938516.0,2.59
1210,大成,111,Q3,114/10/29,2062049.0,1591835.0,82816416.0,74510080.0,1.88
1213,大飲,111,Q1,114/10/29,-26757.0,-26757.0,100942.0,108625.0,-0.47
1213,大飲,111,Q3,114/10/29,-61202.0,-61202.0,298234.0,309810.0,-1.08
1213,大飲,111,Q4,114/10/29,-75809.0,-75809.0,393947.0,405814.0,-1.34
1213,大飲,111,Q2,114/10/29,-44365.0,-44365.0,193745.0,205225.0,-0.78
1215,卜蜂,111,Q1,114/10/29,308985.0,327740.0,7199414.0,6275380.0,1.22
1215,卜蜂,111,Q2,114/10/29,800671.0,815970.0,14038618.0,12064557.0,3.04
1215,卜蜂,111,Q4,114/10/29,1550174.0,1555380.0,28959220.0,25082443.0,5.28
1215,卜蜂,111,Q3,114/10/29,1182348.0,1194288.0,21251007.0,18339545.0,4.05
1216,統一,111,Q1,114/10/29,6442727.0,4233600.0,124204308.0,83672518.0,0.75
1216,統一,111,Q2,114/10/29,13904675.0,9086647.0,254735335.0,172379091.0,1.6
1216,統一,111,Q4,114/10/29,26525917.0,17168480.0,524831664.0,357181700.0,3.02
1216,統一,111,Q3,114/10/29,22369326.0,14612992.0,396497245.0,268818875.0,2.57
1217,愛之味,111,Q3,114/10/29,299898.0,292072.0,3843896.0,2671857.0,0.59
1217,愛之味,111,Q1,114/10/29,54856.0,51787.0,1130291.0,790517.0,0.1
1217,愛之味,111,Q2,114/10/29,37299.0,33031.0,2231268.0,1544827.0,0.07
1217,愛之味,111,Q4,114/10/29,287793.0,277890.0,4800625.0,3363675.0,0.56
1218,泰山,111,Q2,114/10/29,273019.0,272963.0,5314748.0,4522982.0,0.56
1218,泰山,111,Q3,114/10/29,429818.0,429724.0,8450224.0,7203720.0,0.88
1218,泰山,111,Q4,114/10/29,5918572.0,5918495.0,11069440.0,9623679.0,12.17
1218,泰山,111,Q1,114/10/29,140117.0,140116.0,2573577.0,2177741.0,0.29
1219,福壽,111,Q4,114/10/29,305533.0,321930.0,16999408.0,15539508.0,1.0
1219,福壽,111,Q1,114/10/29,193331.0,201893.0,4222653.0,3688415.0,0.63
1219,福壽,111,Q2,114/10/29,327041.0,336633.0,8488365.0,7534954.0,1.05
1219,福壽,111,Q3,114/10/29,292390.0,304707.0,12650048.0,11478007.0,0.95
1220,台榮,111,Q1,114/10/29,42250.0,33326.0,818803.0,719344.0,0.19
1220,台榮,111,Q4,114/10/29,71606.0,45878.0,3537556.0,3228562.0,0.26
1220,台榮,111,Q3,114/10/29,57270.0,36009.0,2555000.0,2322643.0,0.2
1220,台榮,111,Q2,114/10/29,61518.0,50811.0,1652921.0,1469950.0,0.29
1225,福懋油,111,Q4,114/10/29,347147.0,368994.0,15274361.0,14305096.0,1.69
1225,福懋油,111,Q3,114/10/29,334694.0,340989.0,11244609.0,10435974.0,1.56
1225,福懋油,111,Q2,114/10/29,353395.0,351929.0,7314296.0,6591986.0,1.61
1225,福懋油,111,Q1,114/10/29,196993.0,204587.0,3505862.0,3112621.0,0.94
1227,佳格,111,Q1,114/10/29,332947.0,327045.0,6730455.0,5259254.0,0.36
1227,佳格,111,Q3,114/10/29,1024780.0,976082.0,20399539.0,15730662.0,1.07
1227,佳格,111,Q4,114/10/29,1244108.0,1214098.0,28922800.0,22564224.0,1.34
1227,佳格,111,Q2,114/10/29,503176.0,488005.0,12722669.0,9852327.0,0.54
1229,聯華,111,Q4,114/10/29,4839212.0,3871653.0,12326365.0,9634282.0,2.63
1229,聯華,111,Q2,114/10/29,3576128.0,2613237.0,6600578.0,4472910.0,1.86
1229,聯華,111,Q3,114/10/29,4223049.0,3264101.0,9246716.0,6869961.0,2.21
1229,聯華,111,Q1,114/10/29,1411592.0,1277603.0,2598573.0,2129467.0,0.91
1231,聯華食,111,Q3,114/10/29,606189.0,607281.0,7762956.0,5972531.0,2.71
1231,聯華食,111,Q2,114/10/29,374706.0,374995.0,4973194.0,3809123.0,1.67
1231,聯華食,111,Q1,114/10/29,219894.0,220350.0,2524332.0,1919109.0,1.09
1231,聯華食,111,Q4,114/10/29,870986.0,871814.0,10772839.0,8270979.0,3.89
1232,大統益,111,Q1,114/10/29,487061.0,477307.0,5698170.0,4861827.0,2.98
1232,大統益,111,Q4,114/10/29,1267799.0,1226205.0,24676960.0,22273195.0,7.66
1232,大統益,111,Q2,114/10/29,872719.0,854192.0,11633125.0,10117418.0,5.34
1232,大統益,111,Q3,114/10/29,1009473.0,978481.0,17687951.0,15890009.0,6.12
1233,天仁,111,Q2,114/10/29,20545.0,20264.0,858519.0,383741.0,0.22
1233,天仁,111,Q1,114/10/29,17402.0,17262.0,451608.0,191665.0,0.19
1233,天仁,111,Q3,114/10/29,28094.0,27739.0,1312952.0,583739.0,0.31
1233,天仁,111,Q4,114/10/29,51592.0,51229.0,1835662.0,807693.0,0.57
1234,黑松,111,Q3,114/10/29,693895.0,693895.0,6964779.0,4973312.0,1.73
1234,黑松,111,Q1,114/10/29,125355.0,125355.0,2044141.0,1601155.0,0.31
1234,黑松,111,Q2,114/10/29,302403.0,302403.0,4047088.0,3021486.0,0.75
1234,黑松,111,Q4,114/10/29,886135.0,886135.0,9558497.0,6879679.0,2.21
1235,興泰,111,Q2,114/10/29,46175.0,46175.0,9330.0,11654.0,0.46
1235,興泰,111,Q3,114/10/29,179706.0,179706.0,48843.0,22981.0,1.39
1235,興泰,111,Q4,114/10/29,195633.0,169195.0,63027.0,38090.0,1.31
1235,興泰,111,Q1,114/10/29,24079.0,24079.0,3436.0,4923.0,0.24
1236,宏亞,111,Q3,114/10/29,400207.0,400207.0,1461131.0,1086173.0,3.69
1236,宏亞,111,Q2,114/10/29,385285.0,385285.0,928559.0,697283.0,3.56
1236,宏亞,111,Q4,114/10/29,424156.0,424156.0,2108653.0,1539923.0,3.91
1236,宏亞,111,Q1,114/10/29,421913.0,421913.0,544699.0,395414.0,3.89
1240,茂生農經,111,Q2,114/10/29,22882.0,35325.0,1636960.0,1489489.0,0.92
1240,茂生農經,111,Q4,114/10/29,-18955.0,5591.0,3370796.0,3118853.0,0.14
1240,茂生農經,111,Q1,114/10/29,4953.0,12856.0,761457.0,689068.0,0.35
1240,茂生農經,111,Q3,114/10/29,-18280.0,779.0,2462174.0,2276685.0,0.02
1256,鮮活果汁-KY,111,Q1,114/10/29,52218.0,44475.0,889235.0,652873.0,1.31
1256,鮮活果汁-KY,111,Q4,114/10/29,464692.0,403294.0,4101393.0,2931835.0,11.92
1256,鮮活果汁-KY,111,Q3,114/10/29,386741.0,336245.0,3437315.0,2449329.0,9.94
1256,鮮活果汁-KY,111,Q2,114/10/29,133471.0,113919.0,1897615.0,1382356.0,3.37
1259,安心,111,Q2,114/10/29,30627.0,36776.0,2745832.0,2054212.0,1.14
1259,安心,111,Q4,114/10/29,117951.0,130143.0,5725450.0,4272622.0,4.02
1259,安心,111,Q3,114/10/29,92443.0,100850.0,4270700.0,3177549.0,3.11
1259,安心,111,Q1,114/10/29,8558.0,13367.0,1337517.0,1007802.0,0.41
1264,德麥,111,Q2,114/10/29,356481.0,315047.0,2448990.0,1574241.0,8.5
1264,德麥,111,Q4,114/10/29,731162.0,633184.0,5340996.0,3496541.0,17.09
1264,德麥,111,Q1,114/10/29,183590.0,163974.0,1226415.0,781119.0,4.43
1264,德麥,111,Q3,114/10/29,540661.0,474342.0,3795695.0,2470095.0,12.8
1268,漢來美食,111,Q2,114/10/29,-59547.0,-59547.0,1574218.0,966963.0,-1.41
1268,漢來美食,111,Q4,114/10/29,130052.0,130052.0,3756874.0,2229816.0,3.08
1268,漢來美食,111,Q1,114/10/29,42761.0,42761.0,1036633.0,588774.0,1.01
1268,漢來美食,111,Q3,114/10/29,42445.0,42445.0,2613834.0,1577009.0,1.01
