代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,113,Y1,114/05/27,113/01/01~113/12/31,股東會確認,1.0,0.0,0.0,7531181742,0.0,0.0,0.0,0
1101B,台泥乙特,113,Y1,114/05/27,113/01/01~113/12/31,股東會確認,2.02625,0.0,0.0,405250000,0.0,0.0,0.0,0
1102,亞泥,113,Q3,不適用,113/07/01~113/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,113,Q1,不適用,113/01/01~113/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1102,亞泥,113,Q4,不適用,113/10/01~113/12/31,董事會決議,2.2,0.0,0.0,7802438338,0.0,0.0,0.0,0
1102,亞泥,113,Q2,不適用,113/04/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1103,嘉泥,113,Y1,114/05/16,113/01/01~113/12/31,股東會確認,0.55,0.0,0.0,434636102,0.0,0.0,0.0,0
1104,環泥,113,Y1,114/05/26,113/01/01~113/12/31,股東會確認,1.7,0.0,0.0,1167359087,0.0,0.0,0.0,0
1108,幸福,113,H2,114/06/27,113/07/01~113/12/31,股東會確認,0.75,0.0,0.0,303553537,0.0,0.0,0.0,0
1108,幸福,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1109,信大,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,0.9,0.0,0.0,307042981,0.0,0.0,0.0,0
1110,東泥,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.3,0.0,0.0,171600239,0.0,0.0,0.0,0
1201,味全,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,253031457,0.0,0.0,0.0,0
1203,味王,113,Y1,114/06/25,113/01/01~113/12/31,股東會確認,1.2,0.0,0.0,288000000,0.0,0.0,0.0,0
1210,大成,113,Y1,不適用,113/01/01~113/12/31,董事會決議,2.82844991,0.0,0.0,2505348222,0.0,0.0,0.0,0
1213,大飲,113,Y1,114/06/11,113/01/01~113/12/31,股東會確認,0.35,0.0,0.0,19817919,0.0,0.0,0.0,0
1215,卜蜂,113,Y1,不適用,113/01/01~113/12/31,董事會決議,4.5,0.0,0.0,1326555441,0.0,0.0,0.0,0
1216,統一,113,Y1,114/05/29,113/01/01~113/12/31,股東會確認,3.0,0.0,0.0,17046046263,0.0,0.0,0.0,0
1217,愛之味,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.37,0.0,0.0,182969934,0.0,0.0,0.0,0
1218,泰山,113,Q1,不適用,113/01/01~113/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1218,泰山,113,Q3,不適用,113/07/01~113/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1218,泰山,113,Q4,不適用,113/10/01~113/12/31,董事會決議,1.35,0.0,0.0,674998701,0.0,0.0,0.0,0
1218,泰山,113,Q2,不適用,113/04/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1219,福壽,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1219,福壽,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.5,0.0,0.0,170619182,0.0,0.0,0.0,0
1220,台榮,113,Y1,114/06/25,113/01/01~113/12/31,股東會確認,0.7,0.0,0.0,123954561,0.0,0.0,0.0,0
1225,福懋油,113,Y1,114/06/26,113/01/01~113/12/31,現金股利經董事會決議、增資配股經股東會確認,0.14,0.0,0.0,32149349,0.55,0.0,0.0,12630102
1227,佳格,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,1.4,0.0,0.0,1281125427,0.0,0.0,0.0,0
1229,聯華,113,Q3,不適用,113/07/01~113/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1229,聯華,113,Q2,不適用,113/04/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1229,聯華,113,Q4,114/05/26,113/10/01~113/12/31,現金股利經董事會決議、增資配股經股東會確認,1.3,0.0,0.0,2223570351,0.5,0.0,0.0,85521936
1229,聯華,113,Q1,不適用,113/01/01~113/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1231,聯華食,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,1.6,0.0,0.0,434115600,1.0,0.0,0.0,27132225
1232,大統益,113,Y1,114/05/20,113/01/01~113/12/31,股東會確認,7.0,0.0,0.0,1119824405,0.0,0.0,0.0,0
1233,天仁,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.95,0.0,0.0,86062350,0.0,0.0,0.0,0
1234,黑松,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.9,0.0,0.0,763555079,0.0,0.0,0.0,0
1235,興泰,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,0.5,0.0,0.0,78574098,2.0,0.0,0.0,31429639
1236,宏亞,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.6,0.0,0.0,52004405,0.0,0.0,0.0,0
1240,茂生農經,113,Y1,114/06/23,113/01/01~113/12/31,股東會確認,2.7,0.0,0.0,111614399,0.7,0.0,0.0,2893707
1256,鮮活果汁-KY,113,Y1,114/05/29,113/01/01~113/12/31,股東會確認,4.7,0.0,0.0,159058152,0.0,0.0,0.0,0
1259,安心,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.2,0.0,0.0,38867400,0.0,0.0,0.0,0
1264,德麥,113,Y1,不適用,113/01/01~113/12/31,董事會決議,14.5,0.0,0.0,537259321,0.0,0.0,0.0,0
1268,漢來美食,113,Y1,不適用,113/01/01~113/12/31,董事會決議,7.5,0.0,0.0,316677975,0.0,0.0,0.0,0
1294,漢田生技,113,Y1,114/05/29,113/01/01~113/12/31,現金股利經董事會決議、增資配股經股東會確認,3.2,0.0,0.0,87434444,1.03,0.0,0.0,2814300
1295,生合,113,Y1,不適用,113/01/01~113/12/31,董事會決議,3.5,0.0,0.0,109741800,0.0,0.0,0.0,0
1301,台塑,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,3182870391,0.0,0.0,0.0,0
1303,南亞,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.7,0.0,0.0,5551575112,0.0,0.0,0.0,0
1304,台聚,113,Y1,114/05/29,113/01/01~113/12/31,股東會確認,0.2,0.0,0.0,237752700,0.0,0.0,0.0,0
1305,華夏,113,Y1,114/05/27,113/01/01~113/12/31,股東會確認,0.15,0.0,0.0,87157574,0.0,0.0,0.0,0
1307,三芳,113,Y1,不適用,113/01/01~113/12/31,董事會決議,2.7,0.0,0.0,1074108941,0.0,0.0,0.0,0
1308,亞聚,113,Y1,114/05/28,113/01/01~113/12/31,股東會確認,0.25,0.0,0.0,148435979,0.0,0.0,0.0,0
1309,台達化,113,Y1,114/05/28,113/01/01~113/12/31,股東會確認,0.2,0.0,0.0,79517370,0.0,0.0,0.0,0
1310,台苯,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1312,國喬,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1312A,國喬特,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1313,聯成,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.15,199412191,0.0,0.0,0.0,0
1314,中石化,113,Y1,114/05/15,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1315,達新,113,H1,不適用,113/01/01~113/06/30,董事會決議,2.5,0.0,0.0,247747500,0.0,0.0,0.0,0
1315,達新,113,H2,不適用,113/07/01~113/12/31,董事會決議,2.5,0.0,0.0,247747500,0.0,0.0,0.0,0
1316,上曜,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1316,上曜,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1319,東陽,113,Y1,不適用,113/01/01~113/12/31,董事會決議,5.3,0.0,0.0,3134828460,0.0,0.0,0.0,0
1321,大洋,113,Y1,114/06/04,113/01/01~113/12/31,股東會確認,0.38,0.0,0.0,86346742,0.0,0.0,0.0,0
1323,永裕,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.6,0.0,0.3,82147098,0.0,0.0,0.0,0
1324,地球,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.2,0.0,0.0,15024376,0.0,0.0,0.0,0
1325,恆大,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.3,0.0,0.0,25584360,0.0,0.0,0.0,0
1326,台化,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,2930593146,0.0,0.0,0.0,0
1336,台翰,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.945,0.0,0.0,73319553,0.0,0.0,0.0,0
1337,再生-KY,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
