代號,名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101,台泥,114,Q1,255284784.0,,,190775550.0,,113308585.0,192377395.0,61749041.0,33.02
1101,台泥,114,Q2,220371152.0,,,166160771.0,,82926585.0,207061775.0,56512827.0,28.5
1101,台泥,114,Q3,223471065.0,,,178421439.0,,94125885.0,206382676.0,57096805.0,29.05
1102,亞泥,114,Q1,177502822.0,,,105584063.0,,86802096.0,44331949.0,23853741.0,50.05
1102,亞泥,114,Q2,164940624.0,,,102355154.0,,82033956.0,46617352.0,21256818.0,46.51
1103,嘉泥,114,Q2,17862101.0,,,8964544.0,,3673494.0,10640381.0,584008.0,27.11
1103,嘉泥,114,Q3,18225424.0,,,9324570.0,,3536579.0,10915465.0,593815.0,27.67
1103,嘉泥,114,Q1,21170996.0,,,9958798.0,,2819178.0,11112545.0,716612.0,32.06
1104,環泥,114,Q1,23964542.0,,,7365537.0,,3706572.0,1361230.0,808490.0,34.9
1104,環泥,114,Q2,22330711.0,,,7502720.0,,4727853.0,1348965.0,774859.0,32.52
1108,幸福,114,Q1,5016371.0,,,5713715.0,,4515026.0,668837.0,66.0,12.39
1108,幸福,114,Q2,5568943.0,,,5903260.0,,4217115.0,597980.0,66.0,13.76
1109,信大,114,Q3,8120594.0,,,5795336.0,,892888.0,148657.0,1839211.0,23.8
1109,信大,114,Q2,7889140.0,,,5999056.0,,1269364.0,147750.0,1767157.0,23.12
1109,信大,114,Q1,8450160.0,,,6482398.0,,1000031.0,154104.0,1933466.0,24.77
1110,東泥,114,Q3,9441532.0,,,2890181.0,,1947104.0,1154624.0,183654.0,16.56
1110,東泥,114,Q1,9442322.0,,,2960606.0,,1930789.0,1188231.0,162847.0,16.57
1110,東泥,114,Q2,9363523.0,,,3127184.0,,2276923.0,1170309.0,172887.0,16.43
1201,味全,114,Q1,7630198.0,,,6460021.0,,6506273.0,3580187.0,8255.0,15.08
1201,味全,114,Q2,7252116.0,,,6310195.0,,6109362.0,3624513.0,7604.0,14.33
1201,味全,114,Q3,7481735.0,,,6664651.0,,6384733.0,3928319.0,7911.0,14.78
1203,味王,114,Q3,6107243.0,,,4756477.0,,1943867.0,1409882.0,946318.0,25.69
1203,味王,114,Q1,6334908.0,,,4942249.0,,1697602.0,1366487.0,1156666.0,26.65
1203,味王,114,Q2,5872329.0,,,4390592.0,,1872826.0,1404826.0,845192.0,24.7
1210,大成,114,Q1,24369956.0,,,29645704.0,,32775926.0,4514957.0,9076398.0,29.13
1210,大成,114,Q2,23490351.0,,,27444608.0,,31500447.0,4001913.0,7974702.0,28.07
1210,大成,114,Q3,24778866.0,,,29227274.0,,32899437.0,4376530.0,8450141.0,29.61
1213,大飲,114,Q1,707658.0,,,344519.0,,71092.0,1087.0,,12.5
1213,大飲,114,Q2,674844.0,,,318493.0,,75914.0,1776.0,,11.92
1213,大飲,114,Q3,663756.0,,,290596.0,,67228.0,59026.0,,11.72
1215,卜蜂,114,Q1,10267915.0,,,7537946.0,,10203892.0,8830013.0,442958.0,34.83
1215,卜蜂,114,Q2,10669211.0,,,8240296.0,,10192989.0,9003814.0,420685.0,36.19
1216,統一,114,Q1,142172880.0,,,237990602.0,,248203826.0,253111692.0,78196992.0,25.02
1216,統一,114,Q2,116622674.0,,,235230679.0,,277355389.0,246695166.0,66405493.0,20.52
1216,統一,114,Q3,127682583.0,,,231068245.0,,264992985.0,253145246.0,71294363.0,22.47
1217,愛之味,114,Q1,6983987.0,,,2518286.0,,2707191.0,3816696.0,780660.0,14.12
1217,愛之味,114,Q2,6936346.0,,,2887601.0,,3032959.0,3708017.0,767414.0,14.03
1218,泰山,114,Q2,12562650.0,,,5325839.0,,2051968.0,383641.0,5652.0,25.83
1218,泰山,114,Q1,12392794.0,,,6257951.0,,1872132.0,428747.0,5704.0,25.48
1219,福壽,114,Q3,4515171.0,,,4884442.0,,3146843.0,1881593.0,41562.0,13.23
1219,福壽,114,Q1,4591038.0,,,5001043.0,,2953335.0,2068268.0,42012.0,13.45
1219,福壽,114,Q2,4445917.0,,,4876021.0,,3020283.0,1978742.0,78089.0,13.03
1220,台榮,114,Q1,2427191.0,,,1949480.0,,455480.0,192860.0,226821.0,13.76
1220,台榮,114,Q2,2301711.0,,,1920107.0,,596974.0,180437.0,206004.0,13.05
1225,福懋油,114,Q1,3631930.0,,,5383775.0,,3733473.0,1233878.0,451522.0,15.82
1225,福懋油,114,Q2,3687619.0,,,4125828.0,,2619263.0,947770.0,469116.0,16.06
1227,佳格,114,Q2,16978992.0,,,17931057.0,,8814816.0,414223.0,282057.0,18.69
1227,佳格,114,Q1,18947947.0,,,17939080.0,,6645895.0,431868.0,339410.0,20.86
1229,聯華,114,Q1,48789713.0,,,15884512.0,,15828073.0,4965362.0,20548466.0,28.64
1229,聯華,114,Q2,48753440.0,,,18692128.0,,16799377.0,4655793.0,20238988.0,28.62
1231,聯華食,114,Q2,6439369.0,,,5796603.0,,4193207.0,3756235.0,16200.0,23.73
1231,聯華食,114,Q1,6668229.0,,,5926408.0,,3748915.0,4042322.0,18122.0,24.58
1232,大統益,114,Q1,5991608.0,,,7128716.0,,2389961.0,1219887.0,189625.0,37.45
1232,大統益,114,Q2,5191185.0,,,7173117.0,,3266804.0,1218964.0,186899.0,32.45
1232,大統益,114,Q3,5502609.0,,,6066225.0,,1937205.0,1207759.0,204669.0,34.4
1233,天仁,114,Q3,1336148.0,,,698294.0,,599480.0,254846.0,2946.0,14.76
1233,天仁,114,Q1,1359176.0,,,673965.0,,596517.0,294657.0,3242.0,15.01
1233,天仁,114,Q2,1325806.0,,,690890.0,,608014.0,268624.0,2845.0,14.64
1234,黑松,114,Q2,18439221.0,,,9039837.0,,3173596.0,2333564.0,,45.88
1234,黑松,114,Q1,18322963.0,,,8843508.0,,3272638.0,2338787.0,,45.59
1234,黑松,114,Q3,18693294.0,,,9185338.0,,3100802.0,2357706.0,,46.52
1235,興泰,114,Q2,2654821.0,,,973221.0,,2488866.0,54430.0,274738.0,70.08
1235,興泰,114,Q1,2750016.0,,,1295488.0,,2301255.0,433688.0,273082.0,72.59
1236,宏亞,114,Q2,2479664.0,,,631035.0,,496198.0,837008.0,,28.61
1236,宏亞,114,Q1,2410105.0,,,714379.0,,516085.0,928527.0,,27.81
1236,宏亞,114,Q3,2507581.0,,,769389.0,,485355.0,776830.0,,28.93
1240,茂生農經,114,Q1,1462540.0,,,1164199.0,,562008.0,75054.0,46281.0,35.38
1256,鮮活果汁-KY,114,Q2,3120244.0,,,2166769.0,,1162302.0,77083.0,6336.0,92.2
1256,鮮活果汁-KY,114,Q1,3524748.0,,,1905963.0,,704582.0,74796.0,0.0,104.15
1259,安心,114,Q3,3173554.0,,,1179355.0,,2049215.0,1769810.0,8424.0,97.98
1259,安心,114,Q1,2379557.0,,,1230629.0,,1963780.0,1904065.0,14534.0,73.47
1264,德麥,114,Q1,3129502.0,,,3212525.0,,1529700.0,96975.0,847498.0,84.46
1268,漢來美食,114,Q3,2213313.0,,,2484533.0,,2284241.0,2635139.0,,52.42
1268,漢來美食,114,Q1,2436794.0,,,2406114.0,,1865806.0,2637207.0,,57.71
1294,漢田生技,114,Q1,821861.0,,,567733.0,,231546.0,92295.0,3039.0,30.08
1295,生合,114,Q3,1270146.0,,,772339.0,,528677.0,1053196.0,,36.84
