代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,114,Q2,114/11/13,,70310678.0,59070124.0,0.07
1101,台泥,114,Q3,114/11/13,,109377581.0,89293046.0,1.28
1101,台泥,114,Q1,114/11/13,,34956255.0,29062547.0,0.07
1102,亞泥,114,Q1,114/11/13,,16594707.0,14222297.0,0.41
1102,亞泥,114,Q2,114/11/13,,35260444.0,29515334.0,1.28
1103,嘉泥,114,Q2,114/11/13,,1521022.0,1271361.0,0.32
1103,嘉泥,114,Q3,114/11/13,,2244681.0,1882321.0,0.73
1103,嘉泥,114,Q1,114/11/13,,752475.0,631715.0,0.13
1104,環泥,114,Q2,114/11/13,,3897477.0,3068831.0,0.98
1104,環泥,114,Q1,114/11/13,,1928654.0,1536947.0,0.42
1108,幸福,114,Q2,114/11/13,,2373296.0,1877462.0,1.72
1108,幸福,114,Q1,114/11/13,,1212710.0,975687.0,0.32
1109,信大,114,Q3,114/11/13,,3312269.0,2767441.0,0.8
1109,信大,114,Q1,114/11/13,,987534.0,884554.0,0.25
1109,信大,114,Q2,114/11/13,,2251696.0,1886436.0,0.49
1110,東泥,114,Q2,114/11/13,,1488986.0,1279805.0,0.07
1110,東泥,114,Q1,114/11/13,,740524.0,636946.0,0.08
1110,東泥,114,Q3,114/11/13,,2142289.0,1822223.0,0.29
1201,味全,114,Q3,114/11/13,,16717790.0,12158273.0,0.43
1201,味全,114,Q2,114/11/13,,10731979.0,7760558.0,0.27
1201,味全,114,Q1,114/11/13,,5206860.0,3749353.0,0.22
1203,味王,114,Q3,114/11/13,,4337935.0,2816008.0,1.28
1203,味王,114,Q2,114/11/13,,2954993.0,1893554.0,0.64
1203,味王,114,Q1,114/11/13,,1543194.0,969284.0,0.58
1210,大成,114,Q3,114/11/13,,75015426.0,64196717.0,2.67
1210,大成,114,Q2,114/11/13,,50338217.0,43183578.0,1.74
1210,大成,114,Q1,114/11/13,,25466623.0,21548574.0,1.05
1213,大飲,114,Q3,114/11/13,,226784.0,231592.0,0.65
1213,大飲,114,Q1,114/11/13,,66141.0,70466.0,0.23
1213,大飲,114,Q2,114/11/13,,135192.0,139618.0,0.45
1215,卜蜂,114,Q1,114/11/13,,6697082.0,5262393.0,2.38
1215,卜蜂,114,Q2,114/11/13,,13757991.0,10829473.0,4.95
1216,統一,114,Q1,114/11/13,,169265026.0,113129023.0,0.91
1216,統一,114,Q3,114/11/13,,515163655.0,342625009.0,2.93
1216,統一,114,Q2,114/11/13,,338837523.0,225380957.0,1.88
1217,愛之味,114,Q1,114/11/13,,1184580.0,867955.0,0.19
1217,愛之味,114,Q2,114/11/13,,2427739.0,1754534.0,0.05
1218,泰山,114,Q2,114/11/13,,4929498.0,4070573.0,0.66
1218,泰山,114,Q1,114/11/13,,2498731.0,2079835.0,0.37
1219,福壽,114,Q2,114/11/13,,7127883.0,6587920.0,0.06
1219,福壽,114,Q3,114/11/13,,10596846.0,9738263.0,0.25
1219,福壽,114,Q1,114/11/13,,3632935.0,3310153.0,0.1
1220,台榮,114,Q2,114/11/13,,1559661.0,1421237.0,0.11
1220,台榮,114,Q1,114/11/13,,763314.0,714940.0,0.1
1225,福懋油,114,Q2,114/11/13,,6177586.0,5662519.0,0.8
1225,福懋油,114,Q1,114/11/13,,3190522.0,2923518.0,0.38
1227,佳格,114,Q2,114/11/13,,13055092.0,9622610.0,0.52
1227,佳格,114,Q1,114/11/13,,6880311.0,5134760.0,0.39
1229,聯華,114,Q2,114/11/13,,6531618.0,4621507.0,1.29
1229,聯華,114,Q1,114/11/13,,2426168.0,2050876.0,0.55
1231,聯華食,114,Q1,114/11/13,,3125895.0,2509525.0,0.46
