代號,名稱,年度,季別,權益總計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1240,茂生農經,115,Q1,1617973.0,,,1220776.0,2275463.0,610593.0,46897.0,60120.0,35.22
1259,安心,115,Q1,2571145.0,,,1196902.0,6456158.0,2026357.0,1858656.0,8488.0,79.12
1264,德麥,115,Q1,4163339.0,,,3387125.0,6089861.0,1820028.0,106494.0,816168.0,90.34
1268,漢來美食,115,Q1,2552681.0,,,2299358.0,7195817.0,2060201.0,2582935.0,,60.46
1294,漢田生技,115,Q1,874982.0,,,608049.0,1193664.0,224694.0,93988.0,3074.0,28.8
1295,生合,115,Q1,1250668.0,,,960816.0,3293051.0,921196.0,1121187.0,,36.28
1336,台翰,115,Q1,1879129.0,,,1262838.0,3239275.0,1057635.0,302511.0,,24.21
1409,新纖,115,Q1,53131346.0,,,169282176.0,238947734.0,165890727.0,19925661.0,11501808.0,26.02
1565,精華,115,Q1,6329224.0,,,3948087.0,7613946.0,1117579.0,167143.0,,125.54
1569,濱川,115,Q1,3270327.0,,,3671340.0,6653422.0,2576382.0,806713.0,174485.0,21.46
1570,力肯,115,Q1,1039505.0,,,850348.0,1131359.0,83186.0,8668.0,,20.18
1580,新麥,115,Q1,3167728.0,,,2800330.0,4594748.0,1203297.0,223723.0,169433.0,60.77
1584,精剛,115,Q1,4770591.0,,,3042517.0,7763228.0,1851676.0,1140961.0,71672.0,20.89
1586,和勤,115,Q1,1974964.0,,,1788709.0,3591402.0,1141147.0,475291.0,,19.5
1591,駿吉-KY,115,Q1,488075.0,,,486655.0,810737.0,291864.0,30798.0,,12.83
1593,祺驊,115,Q1,1403269.0,,,1435719.0,2144497.0,486005.0,255223.0,116324.0,32.35
1595,川寶,115,Q1,2687782.0,,,2365347.0,3885990.0,831365.0,366843.0,279.0,49.8
1599,宏佳騰,115,Q1,1901909.0,,,1381244.0,2828662.0,663472.0,263281.0,42370.0,25.82
1718,中纖,115,Q1,93668660.0,,,795306498.0,1040445392.0,911432986.0,35343746.0,71392735.0,16.71
1742,台蠟,115,Q1,1277646.0,,,272653.0,1347671.0,16652.0,53373.0,,13.79
1777,生泰,115,Q1,2483566.0,,,1618432.0,3023341.0,474354.0,65421.0,,55.7
1781,合世,115,Q1,311654.0,,,435769.0,663311.0,154888.0,196769.0,,6.57
1784,訊聯,115,Q1,2216690.0,,,1932689.0,3099756.0,456857.0,426209.0,976798.0,24.65
1785,光洋科,115,Q1,17234390.0,,,30427096.0,39179443.0,16538096.0,5406957.0,599628.0,27.91
1788,杏昌,115,Q1,3156272.0,,,2704855.0,5268692.0,1519398.0,593022.0,,70.89
1796,金穎生技,115,Q1,781428.0,,,576964.0,1262214.0,177816.0,302970.0,,18.85
1799,易威,115,Q1,733163.0,,,718569.0,1338293.0,293556.0,311574.0,13707.0,5.77
1813,寶利徠,115,Q1,660565.0,,,298111.0,949511.0,278515.0,10431.0,-27061.0,14.74
1815,富喬,115,Q1,13179802.0,,,6997720.0,19506110.0,2083591.0,4242717.0,,22.53
2035,唐榮公司,115,Q1,2389556.0,,,3732488.0,17817051.0,3307923.0,12119572.0,,6.83
2061,風青,115,Q1,634484.0,,,976322.0,1225353.0,559112.0,31757.0,,11.06
2063,世鎧精密,115,Q1,928236.0,,,1084492.0,1985332.0,780307.0,276789.0,,19.3
2064,晉椿,115,Q1,933473.0,,,1068561.0,2424055.0,1394658.0,95924.0,769.0,13.45
2065,世豐,115,Q1,1752841.0,,,1417868.0,3541545.0,1106779.0,681925.0,,27.6
2066,世德,115,Q1,2207212.0,,,2661996.0,3845573.0,1347175.0,291186.0,,49.95
2067,嘉鋼,115,Q1,268685.0,,,843675.0,1930938.0,1361177.0,301076.0,37056.0,5.13
2070,精湛,115,Q1,1139440.0,,,1026852.0,1681398.0,444560.0,97398.0,,27.27
2073,雄順,115,Q1,405019.0,,,196747.0,715654.0,193461.0,117174.0,,14.73
2207,和泰車,115,Q1,116334068.0,,,371776395.0,525151865.0,369092964.0,39724833.0,37111850.0,142.2
2221,大甲,115,Q1,1194431.0,,,1227831.0,1719612.0,360278.0,164903.0,96272.0,25.95
2230,泰茂,115,Q1,1117085.0,,,1270052.0,1878936.0,562143.0,199708.0,18699.0,16.19
2235,謚源,115,Q1,1242993.0,,,476388.0,1420683.0,134975.0,42715.0,,34.64
2596,綠意,115,Q1,2483202.0,,,5716572.0,6267131.0,3783929.0,,356981.0,21.26
