代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1341,富林-KY,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
2063,世鎧精密,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
2301,光寶科,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
2732,六角,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
3289,宜特,115,Q1,1.6,不適用,115/01/01~115/03/31,董事會決議,1.6,0.0,0.0,0.0,0.0,0.0,0
3465,進泰電子,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
3498,陽程,115,Y1,0.0,不適用,115/01/01~115/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
4755,三福化,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
5009,榮剛,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
6148,驊宏資,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
6277,宏正,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
6523,達爾膚,115,Q1,2.0,不適用,115/01/01~115/03/31,董事會決議,2.0,0.0,0.0,0.0,0.0,0.0,0
6548,長科*,115,Q1,0.45,不適用,115/01/01~115/03/31,董事會決議,0.45,0.0,0.0,0.0,0.0,0.0,0
6799,來頡,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
6919,康霈*,115,Q1,0.0,不適用,115/01/01~115/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
7780,大研生醫*,115,Q1,0.85666524,不適用,115/01/01~115/03/31,董事會決議,0.1159466,0.0,0.74071864,0.0,0.0,0.0,0
8467,波力-KY,115,Q1,2.0,不適用,115/01/01~115/03/31,董事會決議,2.0,0.0,0.0,0.0,0.0,0.0,0
