stock_code,stock_name,price,market,date,updated_at
00400A,主動國泰動能高息,13.41,TSE,2026-07-24,2026-07-25 19:05:03
00401A,主動摩根台灣鑫收,12.91,TSE,2026-07-24,2026-07-25 19:05:03
00402A,主動安聯美國科技,9.63,TSE,2026-07-24,2026-07-25 19:05:03
00403A,主動統一升級50,9.63,TSE,2026-07-24,2026-07-25 19:05:03
00404A,主動聯博動能50,9.4,TSE,2026-07-24,2026-07-25 19:05:03
00405A,主動富邦台灣龍耀,7.88,TSE,2026-07-24,2026-07-25 19:05:03
00406A,主動中信台灣收益,9.2,TSE,2026-07-24,2026-07-25 19:05:03
00407A,主動凱基台灣,8.93,TSE,2026-07-24,2026-07-25 19:05:03
00408A,主動第一金優股息,9.92,TSE,2026-07-24,2026-07-25 19:05:03
0050,元大台灣50,101.7,TSE,2026-07-24,2026-07-25 19:05:03
0051,元大中型100,137.95,TSE,2026-07-24,2026-07-25 19:05:03
0052,富邦科技,59.5,TSE,2026-07-24,2026-07-25 19:05:03
0053,元大電子,228.85,TSE,2026-07-24,2026-07-25 19:05:03
0055,元大MSCI金融,42.55,TSE,2026-07-24,2026-07-25 19:05:03
0056,元大高股息,50.2,TSE,2026-07-24,2026-07-25 19:05:03
0057,富邦摩台,303.7,TSE,2026-07-24,2026-07-25 19:05:03
0061,元大寶滬深,24.92,TSE,2026-07-24,2026-07-25 19:05:03
006203,元大MSCI台灣,183.85,TSE,2026-07-24,2026-07-25 19:05:03
006204,永豐臺灣加權,218.8,TSE,2026-07-24,2026-07-25 19:05:03
006205,富邦上証,41.26,TSE,2026-07-24,2026-07-25 19:05:03
006206,元大上證50,38.59,TSE,2026-07-24,2026-07-25 19:05:03
006207,復華滬深,33.21,TSE,2026-07-24,2026-07-25 19:05:03
006208,富邦台50,233.0,TSE,2026-07-24,2026-07-25 19:05:03
00625K,富邦上証+R,0.0,TSE,2026-07-24,2026-07-25 19:05:03
00631L,元大台灣50正2,33.5,TSE,2026-07-24,2026-07-25 19:05:03
00632R,元大台灣50反1,10.57,TSE,2026-07-24,2026-07-25 19:05:03
00633L,富邦上証正2,50.5,TSE,2026-07-24,2026-07-25 19:05:03
00634R,富邦上証反1,3.08,TSE,2026-07-24,2026-07-25 19:05:03
