"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"1101","臺灣水泥股份有限公司","20260123.0",25.7,2.0,31.2,10.2,3.19,32.59,8210.7,"NTD",312.9,38.0517,1.0,0,3.5,3.2,2.3,9.0,12.8,"水泥工業","TWSE",7551.2,"2025/09",2024,154607,35.45,20.25
"1102","亞洲水泥股份有限公司","20260123.0",35.3,14.0,100.6,32.9,6.56,51.13,11890.8,"NTD",37.3,67.0752,2.2,0,7.5,6.5,7.6,11.4,10.2,"水泥工業","TWSE",3546.6,"2025/09",2024,81849,47.4,35.0
"1103","嘉新水泥股份有限公司","20260123.0",14.0,-10.0,7.3,3.3,1.17,26.42,245.0,"NTD",-1770.5,159.0087,0.55,0,1.2,0.1,-1.0,1.0,5.1,"水泥工業","TWSE",790.2,"2025/09",2024,2985,17.5,12.75
"1104","環球水泥股份有限公司","20260123.0",29.9,10.0,64.1,21.0,6.2,34.45,1467.8,"NTD",37.2,71.3461,1.7,0,6.5,7.0,6.4,5.7,6.6,"水泥工業","TWSE",686.7,"2025/09",2024,7954,32.85,25.7
"1108","幸福水泥股份有限公司","20260123.0",15.1,15.0,39.1,14.8,12.53,12.81,649.9,"NTD",60.6,59.2265,0.75,0,9.5,10.4,12.1,5.3,8.5,"水泥工業","TWSE",404.7,"2025/09",2024,4867,15.6,12.7
"1109","信大水泥股份有限公司","20260123.0",15.4,12.0,37.6,12.3,5.15,24.32,427.4,"NTD",10.5,75.2745,0.9,0,5.7,8.8,4.9,11.2,14.8,"水泥工業","TWSE",341.2,"2025/09",2024,4656,18.15,15.3
"1110","東南水泥股份有限公司","20260123.0",16.2,-1.0,14.6,4.8,2.96,16.46,278.6,"NTD",116.7,114.4,0.3,0,4.1,0.3,0.4,1.1,0.5,"水泥工業","TWSE",572.0,"2025/09",2024,2873,21.3,16.05
"1201","味全食品工業股份有限公司","20260123.0",14.5,3.0,17.8,5.8,3.88,15.26,300.0,"NTD",-48.2,77.0893,0.5,0,4.8,2.8,4.9,6.8,8.0,"食品工業","TWSE",506.1,"2025/09",2024,23474,18.3,14.2
"1203","味王股份有限公司","20260123.0",39.75,6.0,62.0,20.3,8.03,25.75,496.1,"NTD",18.6,71.19,1.2,0,9.6,7.6,8.5,8.4,8.4,"食品工業","TWSE",240.0,"2025/09",2024,6287,42.8,34.25
"1210","大成長城企業股份有限公司","20260123.0",52.3,6.0,79.6,30.2,11.72,28.66,3006.7,"NTD",55.2,60.8194,2.83,0,13.4,18.1,8.7,7.4,13.4,"食品工業","TWSE",894.8,"2025/09",2024,102749,66.9,50.4
"1213","大西洋飲料股份有限公司","20260123.0",10.3,"","","",-14.7,12.72,-105.9,"NTD","",0.0,0.35,0,-54.6,-48.6,-18.1,-14.2,-10.5,"食品工業","TWSE",56.6,"2025/09",2024,191,17.45,9.75
"1215","台灣卜蜂企業股份有限公司","20260123.0",150.0,8.0,258.5,94.0,21.1,36.24,2254.7,"NTD",66.4,54.2022,4.5,0,19.2,24.6,18.5,16.1,19.0,"食品工業","TWSE",294.8,"2025/09",2024,27957,158.0,90.5
"1216","統一企業股份有限公司","20260123.0",73.6,2.0,86.8,28.4,12.15,23.79,16430.6,"NTD",88.1,81.4155,3.0,0,13.6,2.3,11.6,14.8,17.2,"食品工業","TWSE",5682.0,"2025/09",2024,657637,87.2,73.8
"1217","愛之味股份有限公司","20260123.0",10.7,0.0,11.0,3.6,2.42,15.24,182.1,"NTD",168.8,56.8675,0.37,0,3.8,2.7,1.3,3.0,3.9,"食品工業","TWSE",494.5,"2025/09",2024,5116,12.35,10.1
"1218","泰山企業股份有限公司","20260123.0",18.4,9.0,36.1,11.8,4.69,25.62,601.5,"NTD",233.6,0.0,1.35,0,5.6,-1.2,-4.9,7.6,12.0,"食品工業","TWSE",500.0,"2025/09",2024,10682,22.85,17.85
"1219","福壽實業股份有限公司","20260123.0",13.5,2.0,15.6,5.1,3.9,13.35,177.7,"NTD",60.8,49.016,0.5,0,3.4,6.4,6.8,6.7,7.6,"食品工業","TWSE",341.2,"2025/09",2024,14330,17.9,12.75
"1220","台榮產業股份有限公司","20260123.0",12.7,4.0,16.8,5.5,4.06,13.8,99.3,"NTD",0.0,103.9939,0.7,0,7.7,5.1,1.1,6.9,7.4,"食品工業","TWSE",177.1,"2025/09",2024,3480,17.6,12.2
"1225","福懋油脂股份有限公司","20260123.0",28.45,5.0,41.4,13.5,9.45,14.62,334.8,"NTD",-15.5,94.5208,0.14,0,9.0,10.4,10.6,13.6,11.5,"食品工業","TWSE",242.3,"2025/09",2024,12859,52.1327,26.3981
"1227","佳格食品股份有限公司","20260123.0",29.15,6.0,44.9,14.7,7.43,20.12,1369.0,"NTD",20.0,90.3616,1.4,0,9.5,6.5,6.3,13.1,18.2,"食品工業","TWSE",915.1,"2025/09",2024,28974,38.5,29.35
"1229","聯華實業控股股份有限公司","20260123.0",46.6,6.0,72.0,23.5,8.22,29.16,4308.2,"NTD",105.6,44.1877,1.3,0,9.1,11.2,9.9,12.7,11.6,"食品工業","TWSE",1796.0,"2025/09",2024,12947,51.2,39.0476
"1231","聯華食品工業股份有限公司","20260123.0",94.6,2.0,110.9,39.0,16.01,21.9,1047.2,"NTD",78.7,34.7261,1.6,0,19.0,19.8,18.4,18.7,16.7,"食品工業","TWSE",298.5,"2025/09",2024,12202,164.5455,92.3
"1232","大統益股份有限公司","20260123.0",145.0,4.0,193.3,76.9,22.2,35.52,1262.1,"NTD",7.6,85.7613,7.0,0,24.0,23.1,25.0,26.9,31.6,"食品工業","TWSE",160.0,"2025/09",2024,22067,169.0,140.0
"1233","天仁茶業股份有限公司","20260123.0",32.2,-5.0,22.2,7.2,4.59,16.1,67.0,"NTD",-39.6,135.5667,0.95,0,5.2,5.8,3.1,0.7,3.0,"食品工業","TWSE",90.6,"2025/09",2024,2196,37.1,29.35
"1234","黑松股份有限公司","20260123.0",37.0,-10.0,19.0,8.5,1.83,46.86,345.2,"NTD",-8.3,143.4758,1.9,0,2.5,2.6,2.4,2.1,2.6,"食品工業","TWSE",401.9,"2025/09",2024,10251,42.65,36.35
"1235","興泰實業股份有限公司","20260123.0",40.8,"","","",-0.31,17.35,-10.3,"NTD","",72.4337,0.5,0,-0.6,5.8,4.6,2.7,2.4,"食品工業","TWSE",188.6,"2025/09",2024,113,93.75,44.6
"1236","宏亞食品股份有限公司","20260123.0",25.2,"","","",-2.26,29.45,-57.6,"NTD","",0.0,0.6,0,-2.4,-0.4,-2.0,-2.8,-1.2,"食品工業","TWSE",86.7,"2025/09",2024,1978,27.9,20.1
"1240","茂生農經股份有限公司","20260123.0",60.6,7.0,97.2,38.1,12.62,32.71,182.6,"NTD",9.6,74.1764,2.7,0,12.7,12.8,0.2,11.3,14.8,"農業科技業","OTC",44.2,"2025/09",2024,2857,67.0,48.2243
"1256","鮮活控股股份有限公司","20260123.0",156.0,7.0,267.7,87.5,9.32,95.72,319.4,"NTD",3.2,77.7617,4.7,0,7.2,10.9,10.3,26.0,37.0,"食品工業","TWSE",35.8,"2025/09",2024,4002,199.5,103.0
"1258","其祥生物科技控股有限公司","20230531.0",26.85,-8.0,14.2,4.6,2.46,19.23,17.4,"NTD",-1756.0,50.0,"",0,0.5,9.1,-8.0,-20.8,-19.7,"食品工業","OTC",36.8,"2023/03",2022,2571,"",""
"1259","安心食品服務股份有限公司","20260123.0",61.5,-5.0,41.7,13.6,1.81,76.88,45.1,"NTD",1004.9,19.8367,1.2,0,2.4,7.4,4.0,-0.4,5.2,"觀光餐旅","OTC",32.4,"2025/09",2024,6046,66.7,53.8
"1262","綠悅控股有限公司","","","","","",-0.99,62.46,-101.4,"NTD",118.7,0.0,"",0,1.9,8.2,18.0,17.1,27.5,"其他業","",163.4,"2019/06",2018,3859,"",""
"1264","德麥食品股份有限公司","20260123.0",279.0,10.0,533.4,205.6,21.0,93.07,725.3,"NTD",23.0,75.4054,14.5,0,23.6,22.9,24.6,23.9,22.3,"食品工業","OTC",37.1,"2025/09",2024,6806,339.0,277.5
"1268","漢來美食股份有限公司","20260123.0",161.5,7.0,267.4,96.7,16.7,53.74,378.7,"NTD",103.2,46.7405,7.5,0,19.2,17.1,4.2,-1.6,11.2,"觀光餐旅","OTC",42.2,"2025/09",2024,5930,164.5,120.0
"1294","漢田生技股份有限公司","20260123.0",76.7,8.0,137.6,45.0,17.16,26.73,140.4,"NTD",71.2,20.9301,3.13,0,38.7,55.8,28.0,22.4,68.7,"食品工業","OTC",30.6,"2025/09",2024,748,89.751,63.6796
"1295","生合生物科技股份有限公司","20260123.0",86.0,6.0,138.0,45.1,13.93,31.27,150.3,"NTD",223.6,0.0,3.5,0,17.2,11.9,10.2,20.3,19.9,"食品工業","OTC",34.5,"2025/09",2024,989,157.5,58.5
"1301","台灣塑膠工業股份有限公司","20260123.0",44.4,"","","",-0.42,45.39,-1222.0,"NTD",74.4,66.2542,0.5,0,-0.5,1.8,8.8,21.3,5.6,"塑膠工業","TWSE",6365.7,"2025/09",2024,200040,44.8,31.55
"1303","南亞塑膠工業股份有限公司","20260123.0",77.1,-32.0,3.5,1.1,0.27,43.7,927.1,"NTD",-2.8,92.6448,0.7,0,0.4,1.1,6.7,23.1,6.8,"塑膠工業","TWSE",7930.8,"2025/09",2024,259608,73.8,26.25
