"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","Industry","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"1301","KYOKUYO CO LTD","20260130",5140.0,15.0,15248.74,4984.84,9.08,5598.91,6038.5,"JPY",78.9,19.2,"",0,11.3,13.1,13.2,11.9,"","Consumer Non-Durables","Packaged Foods","",11.88,"",2025,302681.0,5220.0,3615.0
"130A","VERITAS IN SILICO INC","20260130",493.0,"","","",-13.55,340.45,-299.4,"JPY","",0.0,"",0,-15.0,2.1,-8.4,"","","Health Technology","Biotechnology","",6.49,"",2024,194.64,940.0,428.0
"1332","日本水產","20260130",1295.0,9.0,2491.71,814.54,9.09,913.57,25187.1,"JPY",58.1,35.2,"",0,9.8,9.7,10.4,13.2,"","Consumer Non-Durables","Packaged Foods","",303.25,"",2025,886126.0,1258.0,795.1
"1333","MARUHA NICHIRO CORPORATION","20260130",1388.5,10.0,2995.9,979.37,6.58,1518.7,15095.4,"JPY",53.8,36.4,"",0,6.6,9.0,12.8,11.9,"","Consumer Non-Durables","Farm Products","",151.16,"",2025,1078631.0,1432.0,971.0
"135A","VRAIN SOLUTION INC.","20260130",2561.0,-10.0,1100.41,359.73,26.28,139.56,373.8,"JPY","",0.0,"",0,42.6,370.1,153.3,"","","Technology Services","Packaged Software","",10.19,"",2025,2144.64,3825.0,1481.0
"1375","YUKIGUNI FACTORY CO LTD","20260130",1062.0,11.0,2320.11,870.91,22.56,310.16,2790.0,"JPY",-18.4,68.6,"",0,28.1,13.8,12.3,34.9,"","Process Industries","Packaged Foods","",39.87,"",2025,53139.0,1218.0,991.0
"1376","KANEKO SEEDS CO","20260130",1486.0,12.0,3630.66,1186.87,5.37,2253.42,1343.3,"JPY",2.8,61.0,"",0,5.3,5.3,6.4,6.3,"","Non-Energy Minerals","Agricultural Inputs","",11.1,"",2025,64508.0,1859.0,1310.0
"1377","SAKATA SEED CORP","20260130",4055.0,6.0,6349.18,2075.56,5.67,3729.6,9153.4,"JPY",50.7,37.8,"",0,5.4,3.6,7.4,7.0,"","Non-Energy Minerals","Farm Products","",43.25,"",2025,92920.0,4415.0,3035.0
"1379","HOKUTO CORP","20260130",1980.0,11.0,4560.48,1490.83,8.38,1814.92,4758.1,"JPY",-47.6,72.1,"",0,9.8,6.3,-3.1,4.7,"","Process Industries","Farm Products","",31.3,"",2025,83104.0,2123.0,1690.0
"1380","AKIKAWA FOODS & FARMS","20260130",1016.0,-8.0,532.37,174.03,3.39,523.02,74.0,"JPY",275.6,21.9,"",0,1.5,4.8,8.0,8.9,"","Consumer Non-Durables","Farm Products","",4.17,"",2025,7957.0,1250.0,931.0
"1381","AXYZ","20260130",4245.0,10.0,8803.02,2877.72,7.63,3843.42,1649.1,"JPY",27.2,54.5,"",0,6.7,6.4,7.8,11.2,"","Process Industries","Farm Products","",5.62,"",2025,26426.0,4600.0,2550.0
"1382","HOB CO.LTD","20260130",1807.0,-13.0,603.95,197.43,2.02,994.74,15.3,"JPY",9.7,62.4,"",0,3.0,2.5,15.3,24.6,"","Process Industries","Farm Products","",0.76,"",2025,2412.0,3645.0,1480.0
"1383","Berg Earth Co. Ltd.","20260130",3205.0,"","","",-5.98,1321.88,-126.4,"JPY","",0.0,"",0,-6.4,-3.5,2.5,-7.5,-15.2,"Consumer Defensive","Farm Products","",1.6,"",2025,7303.0,3930.0,2830.0
"138A","HIKARI FOOD SERVICE CO. LTD.","20260130",2914.0,4.0,3914.44,1279.64,11.13,1259.92,138.9,"JPY","",0.0,40.0,0,34.8,131.9,156.8,"","","Consumer Services","Restaurants","",0.99,"",2024,2566.85,3315.0,1471.0
"1401","MBS INC","20260130",1518.0,1.0,1678.82,611.87,12.38,525.75,457.6,"JPY",23.9,45.1,"",0,13.9,10.4,10.8,11.7,"","Consumer Durables","Engineering & Construction","",7.03,"",2025,4713.0,1847.0,578.0
"1407","West Holdings Corp.","20260130",1591.0,13.0,4252.73,1499.27,15.41,913.34,5583.0,"JPY",84.6,34.7,"",0,16.6,21.7,20.9,22.7,32.7,"Utilities","Utilities - Renewable","",39.66,"",2025,47250.0,2020.0,1294.0
"1414","SHO-BOND HOLDINGS CO LTD","20260130",1388.5,5.0,2089.1,682.93,13.53,514.52,14224.7,"JPY",-1.9,76.3,"",0,14.0,14.1,13.3,13.2,"","Industrial Services","Engineering & Construction","",204.27,"",2025,90712.0,1458.0,1109.75
"1417","MIRAIT ONE CORPORATION","20260130",3708.0,6.0,6067.14,1983.36,6.88,2940.86,17983.0,"JPY",37.1,66.0,"",0,6.6,4.4,5.8,9.6,"","Industrial Services","Engineering & Construction","",88.92,"",2025,578599.0,3845.0,1860.0
"1418","Interlife Holdings Co. Ltd.","20260130",578.0,11.0,1228.22,494.35,18.06,270.02,761.4,"JPY",5.9,88.9,"",0,20.0,4.5,2.9,-0.2,"","Industrials","Specialty Business Services","",15.61,"",2025,16940.0,729.0,320.0
"1419","TAMA HOME CO LIMITED","20260130",3715.0,2.0,4316.83,1411.18,12.18,1181.3,4171.5,"JPY",10.1,74.0,"",0,6.5,25.5,29.3,32.4,"","Consumer Durables","Residential Construction","",28.99,"",2025,200817.0,4030.0,3200.0
"141A","TRIAL HOLDINGS INC","20260130",2892.0,-3.0,2305.99,766.47,9.29,1031.27,11720.3,"JPY",258.1,6.0,"",0,12.2,19.7,14.4,13.4,"","Retail Trade","Specialty Stores","",122.3,"",2025,806590.0,3345.0,1795.0
"1420","SANYO HOMES CORPORATION","20260130",720.0,16.0,2312.46,755.95,5.65,1363.17,866.4,"JPY",8.0,67.0,"",0,5.1,4.6,-1.1,2.1,"","Consumer Durables","Residential Construction","",11.24,"",2025,45518.0,742.0,600.0
"1429","NIPPON AQUA CO LTD","20260130",884.0,7.0,1543.23,598.33,17.96,330.67,1893.7,"JPY",-2.2,75.1,35.0,0,19.8,25.2,19.5,12.5,"","Process Industries","Engineering & Construction","",31.89,"",2024,30265.0,955.0,650.0
"142A","JINJIB CO LTD","20260130",670.0,"","","",-32.76,134.14,-127.4,"JPY","",0.0,"",0,-38.7,643.3,"","","","Commercial Services","Personnel Services","",2.9,"",2025,2400.0,1083.0,430.0
"1430","FIRST-CORPORATION INC","20260130",1061.0,17.0,3580.59,1243.96,14.43,816.74,1408.8,"JPY","",27.5,"",0,19.9,12.4,"","","","Consumer Durables","Residential Construction","",11.95,"",2025,43194.0,1058.0,830.0
