code,year,quarter,eps,profit,equity,cash_dividend
1240,114,Q3,3.84,165197.0,1496014.0,
1240,114,Q2,,,1444336.0,
1240,114,Q1,1.15,46196.0,1508821.0,
1240,113,Q4,4.34,166463.0,1493973.0,
1240,113,Q3,3.07,114316.0,1898591.0,
1240,113,Q2,2.02,68084.0,1653044.0,
1240,113,Q1,0.98,33458.0,1458040.0,
1240,113,Y1,,,,2.7
1240,112,Q4,4.12,135892.0,1414811.0,
1240,112,Q3,2.68,87055.0,1346046.0,
1240,112,Q2,1.39,42941.0,1313823.0,
1240,112,Q1,0.38,9153.0,1333626.0,
1240,112,Y1,,,,2.2
1240,111,Q4,0.14,-18955.0,1317752.0,
1240,111,Q3,0.02,-18280.0,1287581.0,
1240,111,Q2,0.92,22882.0,1314267.0,
1240,111,Q1,0.35,4953.0,1415353.0,
1240,111,Y1,,,,1.0
1240,110,Q4,3.57,109236.0,1380415.0,
1240,110,Q3,2.6,77290.0,1312191.0,
1240,110,Q2,1.9,55909.0,1359278.0,
1240,110,Q1,0.96,28274.0,1375070.0,
1240,110,Y1,,,,2.0
1240,109,Q4,4.44,146027.0,1261234.0,
1240,109,Q3,,,1188352.0,
1240,109,Q2,1.88,63052.0,1177376.0,
1240,109,Q1,0.98,32651.0,1164227.0,
1240,109,Y1,,,,2.0
1240,108,Q4,4.01,136361.0,1025963.0,
1240,108,Q3,3.05,103567.0,1017540.0,
1240,108,Q2,2.19,74510.0,1174558.0,
1240,108,Q1,1.01,33224.0,1142497.0,
1240,108,Y1,,,,2.0
1240,107,Q4,3.2,99930.0,1167687.0,
1240,107,Q3,2.02,61911.0,1177902.0,
1240,107,Q2,1.55,46463.0,1005381.0,
1240,107,Q1,0.93,27834.0,988911.0,
1240,107,Y1,,,,1.5
1240,106,Q4,4.63,139083.0,919690.0,
1240,106,Q2,2.47,74114.0,783275.0,
1240,106,Y1,,,,2.5
1259,114,Q3,1.03,36357.0,3181978.0,
1259,114,Q2,,,2369798.0,
1259,114,Q1,0.27,11090.0,2394091.0,
1259,113,Q4,2.05,56460.0,2504822.0,
1259,113,Q3,2.22,62227.0,2449808.0,
1259,113,Q2,2.08,56432.0,2500744.0,
1259,113,Q1,1.01,32095.0,2530403.0,
1259,113,Y1,,,,1.2
1259,112,Q4,5.17,163040.0,2381490.0,
1259,112,Q3,4.58,145233.0,2445415.0,
1259,112,Q2,2.74,86086.0,2427699.0,
1259,112,Q1,1.04,32084.0,2195237.0,
1259,112,Y1,,,,1.8
1259,111,Q4,4.02,117951.0,2005546.0,
1259,111,Q3,3.11,92443.0,1963229.0,
1259,111,Q2,1.14,30627.0,1948935.0,
1259,111,Q1,0.41,8558.0,2024904.0,
1259,111,Y1,,,,2.6
1259,110,Q4,3.07,88945.0,2091290.0,
1259,110,Q3,1.08,28376.0,2035412.0,
1259,110,Q2,0.65,16705.0,2241890.0,
1259,110,Q1,0.65,18418.0,2059484.0,
1259,110,Y1,,,,2.3
1259,109,Q4,4.96,150438.0,1939491.0,
1259,109,Q3,,,1925578.0,
1259,109,Q2,1.62,45859.0,1827133.0,
1259,109,Q1,0.13,327.0,1843543.0,
1259,109,Y1,,,,3.0
1259,108,Q4,5.02,147231.0,1862870.0,
1259,108,Q3,4.36,130064.0,1852791.0,
1259,108,Q2,2.25,65135.0,1793652.0,
1259,108,Q1,0.87,23886.0,1849787.0,
1259,108,Y1,,,,3.2
1259,107,Q4,4.36,121020.0,1788856.0,
1259,107,Q3,3.66,103671.0,1770528.0,
1259,107,Q2,2.05,57207.0,1726558.0,
1259,107,Q1,0.8,21568.0,1804202.0,
1259,107,Y1,,,,3.0
1259,106,Q4,5.23,148712.0,1780933.0,
1259,106,Q3,4.5,131004.0,1769760.0,
1259,106,Q2,2.73,78532.0,1719897.0,
1259,106,Q1,1.2,34294.0,1733694.0,
1259,106,Y1,,,,3.5
1264,114,Q3,15.94,681017.0,4213769.0,
1264,114,Q2,,,3889785.0,
1264,114,Q1,5.2,220909.0,3977000.0,
1264,113,Q4,20.55,891421.0,4258991.0,
1264,113,Q3,15.67,671463.0,4048087.0,
1264,113,Q2,10.02,425051.0,3760093.0,
1264,113,Q1,5.08,213413.0,3599564.0,
1264,113,Y1,,,,14.5
1264,112,Q4,18.24,773832.0,3866001.0,
1264,112,Q3,13.81,579436.0,3719236.0,
1264,112,Q2,9.02,374199.0,3464005.0,
