出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","1101","台泥","79333009.00","182819081.00","262152090.00","63839647.00","52947040.00","116786687.00","36921759.00","13534162.00","44965824.00","10750464.00","--","106172209.00","--","--","39193194.00","145365403.00","--","0.00","0.00","28.76"
"114/11/30","106","2","1102","亞泥","53104700.00","194722618.00","247827318.00","61225180.00","48981669.00","110206849.00","33614472.00","1167449.00","90411719.00","-4806460.00","--","120387180.00","--","--","17233289.00","137620469.00","--","0.00","0.00","35.81"
"114/11/30","106","2","1103","嘉泥","8190702.00","19407872.00","27598574.00","1801802.00","7228444.00","9030246.00","7747805.00","617579.00","8079737.00","1448902.00","-1149426.00","16744597.00","--","--","1823731.00","18568328.00","--","0.00","131226016.00","26.02"
"114/11/30","106","2","1104","環泥","4208658.00","16512750.00","20721408.00","3311933.00","1350120.00","4662053.00","6536092.00","47112.00","9375756.00","-14923.00","--","15944037.00","--","--","115318.00","16059355.00","--","0.00","0.00","25.13"
"114/11/30","106","2","1108","幸福","5097864.00","2275282.00","7373146.00","2092893.00","712780.00","2805673.00","4047380.00","8.00","482828.00","7618.00","0.00","4537834.00","--","--","29639.00","4567473.00","0.00","0.00","0.00","11.21"
"114/11/30","106","2","1109","信大","2895785.00","5659644.00","8555429.00","1172102.00","929369.00","2101471.00","3789007.00","22299.00","1689826.00","-13456.00","0.00","5487676.00","--","--","966282.00","6453958.00","0.00","0.00","0.00","14.48"
"114/11/30","106","2","1110","東泥","1932784.00","7376600.00","9309384.00","420726.00","315649.00","736375.00","5720008.00","185149.00","1941982.00","697270.00","-12185.00","8532224.00","--","--","40785.00","8573009.00","--","0.00","2112865.00","14.97"
"114/11/30","106","2","1201","味全","20079546.00","13935463.00","34015009.00","17943919.00","8969379.00","26913298.00","5060629.00","688.00","-313707.00","-162301.00","--","4585309.00","--","--","2516402.00","7101711.00","0.00","0.00","0.00","9.06"
"114/11/30","106","2","1203","味王","3950522.00","4766415.00","8716937.00","1948464.00","1576163.00","3524627.00","2400000.00","112965.00","1778030.00","57484.00","-38464.00","4310015.00","--","--","882295.00","5192310.00","0.00","0.00","2293865.00","18.13"
"114/11/30","106","2","1210","大成","19494101.00","18219279.00","37713380.00","16128995.00","1505609.00","17634604.00","7363944.00","2471726.00","4164901.00","857006.00","-306199.00","14551378.00","--","--","5527398.00","20078776.00","--","0.00","52894691.00","21.29"
"114/11/30","106","2","1213","大飲","480274.00","452584.00","932858.00","207027.00","32059.00","239086.00","566226.00","21938.00","105764.00","-156.00","--","693772.00","--","--","--","693772.00","0.00","0.00","0.00","12.25"
"114/11/30","106","2","1215","卜蜂","4961111.00","6755940.00","11717051.00","4453430.00","984250.00","5437680.00","2679910.00","967.00","2144533.00","1197909.00","--","6023319.00","--","--","256052.00","6279371.00","0.00","0.00","0.00","22.48"
"114/11/30","106","2","1216","統一","136657651.00","232776679.00","369434330.00","137972496.00","86177003.00","224149499.00","56820154.00","3880348.00","32751233.00","-3948208.00","--","89503527.00","--","--","55781304.00","145284831.00","0.00","0.00","0.00","15.75"
"114/11/30","106","2","1217","愛之味","2095830.00","9631281.00","11727111.00","3203556.00","2570291.00","5773847.00","4945134.00","256556.00","255678.00","-198635.00","0.00","5258733.00","--","--","694531.00","5953264.00","0.00","0.00","0.00","10.63"
"114/11/30","106","2","1218","泰山","3249796.00","4778865.00","8028661.00","2460505.00","2088735.00","4549240.00","3533360.00","23770.00","146097.00","-25089.00","-203876.00","3474262.00","--","--","5159.00","3479421.00","0.00","0.00","13680042.00","10.23"
"114/11/30","106","2","1219","福壽","4038547.00","4140150.00","8178697.00","2053733.00","2270475.00","4324208.00","3220139.00","32946.00","538219.00","-3844.00","--","3787460.00","--","--","67029.00","3854489.00","0.00","0.00","0.00","11.88"
"114/11/30","106","2","1220","台榮","1866840.00","1083223.00","2950063.00","410765.00","205280.00","616045.00","1770779.00","1413.00","442766.00","-45374.00","0.00","2169584.00","--","--","164434.00","2334018.00","--","0.00","0.00","12.25"
"114/11/30","106","2","1225","福懋油","3816386.00","2542805.00","6359191.00","1885074.00","977176.00","2862250.00","2187030.00","121015.00","850591.00","-65164.00","--","3093472.00","--","--","403469.00","3496941.00","--","0.00","0.00","14.14"
"114/11/30","106","2","1227","佳格","14931754.00","7258474.00","22190228.00","8111486.00","490236.00","8601722.00","9150897.00","72397.00","4492736.00","-285256.00","-21182.00","13409592.00","--","--","178914.00","13588506.00","0.00","0.00","6412953.00","15.35"
"114/11/30","106","2","1229","聯華","3765140.00","24663312.00","28428452.00","4484168.00","1172802.00","5656970.00","9564847.00","753138.00","8690320.00","3700419.00","-2393.00","22706331.00","--","--","65151.00","22771482.00","--","0.00","100000.00","24.93"
"114/11/30","106","2","1231","聯華食","3229515.00","3363906.00","6593421.00","2175063.00","1528886.00","3703949.00","1598858.00","72657.00","1186689.00","14218.00","--","2872422.00","--","--","17050.00","2889472.00","--","0.00","0.00","18.77"
"114/11/30","106","2","1232","大統益","4625334.00","596610.00","5221944.00","1782289.00","62656.00","1844945.00","1599749.00","23784.00","1708217.00","--","--","3331750.00","--","--","45249.00","3376999.00","0.00","0.00","0.00","20.83"
"114/11/30","106","2","1233","天仁","716562.00","1174998.00","1891560.00","427652.00","120259.00","547911.00","905919.00","45204.00","471851.00","-80601.00","-2754.00","1339619.00","--","--","4030.00","1343649.00","0.00","0.00","60000.00","14.80"
"114/11/30","106","2","1234","黑松","8297692.00","15390852.00","23688544.00","4150490.00","2358968.00","6509458.00","4018711.00","184583.00","12983040.00","-7248.00","0.00","17179086.00","--","--","0.00","17179086.00","--","0.00","0.00","42.75"
"114/11/30","106","2","1235","興泰","3587366.00","1263140.00","4850506.00","1483426.00","55073.00","1538499.00","606623.00","41515.00","565380.00","2108036.00","-9953.00","3311601.00","--","--","406.00","3312007.00","--","0.00","1978138.00","56.43"
"114/11/30","106","2","1236","宏亞","533894.00","2215683.00","2749577.00","385811.00","635806.00","1021617.00","1083425.00","33396.00","354416.00","256723.00","0.00","1727960.00","--","--","0.00","1727960.00","0.00","0.00","0.00","15.95"
"114/11/30","106","2","1256","鮮活果汁-KY","1475991.00","683476.00","2159467.00","1123203.00","114830.00","1238033.00","271656.00","60109.00","645525.00","-59872.00","--","917418.00","--","--","4016.00","921434.00","--","0.00","0.00","33.77"
"114/11/30","106","2","1301","台塑","188915346.00","273100243.00","462015589.00","91896962.00","65175900.00","157072862.00","63657408.00","11428932.00","152969698.00","76886689.00","--","304942727.00","--","--","--","304942727.00","0.00","0.00","0.00","47.90"
"114/11/30","106","2","1303","南亞","222821902.00","312941432.00","535763334.00","103990070.00","100040523.00","204030593.00","79308216.00","23361499.00","175505789.00","41800231.00","--","319975735.00","--","--","11757006.00","331732741.00","0.00","0.00","0.00","40.35"
"114/11/30","106","2","1304","台聚","32536892.00","31092284.00","63629176.00","16811058.00","14120309.00","30931367.00","11654544.00","234690.00","6172640.00","3392.00","-475606.00","17589660.00","--","--","15108149.00","32697809.00","0.00","0.00","111943075.00","17.07"
"114/11/30","106","2","1305","華夏","6552291.00","6426678.00","12978969.00","2741227.00","2697916.00","5439143.00","4919996.00","8219.00","2224246.00","13995.00","--","7166456.00","0.00","--","373370.00","7539826.00","0.00","0.00","0.00","15.00"
"114/11/30","106","2","1307","三芳","8691402.00","6262007.00","14953409.00","4183697.00","2580494.00","6764191.00","3978181.00","137866.00","4172179.00","-99008.00","--","8189218.00","--","--","--","8189218.00","--","0.00","0.00","20.59"
"114/11/30","106","2","1308","亞聚","5738262.00","9073721.00","14811983.00","3520947.00","1839269.00","5360216.00","5181147.00","14461.00","4025055.00","231104.00","0.00","9451767.00","0.00","--","--","9451767.00","0.00","0.00","0.00","18.79"
"114/11/30","106","2","1309","台達化","4516079.00","3501539.00","8017618.00","2850561.00","1796745.00","4647306.00","3276518.00","469.00","44504.00","48821.00","--","3370312.00","--","--","--","3370312.00","0.00","0.00","0.00","10.29"
"114/11/30","106","2","1310","台苯","4422328.00","7071777.00","11494105.00","3269184.00","1112355.00","4381539.00","5278698.00","70339.00","1360227.00","60227.00","--","6769491.00","--","--","343075.00","7112566.00","--","0.00","0.00","12.82"
"114/11/30","106","2","1312","國喬","8136416.00","17120082.00","25256498.00","3379129.00","1263027.00","4642156.00","9266203.00","123604.00","8235386.00","633151.00","-199604.00","18058740.00","--","--","2555602.00","20614342.00","0.00","0.00","8254473.00","19.66"
"114/11/30","106","2","1313","聯成","16658410.00","22445215.00","39103625.00","11633766.00","8761652.00","20395418.00","11995571.00","1111644.00","4246406.00","1722138.00","-367552.00","18708207.00","--","--","--","18708207.00","0.00","0.00","38417000.00","16.51"
"114/11/30","106","2","1314","中石化","19642038.00","60388909.00","80030947.00","9509317.00","14697436.00","24206753.00","23633536.00","89438.00","33444883.00","-1586540.00","--","55581317.00","--","--","242877.00","55824194.00","--","0.00","0.00","23.52"
"114/11/30","106","2","1315","達新","4561896.00","5132472.00","9694368.00","1533419.00","972529.00","2505948.00","1980000.00","78348.00","3536171.00","1698319.00","-118879.00","7173959.00","0.00","--","14461.00","7188420.00","0.00","0.00","7137000.00","37.59"
"114/11/30","106","2","1316","上曜","3727973.00","787765.00","4515738.00","2452155.00","62493.00","2514648.00","1174545.00","113806.00","-202602.00","94207.00","-33480.00","1146476.00","--","--","854614.00","2001090.00","0.00","203000.00","11286800.00","10.80"
"114/11/30","106","2","1319","東陽","9586252.00","26863335.00","36449587.00","9279208.00","7438803.00","16718011.00","5914771.00","4149257.00","9113706.00","-376788.00","--","18800946.00","--","--","930630.00","19731576.00","--","0.00","0.00","31.79"
"114/11/30","106","2","1321","大洋","1452829.00","9427341.00","10880170.00","982368.00","5146182.00","6128550.00","2272283.00","7792.00","2556674.00","-48940.00","-36189.00","4751620.00","--","--","--","4751620.00","0.00","0.00","6542716.00","21.53"
"114/11/30","106","2","1323","永裕","2247748.00","1521609.00","3769357.00","649802.00","1213177.00","1862979.00","912745.00","56424.00","771693.00","-80331.00","-2813.00","1657718.00","--","--","248660.00","1906378.00","0.00","0.00","1200017.00","18.40"
