出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","4","2880","華南金","58983323.00","185191799.00","76061991.00","149474678.00","0.00","601507.00","45198320.00","480222.00","0.00","1582344101.00","4005896.00","380815899.00","57128.00","--","41634967.00","9837544.00","32518581.00","543485.00","2646268.00","3024041.00","2573419750.00","84127060.00","--","7975720.00","4082.00","40797559.00","27524893.00","43808589.00","1080850.00","--","2110962220.00","53448450.00","703000.00","--","18447562.00","8872718.00","6103727.00","5329157.00","2409185587.00","110465199.00","17758986.00","35513962.00","494436.00","--","--","164232583.00","1580.00","164234163.00","--","0.00","0.00","14.87"
"114/11/30","106","4","2881","富邦金","214049624.00","216514115.00","149197867.00","1635142008.00","2272840.00","71832960.00","170670909.00","513005.00","45533.00","1758440111.00","20286770.00","487150264.00","24626842.00","--","1833092118.00","178327230.00","57259132.00","28253774.00","15671105.00","56107779.00","6919453986.00","138707627.00","5386206.00","40247250.00","2589585.00","158316465.00","23471870.00","107957284.00","11369877.00","--","2284605939.00","187206734.00","5440749.00","--","3230051141.00","191956825.00","12825534.00","30549552.00","6430682638.00","108336040.00","103674220.00","271046034.00","5375314.00","--","--","488431608.00","339740.00","488771348.00","0.00","0.00","0.00","45.08"
"114/11/30","106","4","2882","國泰金","245354768.00","125163780.00","365808158.00","1681125738.00","246444.00","99703578.00","169202260.00","4362608.00","--","2038528190.00","7237144.00","98759110.00","37355653.00","--","3347907301.00","318106325.00","165095690.00","55802976.00","31243778.00","50506788.00","8841510289.00","90417859.00","--","90514268.00","--","112643582.00","51468158.00","57943815.00","8879563.00","--","2062953012.00","98350000.00","441199.00","--","4972427256.00","623527312.00","34828440.00","28645282.00","8233039746.00","133965102.00","130452105.00","283743551.00","50906313.00","0.00","0.00","599067071.00","9403472.00","608470543.00","0.00","0.00","0.00","44.72"
"114/11/30","106","4","2883","凱基金","63807752.00","33829034.00","125949607.00","558889116.00","--","55150889.00","100219420.00","745603.00","--","325147363.00","302104.00","198886022.00","16375012.00","40973737.00","752610493.00","25450094.00","30880691.00","22169720.00","9081862.00","32055871.00","2392524390.00","28867956.00","--","55729704.00","--","100177627.00","20549392.00","85630607.00","5443513.00","--","362729069.00","30000000.00","25704261.00","--","1288449104.00","109126375.00","9391454.00","21501190.00","2143300252.00","149768196.00","1173719.00","20870156.00","73567.00","-4205566.00","--","167680072.00","81544066.00","249224138.00","--","516224.00","519061842.00","11.60"
"114/11/30","106","4","2884","玉山金","55095081.00","76080043.00","408918355.00","170745924.00","--","0.00","94083377.00","5054.00","--","1211071275.00","--","3078813.00","--","--","13571397.00","1960511.00","28209309.00","6222969.00","954988.00","4391191.00","2074388287.00","66652215.00","--","43439501.00","--","12200468.00","4895219.00","31332005.00","1948106.00","--","1712278637.00","42550000.00","1283797.00","--","505300.00","5519631.00","697535.00","2137442.00","1925439856.00","101855000.00","24529129.00","22012117.00","445970.00","--","--","148842216.00","106215.00","148948431.00","--","0.00","0.00","14.61"
"114/11/30","106","4","2885","元大金","64007570.00","54390950.00","432636863.00","395516795.00","--","34827960.00","175314970.00","1330623.00","0.00","762319040.00","435887.00","143810470.00","1675124.00","2722678.00","93469307.00","6173646.00","22630593.00","35935777.00","5642845.00","40804112.00","2273645210.00","13520162.00","--","120119516.00","0.00","197101189.00","44704087.00","168705371.00","5667788.00","--","1056024289.00","65890879.00","71754771.00","0.00","195038820.00","70098914.00","3518474.00","33403394.00","2045547654.00","118891975.00","37960694.00","50925653.00","4554385.00","-1136953.00","--","211195754.00","16901802.00","228097556.00","0.00","0.00","84586000.00","17.89"
"114/11/30","106","4","2886","兆豐金","143864749.00","567201934.00","191581454.00","442557049.00","--","2553228.00","96055863.00","786198.00","--","1762160756.00","3555454.00","284687657.00","3184501.00","--","15089381.00","1696863.00","21981154.00","382728.00","6018307.00","3964038.00","3547321314.00","400547065.00","33457560.00","9966779.00","--","237706429.00","20165421.00","71839997.00","7525373.00","--","2386555016.00","31670036.00","1325368.00","--","26182764.00","12698470.00","2266455.00","7319019.00","3249225752.00","135998240.00","68194233.00","94868778.00","-1007118.00","0.00","--","298054133.00","41429.00","298095562.00","0.00","0.00","0.00","21.92"
"114/11/30","106","4","2887","台新新光金","22034918.00","56832392.00","106153738.00","307885507.00","--","7615565.00","135089033.00","357417.00","--","959618741.00","--","6095.00","38521283.00","--","11718711.00","769694.00","19143108.00","2283808.00","2480967.00","7009339.00","1677520316.00","64252429.00","--","18467718.00","--","76695065.00","15298649.00","29096110.00","1464131.00","--","1194493789.00","64400000.00","10315076.00","--","1485384.00","41388865.00","96839.00","4744152.00","1522198207.00","107757589.00","26453556.00","21103712.00","-126592.00","--","--","155188265.00","133844.00","155322109.00","--","1849000.00","0.00","14.40"
"114/11/30","106","4","2889","國票金","2562952.00","7373.00","127834741.00","106886402.00","--","124908.00","21756556.00","488533.00","--","--","--","0.00","1689547.00","--","5248103.00","--","1865985.00","220263.00","116048.00","1071320.00","269872731.00","--","37745689.00","340581.00","--","170581478.00","11231353.00","9720550.00","230155.00","--","--","--","--","--","1475377.00","1713829.00","58104.00","847040.00","233944156.00","27866659.00","122240.00","4007829.00","469817.00","-158123.00","--","32308422.00","3620153.00","35928575.00","--","0.00","20000000.00","11.68"
"114/11/30","106","4","2890","永豐金","28881355.00","95212951.00","132109580.00","231553240.00","--","26716912.00","81073680.00","353015.00","--","869373052.00","--","56607945.00","400982.00","--","34933428.00","2606685.00","12307080.00","2334566.00","2257074.00","22439338.00","1599160883.00","29620926.00","--","24036034.00","0.00","66003594.00","44881207.00","40590035.00","1093265.00","--","1148590896.00","42529694.00","17312597.00","18437.00","3121843.00","29734156.00","1281032.00","12087464.00","1460901180.00","110500530.00","2228771.00","25546808.00","-19910.00","--","--","138256199.00","3504.00","138259703.00","--","0.00","0.00","12.51"
