出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/11/30","106","4","2801","彰銀","74835132.00","165015057.00","13552513.00","243372.00","--","24670023.00","135714.00","--","--","1377040660.00","73175886.00","237412046.00","--","--","31247373.00","20639732.00","13747787.00","436176.00","3175050.00","931879.00","2036258400.00","108151867.00","--","12309330.00","--","3118536.00","34849855.00","954609.00","--","1672079784.00","41739657.00","--","--","3662600.00","4758835.00","7019970.00","2665793.00","1891310836.00","94130007.00","--","51271528.00","-453971.00","0.00","--","--","--","--","144947564.00","--","0.00","0.00","15.40"
"114/11/30","106","4","2812","台中銀","15001053.00","30121642.00","31210074.00","0.00","11283082.00","13658151.00","5701.00","0.00","0.00","430857960.00","31615817.00","85542095.00","128113.00","249003.00","1067625.00","9387663.00","45250.00","160054.00","681396.00","2009404.00","663024083.00","9518872.00","5120940.00","207225.00","0.00","4307810.00","13331722.00","255559.00","0.00","566094780.00","17500000.00","0.00","0.00","1057866.00","1389979.00","111021.00","726369.00","619622143.00","32931789.00","684156.00","9601018.00","184977.00","0.00","43401940.00","--","--","0.00","43401940.00","0.00","0.00","0.00","13.18"
"114/11/30","106","4","2820","華票","307501.00","0.00","111377286.00","--","5682864.00","1249639.00","246136.00","--","--","--","98011594.00","0.00","--","--","173478.00","155116.00","--","--","109557.00","3099233.00","220412404.00","18137720.00","--","8624.00","--","173976038.00","475561.00","--","--","--","--","--","--","2999557.00","1524181.00","93.00","265698.00","197387472.00","13429600.00","2474.00","9009745.00","583113.00","--","--","--","--","--","23024932.00","0.00","0.00","0.00","17.14"
"114/11/30","106","4","2834","臺企銀","51292359.00","101342356.00","1061789.00","--","3998104.00","23951301.00","129455.00","--","--","1111559969.00","66233836.00","202967083.00","--","--","2159191.00","14226866.00","--","274349.00","1222464.00","3674849.00","1584093971.00","93529770.00","31464.00","3732481.00","--","1105596.00","36630052.00","62495.00","--","1316023711.00","41000000.00","--","--","10120545.00","3515351.00","881318.00","1643515.00","1508276298.00","61479617.00","0.00","14644284.00","-306228.00","0.00","75817673.00","0.00","--","0.00","75817673.00","0.00","0.00","0.00","12.33"
"114/11/30","106","4","2836","高雄銀","4158173.00","13273376.00","1277049.00","--","9225080.00","1151418.00","48251.00","--","--","175860151.00","53841282.00","0.00","--","--","1101586.00","2940209.00","--","121246.00","215018.00","151346.00","263364185.00","5923147.00","--","989.00","--","5367405.00","3659663.00","9894.00","--","229748828.00","4000000.00","--","--","1200.00","367196.00","--","98817.00","249177139.00","10032238.00","1657705.00","2442147.00","54956.00","--","14187046.00","--","--","0.00","14187046.00","0.00","0.00","0.00","14.14"
"114/11/30","106","4","2838","聯邦銀","12136172.00","19180985.00","12136325.00","--","28234334.00","17751420.00","52134.00","--","--","316728989.00","35489633.00","51285957.00","53121.00","--","48267839.00","8081729.00","5284434.00","2169444.00","1172974.00","7590797.00","565616287.00","9249185.00","--","183384.00","--","30273976.00","7108824.00","77173.00","--","449049470.00","11700000.00","1409598.00","--","4291441.00","182262.00","937196.00","2967213.00","517429722.00","28051524.00","8032413.00","10254481.00","1580257.00","--","47918675.00","--","--","267890.00","48186565.00","--","0.00","0.00","17.08"
"114/11/30","106","4","2845","遠東銀","8693621.00","22351083.00","30208333.00","--","11071393.00","22750869.00","7372.00","--","--","351056762.00","109631578.00","2135246.00","1774066.00","--","10344836.00","2889392.00","--","1725085.00","584502.00","200142.00","575424280.00","6960774.00","--","4319121.00","--","12921364.00","6488285.00","254446.00","--","472392183.00","20216664.00","--","--","7416775.00","1127116.00","--","540880.00","532637608.00","31829286.00","456426.00","10486758.00","14202.00","--","42786672.00","--","--","--","42786672.00","--","0.00","0.00","13.44"
"114/11/30","106","4","2849","安泰銀","3730106.00","20656368.00","26203824.00","--","1764609.00","4206958.00","49638.00","0.00","--","183165782.00","29731566.00","33710680.00","--","--","164551.00","814063.00","--","201507.00","1503260.00","867707.00","306770619.00","4518710.00","--","588778.00","--","0.00","2250419.00","0.00","--","263243798.00","0.00","--","770245.00","3004431.00","427553.00","27485.00","88837.00","274920256.00","17353240.00","1441228.00","13054141.00","1754.00","0.00","--","--","--","--","31850363.00","0.00","0.00","0.00","18.35"
"114/11/30","106","4","2897","王道銀行","6625973.00","11506456.00","154136983.00","--","5682864.00","21202093.00","301362.00","--","--","180086186.00","149145722.00","499821.00","0.00","99943.00","1183491.00","3084952.00","--","2403367.00","582334.00","4030474.00","540572021.00","53032639.00","--","791018.00","--","189821968.00","5022681.00","136269.00","--","198286700.00","20400000.00","--","--","22337877.00","1874368.00","216007.00","2477851.00","494397378.00","24130063.00","7730.00","5124400.00","20400.00","0.00","29282593.00","--","--","16892050.00","46174643.00","--","0.00","0.00","12.14"
"114/11/30","106","4","5876","上海商銀","74683305.00","219570594.00","10767854.00","--","195061.00","16705711.00","90429.00","--","--","926652676.00","340550108.00","112498032.00","1472690.00","--","5814.00","21291727.00","5292397.00","--","753867.00","2969532.00","1733499797.00","33741735.00","--","872808.00","--","29792067.00","29282966.00","2427171.00","--","1403780604.00","52516310.00","--","--","3284108.00","2099179.00","9897033.00","2772722.00","1570466703.00","40791031.00","4655555.00","72723187.00","4323170.00","-83144.00","122409799.00","--","--","40623295.00","163033094.00","--","11397439.00","0.00","30.09"
