出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","107","2","2801","彰銀","44439392.00","181790946.00","12252876.00","93945472.00","238471.00","268726746.00","--","27749968.00","218320.00","--","--","1370074982.00","0.00","0.00","--","--","55811721.00","20617152.00","13744678.00","375917.00","3858366.00","1168788.00","2095013795.00","143330238.00","--","14035790.00","--","2562197.00","39785563.00","629095.00","--","1674630563.00","46538904.00","--","--","4326747.00","4995341.00","7924911.00","5395803.00","1944155152.00","97895207.00","--","49443617.00","3519819.00","0.00","--","--","--","--","150858643.00","--","0.00","0.00","16.03"
"114/10/29","107","2","2812","台中銀","14381229.00","30396023.00","35076499.00","32481919.00","0.00","95073536.00","5981634.00","12807559.00","1785.00","0.00","0.00","444337500.00","0.00","0.00","157327.00","345676.00","21606.00","9395107.00","81905.00","162032.00","778506.00","1964967.00","683444810.00","8963664.00","5193381.00","396964.00","0.00","7222023.00","13636742.00","300860.00","0.00","581278737.00","18500000.00","0.00","0.00","1208606.00","1514905.00","111021.00","858952.00","639185855.00","33755084.00","684156.00","9146576.00","673139.00","0.00","44258955.00","0.00","--","0.00","44258955.00","0.00","0.00","0.00","13.44"
"114/10/29","107","2","2820","華票","399073.00","0.00","93557428.00","95384433.00","--","--","6071916.00","931152.00","197481.00","--","--","--","0.00","--","--","--","549381.00","152115.00","--","--","104170.00","49144.00","197396293.00","24299150.00","--","20806.00","--","143708011.00","1457672.00","21536.00","--","--","--","--","--","3599406.00","1404781.00","16.00","109264.00","174620642.00","13429600.00","4113.00","8886056.00","455882.00","0.00","--","--","--","--","22775651.00","--","0.00","0.00","16.96"
"114/10/29","107","2","2834","臺企銀","51115524.00","89577479.00","3127984.00","76606750.00","--","226576348.00","14314570.00","29310916.00","92203.00","--","--","1089650995.00","0.00","0.00","--","--","108069.00","14185610.00","--","260243.00","1319077.00","3629421.00","1599875189.00","86070754.00","271827.00","3818683.00","--","1534567.00","43191966.00","475426.00","--","1326839836.00","42000000.00","--","--","8782561.00","3306009.00","879549.00","1540072.00","1518711250.00","63938802.00","0.00","14419959.00","2805178.00","0.00","81163939.00","0.00","--","0.00","81163939.00","0.00","0.00","0.00","13.20"
"114/10/29","107","2","2836","高雄銀","3685052.00","10856159.00","323568.00","18090625.00","--","43914015.00","13671682.00","1303511.00","23827.00","--","--","178202041.00","0.00","0.00","0.00","--","17526.00","2918884.00","--","133102.00","295587.00","114023.00","273549602.00","6171666.00","--","173485.00","--","6548854.00","3861392.00","0.00","--","236504642.00","5500000.00","--","--","801.00","359388.00","--","114954.00","259235182.00","10403431.00","1487157.00","2256635.00","167197.00","--","--","--","--","--","14314420.00","0.00","0.00","0.00","14.27"
"114/10/29","107","2","2838","聯邦銀","12769245.00","14666785.00","27994347.00","37403474.00","--","97296375.00","23573419.00","20233595.00","41086.00","--","--","323133123.00","0.00","0.00","52937.00","--","1799852.00","8038510.00","5366808.00","2150358.00","1065177.00","8062798.00","583647889.00","10177465.00","--","357616.00","--","38383530.00","8211315.00","40508.00","--","457422756.00","9700000.00","1466426.00","--","4229741.00","297264.00","1238744.00","3065968.00","534591333.00","28895234.00","8032413.00","9855169.00","2003725.00","--","48786541.00","--","--","270015.00","49056556.00","--","0.00","0.00","17.39"
"114/10/29","107","2","2845","遠東銀","7411718.00","21203857.00","46920739.00","111455104.00","--","2124035.00","7246099.00","22360454.00","71.00","--","--","378287470.00","0.00","0.00","1749618.00","--","4586194.00","2886251.00","--","1712344.00","552232.00","170240.00","608666426.00","15987522.00","--","6567889.00","--","8449178.00","7711157.00","91682.00","--","496833047.00","18601900.00","--","--","9605049.00","1220248.00","--","537743.00","565605415.00","32691859.00","456426.00","9892054.00","20672.00","--","43061011.00","--","--","--","43061011.00","--","0.00","0.00","13.53"
"114/10/29","107","2","2849","安泰銀","3540704.00","17666369.00","17982840.00","36389233.00","--","37525900.00","201720.00","4383411.00","62143.00","0.00","--","190422292.00","0.00","0.00","--","--","234761.00","781423.00","--","189103.00","1283912.00","1334036.00","311997847.00","5276900.00","--","823205.00","--","1770907.00","4289425.00","--","--","263158357.00","0.00","--","774561.00","3184075.00","427719.00","86427.00","129903.00","279921479.00","17353240.00","1441228.00","12927616.00","354284.00","0.00","--","--","--","--","32076368.00","0.00","0.00","0.00","18.48"
"114/10/29","107","2","2897","王道銀行","7815339.00","21349324.00","140919461.00","145927707.00","--","499880.00","6071916.00","19631594.00","277131.00","--","--","193973601.00","0.00","0.00","--","--","602254.00","2949507.00","--","2486980.00","688476.00","1166696.00","544359866.00","64407013.00","--","1242155.00","--","148410612.00","6199670.00","139744.00","--","231788065.00","22150000.00","--","--","20052395.00","1912210.00","358089.00","2122289.00","498782242.00","24130063.00","8572.00","4721121.00","-17665.00","--","28842091.00","--","--","16735533.00","45577624.00","--","0.00","0.00","11.95"
"114/10/29","107","2","5876","上海商銀","68662140.00","190808521.00","13528698.00","391177962.00","--","90986428.00","195282.00","19690857.00","224430.00","--","--","987170950.00","0.00","0.00","1563251.00","--","5972.00","21384698.00","5446637.00","--","1142924.00","2827382.00","1794816132.00","44753325.00","--","1537585.00","--","22021546.00","37479975.00","2254991.00","--","1443238035.00","57742722.00","--","--","4738617.00","2086154.00","8942069.00","3106484.00","1627901503.00","40791031.00","5342186.00","72088337.00","5301732.00","-83144.00","123440142.00","--","--","43474487.00","166914629.00","--","11397439.00","0.00","30.35"
