出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","3","2880","華南金","64277136.00","168643731.00","94545596.00","0.00","186771333.00","433287009.00","0.00","299836.00","48502971.00","409991.00","--","--","1583839403.00","4185585.00","0.00","109436.00","--","23812457.00","10328732.00","32389300.00","664539.00","3289360.00","2775977.00","2658132392.00","118084831.00","--","5457407.00","0.00","45444598.00","17999339.00","67869425.00","1356632.00","--","2113067600.00","63588378.00","2634000.00","--","20103819.00","11527826.00","6111636.00","12330757.00","2485576248.00","115436133.00","17758986.00","34825079.00","4533849.00","--","--","172554047.00","2097.00","172556144.00","--","0.00","0.00","14.95"
"114/10/29","107","3","2881","富邦金","200132196.00","208339448.00","936736428.00","0.00","844835585.00","2543132071.00","5599868.00","60129140.00","181293960.00","3923016.00","47994.00","--","1816012128.00","20768267.00","0.00","27648777.00","--","366642133.00","180390982.00","57100347.00","30358393.00","15655238.00","68763095.00","7567509066.00","166099251.00","0.00","55817475.00","4587599.00","183657747.00","15195976.00","115316517.00","7538786.00","--","2230718341.00","199751531.00","3266653.00","--","3644766164.00","363381626.00","11277883.00","42100604.00","7043476153.00","115002640.00","137017337.00","284563835.00","-21357082.00","--","--","515226730.00","8806183.00","524032913.00","0.00","0.00","0.00","44.80"
"114/10/29","107","3","2882","國泰金","235551443.00","121969884.00","1407933384.00","0.00","1188757135.00","2562779822.00","201416.00","112158805.00","165043950.00","553645.00","--","--","2160435755.00","7636451.00","0.00","43808732.00","--","593921487.00","318486129.00","166585258.00","54197166.00","35796844.00","72684215.00","9248501521.00","87171203.00","145383363.00","--","--","65194295.00","65278538.00","61232574.00","3622988.00","--","2166629228.00","90600000.00","97094.00","--","5238698227.00","664763312.00","30341095.00","17818691.00","8636830608.00","140965102.00","165456178.00","292101394.00","3988029.00","--","--","602510703.00","9160210.00","611670913.00","--","0.00","0.00","42.74"
"114/10/29","107","3","2883","凱基金","79453756.00","28751357.00","404112763.00","0.00","452106316.00","928420327.00","--","81771111.00","120915130.00","1188635.00","--","--","367111274.00","657758.00","0.00","16447749.00","47154049.00","100177432.00","25414276.00","31389611.00","21316714.00","10278821.00","52369224.00","2769036303.00","29102549.00","--","99396723.00","--","154258594.00","19159877.00","100269063.00","937065.00","--","425823939.00","24800000.00","23000159.00","--","1499351986.00","118193975.00","7153974.00","26704087.00","2528151991.00","149604172.00","1526089.00","22776305.00","-4677253.00","-3854221.00","--","165375092.00","75509220.00","240884312.00","--","3122273.00","478215700.00","11.42"
"114/10/29","107","3","2884","玉山金","49311001.00","70550271.00","437030743.00","0.00","163676612.00","7287316.00","--","--","95447325.00","12099.00","--","--","1296534291.00","--","0.00","--","--","9571511.00","1947770.00","29264966.00","5955081.00","1061133.00","6893475.00","2174543594.00","70901501.00","--","50311680.00","--","8886412.00","4635751.00","32964275.00","1303342.00","--","1785027619.00","45550000.00","366942.00","--","885263.00","12992962.00","1439224.00","2483248.00","2017748219.00","108289000.00","24710706.00","23088279.00","594878.00","--","--","156682863.00","112512.00","156795375.00","--","0.00","0.00","14.47"
"114/10/29","107","3","2885","元大金","63136113.00","45523252.00","483335285.00","0.00","230307755.00","340936528.00","--","33591895.00","172007351.00","944847.00","0.00","--","746769980.00","472508.00","0.00","1924344.00","2632900.00","52333615.00","5006338.00","22498100.00","35258908.00","6110090.00","43802077.00","2286591886.00","32896705.00","--","100204215.00","--","204555301.00","47181939.00","162936887.00","4719017.00","--","1016313366.00","69633128.00","73192218.00","0.00","218033810.00","75369654.00","4092856.00","42840249.00","2051969345.00","116862325.00","37132133.00","58327754.00","4767648.00","-197606.00","--","216892254.00","17730287.00","234622541.00","--","0.00","15621000.00","18.58"
"114/10/29","107","3","2886","兆豐金","125604829.00","485187475.00","197512410.00","0.00","428160614.00","239029804.00","--","6314724.00","100694185.00","734923.00","--","--","1851726933.00","4145845.00","0.00","3146978.00","--","3764257.00","1832571.00","21884318.00","477582.00","7175793.00","5403475.00","3482796716.00","346651652.00","50992579.00","25293916.00","--","266274193.00","23419762.00","84290007.00","9439385.00","--","2290665725.00","21200000.00","2556944.00","--","26799967.00","15737204.00","2488721.00","6808311.00","3172618366.00","135998240.00","68194233.00","98138875.00","7815857.00","0.00","--","310147205.00","31145.00","310178350.00","--","0.00","0.00","22.81"
"114/10/29","107","3","2887","台新新光金","20670302.00","49337127.00","139200220.00","0.00","312916267.00","7600.00","--","4671584.00","149178438.00","368449.00","--","--","1027939819.00","--","0.00","39649089.00","--","10404550.00","901932.00","18894896.00","2256652.00","3080422.00","14947333.00","1794424680.00","59079194.00","--","36787707.00","--","98297457.00","20070413.00","35780156.00","1885126.00","--","1247556107.00","63500000.00","11878587.00","--","1656343.00","55669395.00","60447.00","4027298.00","1636248230.00","111528173.00","25827959.00","20545231.00","141596.00","--","--","158042959.00","133491.00","158176450.00","--","3925000.00","0.00","14.17"
"114/10/29","107","3","2889","國票金","3313163.00","138959.00","124993545.00","0.00","110830414.00","--","--","1194616.00","24271866.00","224391.00","--","--","--","--","--","1680347.00","--","5224078.00","--","1833740.00","219632.00","163680.00","1075351.00","275163782.00","--","36525046.00","372929.00","--","172765737.00","13857055.00","11355669.00","300155.00","--","--","--","--","--","1505959.00","2239138.00","37177.00","654451.00","239613316.00","28198659.00","122240.00","3146042.00","570374.00","-158123.00","--","31879192.00","3671274.00","35550466.00","0.00","0.00","20000000.00","11.39"
"114/10/29","107","3","2890","永豐金","23424889.00","85361078.00","95132162.00","0.00","219309639.00","83294697.00","--","30359802.00","82447390.00","340481.00","--","--","904572141.00","--","0.00","440179.00","--","40254468.00","2584288.00","12581043.00","2280524.00","2350669.00","23810210.00","1608543660.00","53616720.00","--","25845215.00","--","48865389.00","38179580.00","49625745.00","1007898.00","--","1157230209.00","38881690.00","10384691.00","18437.00","3234757.00","31062262.00","1516767.00","8300291.00","1467769651.00","112710541.00","2228771.00","25907554.00","-76254.00","--","--","140770612.00","3397.00","140774009.00","--","0.00","0.00","12.49"
