出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","108","2","2801","彰銀","36726593.00","192584090.00","9090275.00","119838867.00","270058863.00","274930.00","--","26581243.00","428800.00","--","--","1383680944.00","--","--","44118016.00","20826641.00","1683998.00","13876266.00","686740.00","2991120.00","723066.00","2124170452.00","132528924.00","--","12143306.00","--","2181233.00","39781092.00","839995.00","--","1700423094.00","55543886.00","--","--","4988942.00","5135825.00","1475283.00","7482402.00","3375327.00","1965899309.00","99853111.00","--","53066496.00","5351536.00","0.00","158271143.00","--","--","--","158271143.00","--","0.00","0.00","16.17"
"114/10/29","108","2","2812","台中銀","16132682.00","30827763.00","27072396.00","28970441.00","102441802.00","--","14234539.00","11939220.00","100.00","--","--","435603676.00","154239.00","409726.00","429.00","9438837.00","913331.00","112405.00","154637.00","832043.00","1810727.00","681048993.00","4557185.00","6099042.00","166942.00","--","9934170.00","11098377.00","408890.00","--","574767238.00","20000000.00","--","--","1191230.00","1407970.00","921471.00","111049.00","1072201.00","631735765.00","37088349.00","726981.00","10545164.00","952734.00","0.00","49313228.00","0.00","--","0.00","49313228.00","0.00","0.00","0.00","13.99"
"114/10/29","108","2","2820","華票","214896.00","0.00","94965988.00","98493337.00","--","--","860000.00","1198780.00","308184.00","--","--","--","--","--","550260.00","150472.00","12781.00","--","--","68496.00","47021.00","196870215.00","14600208.00","--","3028.00","--","153220583.00","1528150.00","65851.00","--","--","--","--","--","2499243.00","1388496.00","12829.00","33020.00","356352.00","173707760.00","13429600.00","7333.00","9181010.00","544512.00","0.00","--","--","--","--","23162455.00","--","0.00","0.00","17.25"
"114/10/29","108","2","2834","臺企銀","39221690.00","95617019.00","16816556.00","89144912.00","268945007.00","--","6305676.00","41029286.00","74211.00","--","--","1129877693.00","--","--","20452.00","14359559.00","860177.00","--","298855.00","1631468.00","5063998.00","1709266559.00","112306055.00","814119.00","9318988.00","--","1401548.00","53755273.00","328144.00","--","1372658404.00","53250000.00","--","--","10863150.00","3196564.00","847221.00","891465.00","1797443.00","1621428374.00","67135742.00","0.00","16316023.00","4386420.00","0.00","87838185.00","0.00","--","0.00","87838185.00","0.00","0.00","0.00","13.74"
"114/10/29","108","2","2836","高雄銀","3162922.00","9697212.00","166430.00","18921108.00","47299693.00","--","5949189.00","1568978.00","33431.00","--","--","175917322.00","--","--","49697.00","2861217.00","294239.00","--","125329.00","229444.00","113032.00","266389243.00","10701962.00","--","18649.00","--","10787385.00","4322082.00","--","--","218386993.00","6300000.00","--","--","214.00","354866.00","308027.00","--","129858.00","251310036.00","10809165.00","1242676.00","2602524.00","424842.00","--","--","--","--","--","15079207.00","0.00","0.00","0.00","14.49"
"114/10/29","108","2","2838","聯邦銀","11941781.00","22241946.00","39548908.00","41093702.00","96089859.00","--","41973915.00","20117546.00","101700.00","--","--","361262960.00","1607673.00","--","4883570.00","7912622.00","1253003.00","5494651.00","2139596.00","571410.00","8169238.00","666404080.00","11814650.00","--","309894.00","--","61012933.00","7634134.00","192852.00","--","511545257.00","8200000.00","1535703.00","--","4309235.00","328382.00","1223820.00","1449805.00","2983965.00","612540630.00","30847624.00","8032413.00","10426634.00","4299061.00","--","53605732.00","--","--","257718.00","53863450.00","--","0.00","0.00","18.55"
"114/10/29","108","2","2845","遠東銀","8936250.00","21423283.00","46935065.00","131438165.00","2621233.00","--","6936740.00","20950783.00","148.00","--","--","381957894.00","1762450.00","--","4862027.00","2742607.00","970885.00","--","1686861.00","237564.00","136205.00","633598160.00","12848870.00","--","3050158.00","--","9602391.00","7888963.00","223081.00","--","520600275.00","17501900.00","--","--","13033768.00","1212646.00","978610.00","--","624773.00","587565435.00","33558193.00","456426.00","11449943.00","568163.00","--","46032725.00","--","--","--","46032725.00","--","0.00","0.00","14.08"
"114/10/29","108","2","2849","安泰銀","3087364.00","12011957.00","18125424.00","40324826.00","33422052.00","--","636335.00","5890137.00","52118.00","--","--","198367971.00","--","--","78837.00","694645.00","740729.00","--","192490.00","787077.00","1328657.00","315740619.00","8616310.00","--","649932.00","--","530000.00","5025392.00","35257.00","--","264303816.00","--","--","399405.00","1974642.00","464489.00","751059.00","40196.00","120061.00","282910559.00","18187938.00","1052639.00","13099673.00","489810.00","0.00","--","--","--","--","32830060.00","0.00","0.00","0.00","18.05"
"114/10/29","108","2","2897","王道銀行","5628225.00","21638512.00","162906805.00","142976631.00","500000.00","--","860000.00","16791523.00","403038.00","--","--","203496865.00","--","--","1550145.00","2882430.00","463333.00","--","2404746.00","699844.00","904948.00","564107045.00","38686001.00","--","329172.00","--","157370894.00","5117478.00","199986.00","--","268960305.00","20350000.00","--","--","17553513.00","1918774.00","472763.00","420388.00","2444495.00","513823769.00","27130063.00","9757.00","5854100.00","229686.00","--","33223606.00","--","--","17059670.00","50283276.00","--","0.00","0.00","12.25"
"114/10/29","108","2","5876","上海商銀","47745798.00","221456912.00","11541327.00","457354946.00","111571019.00","--","3379281.00","20765018.00","235935.00","--","--","1115746430.00","1904335.00","--","6096372.00","21450028.00","2149151.00","5770860.00","1891737.00","777795.00","2746201.00","2032583145.00","87550535.00","--","3814018.00","--","8194573.00","38030513.00","2012137.00","--","1618190329.00","69125590.00","--","--","4174293.00","2421839.00","2197244.00","9758696.00","3924877.00","1849394644.00","41016031.00","5893238.00","78268348.00","8683443.00","-83144.00","133777916.00","--","--","49410585.00","183188501.00","--","11397439.00","0.00","32.71"
