出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","4","1240","茂生農經","958385.00","748914.00","1707299.00","575491.00","105845.00","681336.00","339900.00","134278.00","405423.00","132915.00","--","1012516.00","--","--","13447.00","1025963.00","--","0.00","0.00","29.79"
"114/10/29","108","4","1259","安心","2372633.00","2197810.00","4570443.00","1515894.00","1191679.00","2707573.00","323895.00","809816.00","710470.00","-7377.00","-10123.00","1826681.00","--","--","36189.00","1862870.00","0.00","0.00","117000.00","56.60"
"114/10/29","108","4","1264","德麥","2486083.00","1038395.00","3524478.00","546309.00","81648.00","627957.00","336960.00","706962.00","1370234.00","-52690.00","--","2361466.00","--","--","535055.00","2896521.00","0.00","0.00","0.00","70.08"
"114/10/29","108","4","1268","漢來美食","1963423.00","2151486.00","4114909.00","1388034.00","1176753.00","2564787.00","376527.00","797916.00","346327.00","95162.00","-65810.00","1550122.00","--","--","--","1550122.00","--","0.00","500000.00","41.72"
"114/10/29","108","4","1336","台翰","987411.00","1365377.00","2352788.00","668866.00","10442.00","679308.00","851484.00","747838.00","149582.00","-74924.00","-500.00","1673480.00","--","--","--","1673480.00","--","0.00","50000.00","19.67"
"114/10/29","108","4","1565","精華","3992640.00","4423929.00","8416569.00","1712084.00","941087.00","2653171.00","504165.00","526000.00","4734719.00","-1486.00","--","5763398.00","--","--","--","5763398.00","0.00","0.00","0.00","114.32"
"114/10/29","108","4","1569","濱川","3573648.00","3173446.00","6747094.00","2826344.00","1189842.00","4016186.00","1134437.00","1061618.00","655943.00","-219821.00","--","2632177.00","--","--","98731.00","2730908.00","--","730422.00","0.00","23.20"
"114/10/29","108","4","1570","力肯","680766.00","234719.00","915485.00","138898.00","10108.00","149006.00","515008.00","--","254665.00","-3194.00","--","766479.00","--","--","0.00","766479.00","0.00","0.00","0.00","14.88"
"114/10/29","108","4","1580","新麥","2022326.00","1279121.00","3301447.00","871996.00","194073.00","1066069.00","502302.00","75738.00","1759646.00","-160753.00","--","2176933.00","--","--","58445.00","2235378.00","0.00","0.00","0.00","43.34"
"114/10/29","108","4","1584","精剛","714452.00","1347665.00","2062117.00","506610.00","736643.00","1243253.00","824705.00","286822.00","-174431.00","-119254.00","--","817842.00","--","--","1022.00","818864.00","--","0.00","0.00","9.92"
"114/10/29","108","4","1586","和勤","1789472.00","1861279.00","3650751.00","1552122.00","726358.00","2278480.00","801512.00","512998.00","309916.00","-131613.00","-120542.00","1372271.00","--","--","--","1372271.00","--","0.00","3242000.00","17.84"
"114/10/29","108","4","1591","駿吉-KY","234101.00","386332.00","620433.00","199775.00","27111.00","226886.00","331648.00","22159.00","167118.00","-127378.00","--","393547.00","--","--","0.00","393547.00","0.00","0.00","0.00","11.87"
"114/10/29","108","4","1593","祺驊","698418.00","354969.00","1053387.00","170401.00","6514.00","176915.00","319484.00","285787.00","296993.00","-33069.00","0.00","869195.00","--","--","7277.00","876472.00","0.00","0.00","0.00","27.21"
"114/10/29","108","4","1595","川寶","2612508.00","1126244.00","3738752.00","1056829.00","287302.00","1344131.00","471481.00","545756.00","1398318.00","-10454.00","-10480.00","2394621.00","0.00","--","0.00","2394621.00","--","0.00","222000.00","51.03"
"114/10/29","108","4","1599","宏佳騰","1021007.00","1020791.00","2041798.00","383506.00","40618.00","424124.00","738118.00","487161.00","529533.00","-15888.00","-121250.00","1617674.00","--","--","--","1617674.00","0.00","0.00","2956000.00","22.83"
"114/10/29","108","4","1742","台蠟","1028236.00","468059.00","1496295.00","509692.00","95028.00","604720.00","715500.00","107236.00","62242.00","6597.00","0.00","891575.00","--","--","0.00","891575.00","0.00","0.00","0.00","12.46"
"114/10/29","108","4","1777","生泰","1089089.00","771925.00","1861014.00","614983.00","85908.00","700891.00","300595.00","314353.00","547910.00","-2735.00","--","--","--","--","--","1160123.00","0.00","0.00","0.00","38.59"
"114/10/29","108","4","1781","合世","296597.00","273713.00","570310.00","253031.00","51310.00","304341.00","474076.00","--","-187258.00","-20849.00","--","265969.00","--","--","--","265969.00","0.00","0.00","0.00","5.61"
"114/10/29","108","4","1784","訊聯","786323.00","974805.00","1761128.00","199275.00","254599.00","453874.00","496269.00","614102.00","23556.00","-6250.00","-59832.00","1067845.00","--","--","239409.00","1307254.00","0.00","0.00","2144000.00","22.49"
"114/10/29","108","4","1785","光洋科","12841833.00","8432208.00","21274041.00","12276717.00","998416.00","13275133.00","4984312.00","1484543.00","1545992.00","-212275.00","0.00","7802572.00","--","--","196336.00","7998908.00","0.00","0.00","0.00","15.65"
"114/10/29","108","4","1788","杏昌","2244898.00","1482083.00","3726981.00","1007012.00","935523.00","1942535.00","360000.00","766319.00","662334.00","-4207.00","--","1784446.00","--","--","0.00","1784446.00","0.00","0.00","0.00","49.57"
"114/10/29","108","4","1796","金穎生技","595039.00","405456.00","1000495.00","127308.00","483470.00","610778.00","278934.00","121446.00","-7251.00","-3412.00","--","389717.00","--","--","--","389717.00","0.00","0.00","0.00","13.97"
"114/10/29","108","4","1799","易威","325617.00","847972.00","1173589.00","162167.00","314524.00","476691.00","1258427.00","11596.00","-593346.00","754.00","--","677431.00","--","--","19467.00","696898.00","0.00","0.00","0.00","5.38"
"114/10/29","108","4","1813","寶利徠","406835.00","755659.00","1162494.00","200110.00","29834.00","229944.00","466355.00","263187.00","173954.00","-9466.00","--","894030.00","--","--","38520.00","932550.00","0.00","0.00","0.00","19.17"
"114/10/29","108","4","1815","富喬","4364677.00","11022705.00","15387382.00","1794741.00","6608949.00","8403690.00","4279465.00","1792062.00","1061461.00","-130695.00","-18601.00","6983692.00","--","--","--","6983692.00","--","0.00","1440000.00","16.37"
"114/10/29","108","4","2035","唐榮公司","4274280.00","14461776.00","18736056.00","3638557.00","10290215.00","13928772.00","3500000.00","46.00","1168887.00","138351.00","--","--","--","--","--","4807284.00","--","0.00","0.00","13.74"
"114/10/29","108","4","2061","風青","631283.00","161194.00","792477.00","190674.00","28115.00","218789.00","586609.00","926.00","5900.00","-5586.00","-14161.00","573688.00","--","--","--","573688.00","0.00","0.00","1425000.00","10.02"
"114/10/29","108","4","2063","世鎧","1012842.00","635128.00","1647970.00","457066.00","423748.00","880814.00","450000.00","38485.00","280981.00","-2310.00","--","767156.00","--","--","--","767156.00","0.00","0.00","0.00","17.05"
"114/10/29","108","4","2064","晉椿","1406125.00","1530901.00","2937026.00","1426576.00","255763.00","1682339.00","700000.00","101974.00","467341.00","-8295.00","-7292.00","1253728.00","--","--","959.00","1254687.00","0.00","0.00","534000.00","18.05"
"114/10/29","108","4","2065","世豐","864437.00","1084846.00","1949283.00","464281.00","452780.00","917061.00","326792.00","234787.00","411627.00","59016.00","--","1032222.00","--","--","--","1032222.00","--","0.00","0.00","31.59"
"114/10/29","108","4","2066","世德","1891392.00","1027089.00","2918481.00","1168082.00","577262.00","1745344.00","365029.00","38699.00","746706.00","-2003.00","-19435.00","1128996.00","--","--","44141.00","1173137.00","0.00","0.00","247000.00","31.14"
"114/10/29","108","4","2067","嘉鋼","563783.00","928529.00","1492312.00","658823.00","291867.00","950690.00","451382.00","40164.00","-10265.00","-20714.00","--","460567.00","--","--","81055.00","541622.00","--","0.00","0.00","10.20"
"114/10/29","108","4","2070","精湛","869580.00","745086.00","1614666.00","409925.00","320489.00","730414.00","367828.00","130341.00","429659.00","-20566.00","-23010.00","884252.00","--","--","--","884252.00","0.00","0.00","721000.00","24.52"
"114/10/29","108","4","2073","雄順","132263.00","564425.00","696688.00","139923.00","219891.00","359814.00","240000.00","12000.00","84874.00","0.00","--","--","0.00","--","--","336874.00","0.00","0.00","0.00","14.04"
"114/10/29","108","4","2221","大甲","922052.00","538655.00","1460707.00","370263.00","270174.00","640437.00","423250.00","51408.00","314185.00","-5743.00","0.00","783100.00","0.00","--","37170.00","820270.00","0.00","0.00","0.00","18.50"
"114/10/29","108","4","2230","泰茂","512445.00","351271.00","863716.00","358213.00","35394.00","393607.00","399132.00","51750.00","43556.00","-24329.00","--","470109.00","--","--","--","470109.00","--","0.00","0.00","11.78"
"114/10/29","108","4","2235","謚源","583064.00","1171973.00","1755037.00","353896.00","99779.00","453675.00","358780.00","497802.00","444780.00","--","--","--","--","--","--","1301362.00","--","0.00","0.00","36.27"
"114/10/29","108","4","2596","綠意","2877827.00","213570.00","3091397.00","785475.00","--","785475.00","1000000.00","189208.00","742994.00","0.00","--","1932202.00","--","--","373720.00","2305922.00","--","0.00","0.00","19.32"
