出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/12/08","114","1","2801","彰銀","38780900.00","201753328.00","81156940.00","338366167.00","499833330.00","--","--","24832281.00","316474.00","--","--","1978906732.00","--","--","801530.00","21401302.00","1870032.00","13930523.00","987987.00","5165168.00","2373658.00","3210476352.00","299720033.00","--","1672214.00","--","11835945.00","32861480.00","2910020.00","--","2591814352.00","41800352.00","--","--","1460559.00","2383032.00","1734656.00","11503077.00","4825001.00","3004520721.00","112057583.00","--","24.00","83817359.00","10080665.00","0.00","205955631.00","--","--","--","205955631.00","--","0.00","0.00","18.38"
"114/12/08","114","1","2812","台中銀","11982469.00","55041191.00","40052575.00","103421237.00","111655476.00","--","13016607.00","25562515.00","129.00","--","--","624397612.00","185183.00","180354.00","12871.00","20075771.00","1073050.00","543298.00","290938.00","892611.00","4067936.00","1012451823.00","15151992.00","14408832.00","3360205.00","--","9987585.00","7557120.00","1172150.00","--","850456752.00","13500000.00","--","--","8806226.00","1291864.00","1104407.00","109486.00","1285251.00","928191870.00","55187566.00","--","1528256.00","27011464.00","532667.00","0.00","84259953.00","--","--","0.00","84259953.00","0.00","0.00","0.00","15.27"
"114/12/08","114","1","2820","華票","316662.00","0.00","149570273.00","95170980.00","2488899.00","--","2930848.00","1106629.00","287493.00","--","--","--","--","--","80721.00","156126.00","37269.00","--","--","174792.00","609276.00","252929968.00","22312736.00","--","19201.00","--","202475439.00","511181.00","--","--","--","--","--","--","--","1414077.00","37405.00","42857.00","205869.00","227018765.00","13429600.00","--","15222.00","12876072.00","-409691.00","--","--","--","--","--","25911203.00","--","0.00","0.00","19.29"
"114/12/08","114","1","2834","臺企銀","25766457.00","119680720.00","88405690.00","193980833.00","217383699.00","--","12604576.00","14078347.00","374560.00","--","--","1645328235.00","0.00","--","9923.00","13852503.00","1207025.00","--","1240167.00","1841813.00","10568253.00","2346322801.00","231971649.00","1697843.00","10269966.00","--","5884073.00","20992016.00","1408331.00","--","1877755536.00","53210000.00","--","--","2199591.00","2399313.00","1238831.00","989524.00","2384711.00","2212401384.00","91679828.00","--","816129.00","41734062.00","-308602.00","--","133921417.00","--","--","--","133921417.00","0.00","0.00","0.00","14.61"
"114/12/08","114","1","2836","高雄銀","4575918.00","27732946.00","3488264.00","36195188.00","50699091.00","--","4004385.00","1954112.00","--","--","--","224972554.00","--","--","240927.00","3353548.00","340042.00","--","107409.00","94819.00","220955.00","357980158.00","15120437.00","0.00","3673.00","--","9861590.00","3884549.00","211146.00","--","298454131.00","3877000.00","--","--","--","381811.00","336231.00","16568.00","153897.00","332301033.00","18263272.00","--","1436134.00","5456208.00","523511.00","--","--","--","--","--","25679125.00","--","0.00","0.00","14.06"
"114/12/08","114","1","2838","聯邦銀","8768476.00","41323183.00","76419329.00","66864465.00","81398938.00","--","64703501.00","39902161.00","88818.00","--","--","610321365.00","455747.00","--","1551742.00","16308298.00","1724538.00","4668455.00","2182406.00","721532.00","9253210.00","1026656164.00","11252011.00","1801018.00","287807.00","--","76986515.00","7893119.00","525091.00","--","816508551.00","5000000.00","936585.00","375000.00","13335378.00","525446.00","1728467.00","2941868.00","3621307.00","943718163.00","42500729.00","--","8177085.00","21926073.00","8139268.00","--","80743155.00","--","--","2194846.00","82938001.00","--","0.00","0.00","19.00"
"114/12/08","114","1","2845","遠東銀","5657938.00","48653534.00","60571558.00","56715501.00","146112468.00","--","3263763.00","17820916.00","--","--","--","495728943.00","2854153.00","--","8472472.00","5193806.00","884143.00","--","1540334.00","149728.00","389156.00","854008413.00","2805946.00","2577333.00","8072797.00","--","0.00","7800857.00","284805.00","--","699183308.00","22901900.00","--","--","45804984.00","612133.00","897100.00","--","666226.00","791607389.00","42753997.00","--","302926.00","19332304.00","11797.00","--","62401024.00","--","--","--","62401024.00","--","0.00","0.00","14.60"
"114/12/08","114","1","2849","安泰銀","2093579.00","17987407.00","24014213.00","43959827.00","37953960.00","--","1567824.00","4052044.00","264913.00","--","--","236570838.00","--","--","106288.00","738771.00","821400.00","0.00","278207.00","575545.00","1479676.00","372464492.00","645841.00","--","544799.00","--","0.00","2176976.00","19931.00","--","329956140.00","--","--","--","2922465.00","211797.00","815233.00","71097.00","81124.00","337445403.00","19576094.00","--","402822.00","15768715.00","-728542.00","0.00","--","--","--","--","35019089.00","0.00","0.00","0.00","17.89"
"114/12/08","114","1","2897","王道銀行","6098356.00","16572803.00","181494405.00","166304652.00","26898898.00","--","9368509.00","4471489.00","478229.00","--","--","256237958.00","6939239.00","--","455914.00","2370934.00","391654.00","--","1746754.00","780387.00","1545439.00","682155620.00","51342747.00","--","546585.00","--","213564277.00","4118187.00","247613.00","--","318807831.00","13450000.00","--","--","13337919.00","1992110.00","410288.00","972290.00","510677.00","619300524.00","30553579.00","--","569934.00","13762628.00","-1037535.00","-221695.00","43626911.00","--","--","19228185.00","62855096.00","--","22939000.00","0.00","14.39"
"114/12/08","114","1","5876","上海商銀","40689678.00","438193676.00","7439522.00","512468569.00","180797946.00","--","12106860.00","26340992.00","170362.00","1050317.00","--","1211074022.00","1674128.00","--","0.00","24333835.00","1797238.00","7049545.00","2206821.00","4591580.00","11462209.00","2483447300.00","44963954.00","--","5419198.00","--","7592532.00","40962223.00","1481191.00","--","2015349558.00","59740868.00","--","--","12286246.00","2978415.00","1826708.00","10076076.00","4963963.00","2207640932.00","48616031.00","--","27705927.00","116594833.00","10968635.00","-83144.00","203802282.00","--","--","72004086.00","275806368.00","0.00","11397439.00","0.00","42.02"
