出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/02/07","114","1","2880","華南金","37534314.00","232642712.00","168656262.00","395828756.00","760475175.00","--","2249287.00","87766923.00","341096.00","--","--","2366592960.00","6465317.00","266307.00","--","15683537.00","13478570.00","33651603.00","2113285.00","999772.00","3835682.00","4499538.00","4133081096.00","276715763.00","--","4287239.00","--","87241171.00","54672310.00","50160754.00","4092085.00","--","3220573757.00","71389794.00","2998858.00","--","25333324.00","87761209.00","2154653.00","6204299.00","8863151.00","3902448367.00","137791734.00","17766839.00","78129634.00","-3057948.00","--","--","230630259.00","2470.00","230632729.00","--","0.00","0.00","16.74"
"115/02/07","114","1","2881","富邦金","342449070.00","524374871.00","1725029904.00","792270094.00","3902244160.00","11864574.00","121185851.00","397207803.00","3577632.00","3831195.00","--","3116092006.00","44838175.00","61318416.00","--","542181721.00","299963563.00","75007713.00","14705978.00","34012310.00","56353742.00","56571030.00","12125079808.00","150848125.00","61547.00","99062602.00","22877420.00","55490161.00","81066890.00","207252983.00","12940178.00","189133.00","4530241107.00","373635618.00","14866346.00","--","4879345353.00","586443518.00","21979124.00","65839151.00","93863701.00","11196002957.00","152657119.00","158485692.00","686556660.00","-83522337.00","--","--","914177134.00","14899717.00","929076851.00","--","0.00","0.00","59.88"
"115/02/07","114","1","2882","國泰金","300176221.00","319582253.00","2001122029.00","1084422399.00","4972689105.00","16924.00","32272659.00","278448464.00","1776843.00","0.00","--","3156872677.00","23826403.00","64300872.00","--","800967681.00","484949395.00","109784620.00","5366724.00","32757635.00","87506821.00","111302999.00","13868142724.00","173213770.00","--","167647869.00","3024385.00","31047321.00","86732057.00","108350235.00","8018069.00","0.00","3874254412.00","249456157.00","40226412.00","--","7270316832.00","850710923.00","19857849.00","76462230.00","25214071.00","12984532592.00","162025102.00","203133269.00","613735247.00","-112779994.00","0.00","0.00","866113624.00","17496508.00","883610132.00","--","0.00","0.00","53.46"
"115/02/07","114","1","2883","凱基金","69672937.00","47062138.00","590518667.00","259951831.00","1746982987.00","418001.00","100991783.00","203338474.00","986210.00","--","--","533512737.00","806827.00","28674471.00","--","187316949.00","56323698.00","30638834.00","12321905.00","17032581.00","23221105.00","104993016.00","4014765151.00","11085535.00","--","62686456.00","856287.00","188104958.00","63878666.00","132324190.00","2034482.00","--","628903143.00","110173532.00","28354449.00","--","2135381458.00","239425893.00","4731308.00","28223130.00","79202026.00","3715365513.00","183900741.00","33745063.00","119105051.00","-37490278.00","--","--","299260577.00","139061.00","299399638.00","0.00","0.00","0.00","16.27"
"115/02/07","114","1","2884","玉山金","47884517.00","295672988.00","272906495.00","379473208.00","504313663.00","32921.00","29648207.00","158126705.00","437119.00","--","--","2339635864.00","--","--","--","5796206.00","1341138.00","34500835.00","7433471.00","6800782.00","3632794.00","27842632.00","4115479545.00","63508370.00","--","85575590.00","204786.00","32779516.00","24570808.00","52029340.00","4690320.00","--","3406170796.00","44450000.00","341847.00","--","1018280.00","123197333.00","4782342.00","3661776.00","4923742.00","3851904846.00","160138000.00","35432297.00","61511631.00","6309823.00","--","--","263391751.00","182948.00","263574699.00","--","0.00","0.00","16.47"
"115/02/07","114","1","2885","元大金","81073327.00","102497567.00","617457591.00","338455879.00","558455144.00","--","69809200.00","423740451.00","2935725.00","66640.00","--","1329702762.00","1184624.00","2579793.00","6944022.00","131485818.00","14666720.00","29043266.00","10947490.00","30537979.00","7166243.00","103528821.00","3862279062.00","7569374.00","--","185831459.00","--","257397939.00","154272797.00","228458495.00","6114842.00","--","1748310810.00","116224527.00","71893472.00","--","399532956.00","175431916.00","6102810.00","8131690.00","151341881.00","3516614968.00","129428640.00","38313685.00","146044369.00","9097206.00","--","--","322883900.00","22780194.00","345664094.00","0.00","0.00","0.00","24.95"
"115/02/07","114","1","2886","兆豐金","95355597.00","587728365.00","246170817.00","586693848.00","620913643.00","--","2391824.00","117769510.00","2559491.00","0.00","--","2329534267.00","15111767.00","5442691.00","--","6465221.00","2120424.00","22443621.00","2061555.00","1454549.00","6440641.00","9249044.00","4659906875.00","585557122.00","7583736.00","27388174.00","--","303400607.00","46938843.00","92321505.00","9499071.00","--","3092888066.00","43700000.00","3492808.00","--","30363622.00","22934687.00","2144296.00","2060398.00","13556690.00","4283829625.00","148333783.00","76840889.00","146370576.00","4532002.00","0.00","0.00","376077250.00","0.00","376077250.00","0.00","0.00","0.00","25.35"
"115/02/07","114","1","2887","台新新光金","29934763.00","106660283.00","201101488.00","172828625.00","810170856.00","--","8939373.00","188356758.00","--","--","--","1764054718.00","762379.00","522937.00","--","59961454.00","10967226.00","25112951.00","2262748.00","3623768.00","7391984.00","22681388.00","3415333699.00","19127467.00","--","45934279.00","--","74629921.00","50344770.00","48499258.00","3430161.00","--","2423834563.00","60331400.00","10080003.00","--","282333127.00","152776533.00","2338125.00","2064496.00","9801236.00","3185525339.00","140761443.00","38197778.00","55253022.00","-4341179.00","-89298.00","--","229781766.00","26594.00","229808360.00","--","0.00","1927518.00","16.33"
"115/02/07","114","1","2889","國票金","2736421.00","235.00","172773738.00","142720765.00","699384.00","--","224685.00","48964330.00","40568.00","--","--","--","--","5557229.00","--","16016188.00","395433.00","6991438.00","185582.00","262702.00","510876.00","5222446.00","403302020.00","--","16354416.00","2099777.00","--","269696198.00","29354721.00","15999313.00","602991.00","--","--","--","--","--","1711649.00","11972525.00","182432.00","53880.00","5298130.00","353326032.00","35321896.00","403398.00","5832294.00","1028367.00","--","--","42585955.00","7390033.00","49975988.00","0.00","0.00","0.00","12.06"
"115/02/07","114","1","2890","永豐金","31049408.00","201501306.00","131463195.00","404577475.00","317742510.00","--","84727016.00","183249442.00","531853.00","--","--","1706765111.00","--","1070827.00","--","59412317.00","2141672.00","13678306.00","4454372.00","8721260.00","3228940.00","29694273.00","3184009283.00","124305281.00","0.00","59273903.00","--","98277257.00","70527922.00","68189131.00","4259242.00","--","2333793307.00","62783143.00","20617920.00","18437.00","2815929.00","101479800.00","4008194.00","1848483.00","16295897.00","2968493846.00","126858509.00","6129361.00","86854610.00","-6374576.00","--","--","213467904.00","2047533.00","215515437.00","--","0.00","0.00","16.83"
