出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/05","115","2","1232","大統益","7829900.00","2885579.00","10715479.00","3809801.00","1164464.00","4974265.00","1599749.00","--","23784.00","3884176.00","7071.00","--","5514780.00","--","--","226434.00","5741214.00","0.00","0.00","0.00","34.47"
"115/08/05","115","2","1342","八貫","2401248.00","1419476.00","3820724.00","1149859.00","420214.00","1570073.00","780009.00","--","675743.00","800625.00","-5726.00","--","--","--","--","--","2250651.00","--","0.00","0.00","28.85"
"115/08/05","115","2","1477","聚陽","16020657.00","7946047.00","23966704.00","8894674.00","1182508.00","10077182.00","2466937.00","--","6166333.00","5017142.00","138233.00","--","13788645.00","--","--","100877.00","13889522.00","0.00","0.00","0.00","55.89"
"115/08/05","115","2","1582","信錦","9673111.00","3642989.00","13316100.00","4945667.00","783563.00","5729230.00","1442686.00","--","3366996.00","2699615.00","-133456.00","--","7375841.00","--","--","211029.00","7586870.00","--","0.00","0.00","51.13"
"115/08/05","115","2","1723","中碳","3561726.00","8234962.00","11796688.00","2016499.00","1765681.00","3782180.00","2369044.00","--","988571.00","4963171.00","-188640.00","-117638.00","8014508.00","--","--","--","8014508.00","--","0.00","4753537.00","34.52"
"115/08/05","115","2","1773","勝一","4780343.00","13890413.00","18670756.00","4591488.00","2491057.00","7082545.00","3000000.00","--","103724.00","8236220.00","95379.00","0.00","11435323.00","--","--","152888.00","11588211.00","--","0.00","0.00","38.12"
"115/08/05","115","2","2006","東和鋼鐵","29738082.00","23617795.00","53355877.00","17955443.00","1132381.00","19087824.00","7302138.00","--","7745045.00","19534889.00","-412059.00","--","34170013.00","--","--","98040.00","34268053.00","--","0.00","0.00","46.79"
"115/08/05","115","2","2014","中鴻","7934533.00","18448123.00","26382656.00","5684769.00","8412641.00","14097410.00","14355444.00","--","903.00","-824290.00","-1246811.00","--","12285246.00","--","--","--","12285246.00","--","0.00","0.00","8.56"
"115/08/05","115","2","2015","豐興","11915729.00","14295950.00","26211679.00","3482146.00","661489.00","4143635.00","5815994.00","--","457109.00","15990188.00","-206723.00","--","22056568.00","--","--","11476.00","22068044.00","--","0.00","0.00","37.92"
"115/08/05","115","2","2227","裕日車","7241840.00","15401625.00","22643465.00","2174389.00","2730531.00","4904920.00","3000000.00","--","5988968.00","9035633.00","-286056.00","--","17738545.00","--","--","--","17738545.00","--","0.00","0.00","59.13"
"115/08/05","115","2","2301","光寶科","190058403.00","49106010.00","239164413.00","137099769.00","5452678.00","142552447.00","23161078.00","--","21582720.00","53924633.00","-137874.00","-2726963.00","95803594.00","--","--","808372.00","96611966.00","--","0.00","47004221.00","42.22"
"115/08/05","115","2","2303","聯電","230259789.00","435713094.00","665972883.00","106305702.00","115742881.00","222048583.00","125769849.00","--","15871319.00","262764860.00","42609887.00","-3095666.00","443920249.00","--","--","4051.00","443924300.00","--","0.00","30551000.00","35.38"
"115/08/05","115","2","2308","台達電","487049600.00","267383732.00","754433332.00","304502192.00","99706248.00","404208440.00","25975433.00","--","61035518.00","199126013.00","7573776.00","--","293710740.00","--","--","56514152.00","350224892.00","0.00","0.00","0.00","113.07"
"115/08/05","115","2","2329","華泰","10651316.00","16003442.00","26654758.00","7534872.00","2710296.00","10245168.00","6589483.00","--","578362.00","4754751.00","4486994.00","--","16409590.00","--","--","--","16409590.00","0.00","0.00","0.00","24.90"
"115/08/05","115","2","2337","旺宏","43838444.00","52608043.00","96446487.00","18583906.00","15918101.00","34502007.00","19818566.00","--","2083345.00","29637565.00","10551698.00","-159061.00","61932113.00","--","--","12367.00","61944480.00","--","547818.00","1956619.00","31.28"
"115/08/05","115","2","2383","台光電","113288915.00","45288529.00","158577444.00","83610781.00","16654586.00","100265367.00","3583211.00","--","11521350.00","40999533.00","2231344.00","--","58335438.00","--","--","-23361.00","58312077.00","0.00","0.00","0.00","162.80"
"115/08/05","115","2","2395","研華","57103277.00","36100533.00","93203810.00","33371279.00","4378282.00","37749561.00","8690460.00","--","10951815.00","33159968.00","2533035.00","--","55335278.00","--","--","118971.00","55454249.00","--","791521.00","0.00","63.67"
"115/08/05","115","2","2397","友通","9551969.00","5128133.00","14680102.00","6762469.00","2223971.00","8986440.00","1144889.00","--","899615.00","1387245.00","-59779.00","--","3371970.00","--","--","2321692.00","5693662.00","0.00","0.00","0.00","29.45"
"115/08/05","115","2","2419","仲琦","9709154.00","2094143.00","11803297.00","5472527.00","317550.00","5790077.00","3213172.00","--","1153618.00","230178.00","220740.00","--","4817708.00","--","--","1195512.00","6013220.00","0.00","0.00","0.00","14.99"
"115/08/05","115","2","2439","美律","27553366.00","13272456.00","40825822.00","16828471.00","5396839.00","22225310.00","2536413.00","--","8470329.00","6677337.00","-464402.00","-432739.00","16786938.00","--","--","1813574.00","18600512.00","0.00","0.00","5000000.00","67.51"
"115/08/05","115","2","2441","超豐","13592628.00","20069655.00","33662283.00","5895178.00","279543.00","6174721.00","5688459.00","--","2775.00","17077070.00","4717462.00","--","27485766.00","--","--","1796.00","27487562.00","--","0.00","0.00","48.32"
"115/08/05","115","2","2450","神腦","6841488.00","3921464.00","10762952.00","3824033.00","715348.00","4539381.00","2582527.00","--","738199.00","2921177.00","-26773.00","--","6215130.00","--","--","8441.00","6223571.00","--","0.00","0.00","24.07"
"115/08/05","115","2","2451","創見","46298310.00","7645174.00","53943484.00","14982992.00","487990.00","15470982.00","4313457.00","--","2945805.00","30946458.00","266782.00","--","38472502.00","--","--","--","38472502.00","0.00","0.00","0.00","89.19"
"115/08/05","115","2","2454","聯發科","397005577.00","390442795.00","787448372.00","320318775.00","34487897.00","354806672.00","16038954.00","--","35193395.00","329762727.00","43251130.00","-55970.00","424190236.00","--","--","8451464.00","432641700.00","--","0.00","7794085.00","265.77"
"115/08/05","115","2","2455","全新","3024000.00","2692733.00","5716733.00","1373593.00","650031.00","2023624.00","1869834.00","--","488722.00","1380753.00","-46200.00","0.00","--","--","--","--","3693109.00","0.00","2077525.00","0.00","19.75"
"115/08/05","115","2","2480","敦陽科","8234016.00","1238324.00","9472340.00","6130251.00","66428.00","6196679.00","1063603.00","--","166514.00","1981428.00","64116.00","0.00","3275661.00","--","--","0.00","3275661.00","0.00","0.00","0.00","30.80"
"115/08/05","115","2","2488","漢平","3325796.00","887016.00","4212812.00","1190328.00","245102.00","1435430.00","799994.00","--","34170.00","1957287.00","-14069.00","--","2777382.00","--","--","--","2777382.00","0.00","0.00","0.00","34.72"
"115/08/05","115","2","2498","宏達電","19203212.00","19666087.00","38869299.00","8721210.00","3934556.00","12655766.00","8360971.00","--","16342365.00","4254086.00","-2743889.00","--","26213533.00","--","--","--","26213533.00","--","0.00","0.00","31.35"
"115/08/05","115","2","2528","皇普","21004657.00","666851.00","21671508.00","11046925.00","3096013.00","14142938.00","5011004.00","--","1663874.00","898033.00","-44341.00","--","--","--","--","--","7528570.00","0.00","0.00","0.00","17.27"
"115/08/05","115","2","2912","統一超","98812536.00","205210373.00","304022909.00","128507034.00","124160553.00","252667587.00","10396223.00","--","91109.00","28200975.00","2288373.00","--","40976680.00","--","--","10378642.00","51355322.00","--","0.00","0.00","39.41"
"115/08/05","115","2","3004","豐達科","4470310.00","4573019.00","9043329.00","2793147.00","2475031.00","5268178.00","643832.00","--","1276387.00","1804097.00","50835.00","0.00","3775151.00","0.00","--","0.00","3775151.00","0.00","0.00","0.00","58.64"
