出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,保險合約資產及再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,保險合約負債及再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/28","115","2","2880","華南金","41486572.00","261560559.00","222466465.00","431825068.00","828558187.00","--","7159778.00","126608422.00","246026.00","--","--","2542275691.00","4215473.00","268531.00","--","21380745.00","13352618.00","33753303.00","2121883.00","1053330.00","3359495.00","4774888.00","4546467034.00","299821473.00","--","5408846.00","--","90461815.00","56386525.00","84259205.00","3314190.00","--","3541290799.00","73192746.00","7378000.00","--","6965380.00","101280765.00","13520763.00","2168614.00","6181922.00","13095380.00","4304726423.00","140561348.00","17766839.00","79722921.00","3686870.00","--","--","241737978.00","2633.00","241740611.00","--","0.00","0.00","17.37"
"115/08/28","115","2","2883","凱基金","78232673.00","99708437.00","422590310.00","1064296571.00","1316831154.00","403896.00","69200513.00","351257316.00","908176.00","--","--","539724649.00","175099.00","29442171.00","--","333293516.00","73407996.00","30360438.00","12785910.00","6014162.00","28352925.00","134118015.00","4591103927.00","8866326.00","--","163921710.00","729983.00","212861060.00","145974849.00","252787387.00","10595348.00","--","655599580.00","146845953.00","38986768.00","--","896431.00","221433305.00","2009312089.00","7179274.00","38215315.00","207556784.00","4121762162.00","185567558.00","33702594.00","256012909.00","-6082532.00","--","--","469200529.00","141236.00","469341765.00","233625.00","0.00","0.00","25.28"
"115/08/28","115","2","2884","玉山金","51676634.00","379792776.00","279907234.00","447523043.00","536908908.00","450005.00","23714679.00","238846598.00","772268.00","--","--","2810066842.00","--","--","--","19453770.00","1380713.00","33963918.00","7876908.00","7815566.00","3394467.00","27521232.00","4871065561.00","118804851.00","--","88270899.00","1481998.00","64192603.00","58222763.00","87477268.00","5369286.00","--","3948542123.00","49220000.00","333473.00","--","1340289.00","152681384.00","--","5317768.00","3163571.00","4476799.00","4588895075.00","161920000.00","35847197.00","66559848.00","17446059.00","--","--","281773104.00","397382.00","282170486.00","--","0.00","0.00","17.40"
"115/08/28","115","2","2885","元大金","134190040.00","151829418.00","874472058.00","529141662.00","490902894.00","--","91636647.00","729927369.00","2644968.00","0.00","--","1564905949.00","54581.00","2944367.00","11361916.00","328150075.00","20514277.00","30890188.00","10712496.00","30299784.00","7012503.00","139340020.00","5150931212.00","26514253.00","--","338692883.00","--","246197163.00","233497089.00","500447157.00","10655343.00","--","2063277641.00","150204868.00","109412584.00","--","5189991.00","301366074.00","404316095.00","7151104.00","8282471.00","335596428.00","4740801144.00","138643959.00","38292647.00","179887864.00","26144482.00","--","--","382968952.00","27161116.00","410130068.00","0.00","0.00","0.00","28.73"
"115/08/28","115","2","2886","兆豐金","125405952.00","705386092.00","260623564.00","827095912.00","398950452.00","--","0.00","189484973.00","73025.00","--","--","2635607757.00","12561637.00","5046371.00","--","24173105.00","1683269.00","23239278.00","2129674.00","1498286.00","6824350.00","12763078.00","5232546775.00","689413632.00","2035178.00","32817741.00","--","360242471.00","64435712.00","151052321.00","6769489.00","--","3374122305.00","50200000.00","9590000.00","--","17322366.00","40247734.00","10323524.00","2194624.00","2276551.00","17147102.00","4830190750.00","148333783.00","76850025.00","145822583.00","31349634.00","--","--","402356025.00","--","402356025.00","0.00","0.00","0.00","27.13"
"115/08/28","115","2","2889","國票金","22926544.00","260.00","179787988.00","159245937.00","699426.00","--","4220656.00","84969976.00","231967.00","--","--","--","--","6696332.00","--","30585223.00","392213.00","6918022.00","167671.00","270546.00","476951.00","10491372.00","508081084.00","--","38236522.00","7590266.00","--","257212054.00","67762540.00","44096235.00","667086.00","--","--","--","--","--","1790182.00","24818358.00","--","160634.00","73545.00","9358381.00","451765803.00","36659022.00","405994.00","6490938.00","4062457.00","0.00","--","47618411.00","8696870.00","56315281.00","0.00","0.00","0.00","13.11"
"115/08/28","115","2","2890","永豐金","58387904.00","283988582.00","207034165.00","421233680.00","353277762.00","--","88152551.00","283475834.00","387716.00","0.00","--","2101288548.00","--","1165908.00","--","112928438.00","2316599.00","18794546.00","4614265.00","12615423.00","3809130.00","41578024.00","3995049075.00","116619959.00","--","77169009.00","--","93727488.00","155434157.00","168562162.00","3954445.00","0.00","2815449401.00","64809107.00","21602351.00","18437.00","2850659.00","179846039.00","--","4211444.00","2812039.00","20290393.00","3727357090.00","147821687.00","26827097.00","96761477.00","-6411977.00","--","--","264998284.00","2693701.00","267691985.00","--","0.00","0.00","18.29"
"115/08/28","115","2","2891","中信金","135612611.00","515168389.00","543542654.00","1440279884.00","1899734030.00","303820.00","42768287.00","397952772.00","5088111.00","--","--","4706748738.00","26661803.00","26556845.00","--","162309490.00","128363903.00","55389483.00","18084788.00","40031732.00","23347794.00","89594472.00","10257539606.00","132664306.00","76701916.00","283237224.00","6022713.00","163565326.00","82574335.00","181298850.00","10618819.00","--","6205795498.00","220652897.00","--","--","4430034.00","85497078.00","1896152282.00","27652424.00","28115622.00","116539598.00","9521518922.00","201768884.00","61432766.00","334427382.00","108309739.00","--","--","705938771.00","30081913.00","736020684.00","0.00","0.00","0.00","34.99"
"115/08/28","115","2","2892","第一金","70545691.00","311218215.00","227791362.00","482764665.00","1002618813.00","--","1995800.00","119211695.00","1300145.00","--","--","2935072370.00","--","3478840.00","--","19821288.00","12474217.00","27858582.00","2507720.00","1163674.00","5135941.00","10230011.00","5235189029.00","445079064.00","0.00","11784225.00","--","46157751.00","56565099.00","88864657.00","5374359.00","--","4000873768.00","77300000.00","6239000.00","--","4219466.00","75434679.00","89114438.00","2418517.00","7880922.00","16380516.00","4933686461.00","143794686.00","26107246.00","92557444.00","39043192.00","--","--","301502568.00","0.00","301502568.00","--","0.00","0.00","20.97"
"115/08/28","115","2","5880","合庫金","55650302.00","463454273.00","220920488.00","608498530.00","652382935.00","--","2422386.00","76044121.00","2125659.00","--","--","3239739919.00","246700.00","140995.00","--","66777223.00","11540512.00","31816404.00","1760437.00","4755088.00","1511245.00","5858505.00","5445645722.00","580498418.00","--","18721697.00","--","70474081.00","39073954.00","73369757.00","2884469.00","--","4156404358.00","77140000.00","16624820.00","--","6341706.00","3003417.00","91408257.00","1733160.00","6777928.00","3321865.00","5147777887.00","160729603.00","45653621.00","70025458.00","13813202.00","--","--","290221884.00","7645951.00","297867835.00","--","0.00","0.00","18.51"
