出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,保險合約資產,再保險合約資產,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,保險合約負債,再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"115/09/05","115","1","2801","彰銀","40993679.00","227103958.00","147868594.00","326606213.00","555066240.00","--","--","27910366.00","117704.00","--","--","2110014150.00","--","--","388889.00","--","--","22046268.00","2256697.00","14014588.00","990491.00","2985574.00","3200043.00","3481563454.00","348285729.00","--","2737070.00","--","32571432.00","33300497.00","1942477.00","--","2774469785.00","42780117.00","--","--","2040406.00","2540073.00","--","--","2133080.00","8644410.00","4141653.00","3255586729.00","117660462.00","--","24.00","91959578.00","16356661.00","0.00","225976725.00","--","--","--","225976725.00","--","0.00","0.00","19.21"
"115/09/05","115","1","2812","台中銀","11220605.00","49734907.00","46943807.00","106058182.00","93409629.00","--","12092402.00","25012775.00","791.00","--","--","644490559.00","199417.00","271848.00","43306.00","--","--","21256314.00","942163.00","538742.00","528541.00","756675.00","3403943.00","1016904606.00","14708707.00","10381339.00","2772004.00","--","14703839.00","9536101.00","895342.00","--","837381687.00","15150000.00","--","--","14055395.00","1389617.00","--","--","972497.00","109486.00","1263373.00","923319387.00","60216258.00","--","2467906.00","30213737.00","687318.00","0.00","93585219.00","--","--","0.00","93585219.00","0.00","0.00","0.00","15.54"
"115/09/05","115","1","2820","華票","326912.00","--","153530806.00","95824616.00","2692877.00","--","8447081.00","2134722.00","105344.00","--","--","--","--","--","166857.00","--","--","154719.00","27152.00","--","--","202903.00","694751.00","264308740.00","29462554.00","--","324714.00","--","203085773.00","1418062.00","151547.00","--","--","--","--","--","--","1693820.00","--","--","27371.00","58599.00","211206.00","236433646.00","13429600.00","--","16737.00","13785028.00","643729.00","--","--","--","--","--","27875094.00","--","0.00","0.00","20.76"
"115/09/05","115","1","2834","臺企銀","29451426.00","154652684.00","108743146.00","207585147.00","262447347.00","--","34627429.00","15106621.00","357395.00","--","--","1711340088.00","0.00","--","5711.00","--","--","13693539.00","1050342.00","--","1378038.00","1786778.00","13121921.00","2555347612.00","207525285.00","1536858.00","9846227.00","--","3597118.00","20953026.00","971447.00","--","2097885907.00","52910000.00","--","--","2130183.00","2511142.00","--","--","1079498.00","994754.00","4296542.00","2406237987.00","97180618.00","--","816129.00","47458212.00","3654666.00","--","149109625.00","--","--","--","149109625.00","0.00","0.00","0.00","15.34"
"115/09/05","115","1","2836","高雄銀","2536364.00","20718211.00","4690859.00","33099820.00","51576290.00","--","9173873.00","1498674.00","--","--","--","224474651.00","--","--","244180.00","--","--","3723413.00","273354.00","--","141149.00","97290.00","632499.00","352880627.00","18973898.00","0.00","8444.00","--","11065730.00","4424379.00","161781.00","--","283892896.00","6327000.00","--","--","--","396062.00","--","--","272158.00","49256.00","279010.00","325850614.00","18799170.00","--","1436134.00","5693853.00","1100856.00","--","--","--","--","--","27030013.00","--","0.00","0.00","14.38"
"115/09/05","115","1","2838","聯邦銀","8264919.00","41829467.00","90505592.00","68353005.00","79809811.00","--","50116338.00","48208846.00","15298.00","--","--","641033096.00","405866.00","--","4451544.00","--","--","17445342.00","2315282.00","4424848.00","2150078.00","630908.00","6631644.00","1066591884.00","14412219.00","4182060.00","445216.00","--","84911798.00","11332010.00","663179.00","--","834094706.00","6000000.00","799208.00","375000.00","16736372.00","498531.00","--","--","2328400.00","2323052.00","1384190.00","980485941.00","45405518.00","--","8236992.00","24677234.00","5742232.00","--","84061976.00","--","--","2043967.00","86105943.00","--","0.00","0.00","18.51"
"115/09/05","115","1","2845","遠東銀","7041472.00","56065373.00","63751696.00","64687004.00","139889374.00","--","1518471.00","22559577.00","--","--","--","512668886.00","2974575.00","--","11125972.00","--","--","5190367.00","1681178.00","--","1538210.00","182110.00","619131.00","891493396.00","1634853.00","2722731.00","8874115.00","--","2250078.00","7356994.00","369599.00","--","729332357.00","25301720.00","--","--","39676347.00","632337.00","--","--","1701926.00","--","438475.00","820291532.00","48652847.00","--","830560.00","20576943.00","1141514.00","--","71201864.00","--","--","--","71201864.00","--","0.00","0.00","14.63"
"115/09/05","115","1","2849","安泰銀","2706824.00","16961330.00","27579066.00","49625888.00","36522421.00","--","1161030.00","4462789.00","0.00","--","--","255406346.00","--","--","136464.00","--","--","784016.00","793457.00","--","278272.00","706887.00","1817422.00","398942212.00","7466790.00","--","1310036.00","--","290538.00","2368848.00","171876.00","--","344444965.00","--","--","--","5189002.00","238679.00","--","--","791876.00","70752.00","90064.00","362433426.00","19576094.00","0.00","406342.00","16742956.00","-216606.00","0.00","--","--","0.00","--","36508786.00","--","0.00","0.00","18.65"
"115/09/05","115","1","2897","王道銀行","6137312.00","28557892.00","187285355.00","155218341.00","33622263.00","--","20532924.00","5079764.00","124016.00","--","--","263172058.00","6438099.00","--","1464810.00","--","--","2592322.00","363285.00","--","1750979.00","809319.00","1793970.00","714942709.00","60980908.00","--","1159312.00","--","214562769.00","5599533.00","233798.00","--","330850729.00","14660000.00","--","--","17154542.00","2347246.00","--","--","382283.00","1018226.00","695639.00","649644985.00","30553579.00","--","578279.00","14226983.00","-490341.00","-221695.00","44646805.00","--","--","20650919.00","65297724.00","--","22939000.00","0.00","14.72"
"115/09/05","115","1","5876","上海商銀","30954201.00","425818251.00","7398362.00","555512310.00","159006353.00","--","30352323.00","24905916.00","1166080.00","0.00","--","1199080810.00","1766614.00","--","24387.00","--","--","23575788.00","2109953.00","5291930.00","2344507.00","5978173.00","13674231.00","2488960189.00","49757409.00","--","6718624.00","--","12517652.00","44918009.00","958176.00","--","1991384819.00","65487077.00","--","--","17065410.00","2955206.00","--","--","2097905.00","9551068.00","4557145.00","2207968500.00","48616031.00","--","27867109.00","121615432.00","10437707.00","-83144.00","208453135.00","--","--","72538554.00","280991689.00","0.00","11397439.00","0.00","42.98"
