出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","3","1101","台泥","3151747.00","-11076761.00","8467161.00","3703454.00","4245601.00","91121942.00","95367543.00"
"114/10/29","111","3","1102","亞泥","12191225.00","1632309.00","-5658485.00","1751427.00","9916476.00","33450618.00","43367094.00"
"114/10/29","111","3","1103","嘉泥","-318007.00","371561.00","-216922.00","217382.00","54014.00","3685347.00","3739361.00"
"114/10/29","111","3","1104","環泥","579039.00","4410.00","-303854.00","--","279595.00","292032.00","571627.00"
"114/10/29","111","3","1108","幸福","584282.00","-830498.00","476001.00","-1242.00","228543.00","220238.00","448781.00"
"114/10/29","111","3","1109","信大","1506449.00","-164866.00","-811356.00","93971.00","624198.00","2643843.00","3268041.00"
"114/10/29","111","3","1110","東泥","-36867.00","-143425.00","-48237.00","--","-228529.00","419504.00","190975.00"
"114/10/29","111","3","1201","味全","997919.00","-570773.00","-345442.00","2688.00","84392.00","1292071.00","1376463.00"
"114/10/29","111","3","1203","味王","61453.00","-106028.00","-363179.00","83759.00","-323995.00","1570497.00","1246502.00"
"114/10/29","111","3","1210","大成","2746589.00","-2880440.00","82084.00","623491.00","571724.00","6083001.00","6654725.00"
"114/10/29","111","3","1213","大飲","7463.00","-153.00","-10211.00","-13.00","-2914.00","7539.00","4625.00"
"114/10/29","111","3","1215","卜蜂","1590758.00","-1484756.00","-86477.00","2821.00","22346.00","187008.00","209354.00"
"114/10/29","111","3","1216","統一","44183117.00","-21193170.00","-12751107.00","3222075.00","13460915.00","80837880.00","94298795.00"
"114/10/29","111","3","1217","愛之味","-197471.00","-67806.00","59808.00","77396.00","-128073.00","687587.00","559514.00"
"114/10/29","111","3","1218","泰山","-189591.00","199047.00","-543210.00","9193.00","-524561.00","1664560.00","1139999.00"
"114/10/29","111","3","1219","福壽","-818741.00","-192074.00","973292.00","3365.00","-34158.00","870863.00","836705.00"
"114/10/29","111","3","1220","台榮","-239773.00","-57221.00","149258.00","0.00","-147736.00","413965.00","266229.00"
"114/10/29","111","3","1225","福懋油","-175466.00","-69858.00","3892.00","4808.00","-236624.00","1108318.00","871694.00"
"114/10/29","111","3","1227","佳格","2918891.00","-1296991.00","-2028772.00","63823.00","-343049.00","3748069.00","3405020.00"
"114/10/29","111","3","1229","聯華","3351071.00","-602405.00","-2773558.00","131787.00","106895.00","2785515.00","2892410.00"
"114/10/29","111","3","1231","聯華食","466693.00","-895622.00","366708.00","-362.00","-62583.00","327180.00","264597.00"
"114/10/29","111","3","1232","大統益","267774.00","-132626.00","-1075953.00","--","-940805.00","1927676.00","986871.00"
"114/10/29","111","3","1233","天仁","147539.00","27779.00","-162394.00","-12653.00","271.00","179663.00","179934.00"
"114/10/29","111","3","1234","黑松","151446.00","-129459.00","-200216.00","7095.00","-171134.00","1231471.00","1060337.00"
"114/10/29","111","3","1235","興泰","737.00","173962.00","-309680.00","--","-134981.00","152647.00","17666.00"
"114/10/29","111","3","1236","宏亞","92466.00","148530.00","-331907.00","-1347.00","-92258.00","216877.00","124619.00"
"114/10/29","111","3","1256","鮮活果汁-KY","254124.00","-110676.00","-531512.00","50200.00","-337864.00","1640941.00","1303077.00"
"114/10/29","111","3","1301","台塑","51851901.00","-12472595.00","-35904949.00","2419637.00","5893994.00","13715454.00","19609448.00"
"114/10/29","111","3","1303","南亞","57175436.00","-31651122.00","-19059346.00","5880269.00","12345237.00","74549426.00","86894663.00"
"114/10/29","111","3","1304","台聚","7281478.00","-1818349.00","-4548144.00","718089.00","1633074.00","10365353.00","11998427.00"
"114/10/29","111","3","1305","華夏","775478.00","-1117590.00","586618.00","-3115.00","241391.00","1220291.00","1461682.00"
"114/10/29","111","3","1307","三芳","907125.00","-128318.00","-313766.00","519408.00","984449.00","3689330.00","4673779.00"
"114/10/29","111","3","1308","亞聚","2550117.00","157843.00","-2662187.00","20773.00","66546.00","763936.00","830482.00"
"114/10/29","111","3","1309","台達化","776945.00","-38171.00","-710435.00","47375.00","75714.00","2598283.00","2673997.00"
"114/10/29","111","3","1310","台苯","49679.00","189327.00","71482.00","7732.00","318220.00","253124.00","571344.00"
"114/10/29","111","3","1312","國喬","693235.00","-12497686.00","11071698.00","359385.00","-373368.00","7038195.00","6664827.00"
"114/10/29","111","3","1313","聯成","336180.00","-1030833.00","-664569.00","733025.00","-626197.00","4344203.00","3718006.00"
"114/10/29","111","3","1314","中石化","-8669312.00","3334054.00","6208178.00","592503.00","1465423.00","7650122.00","9115545.00"
"114/10/29","111","3","1315","達新","489899.00","442669.00","-532687.00","6114.00","405995.00","1509695.00","1915690.00"
"114/10/29","111","3","1316","上曜","-524591.00","28794.00","422274.00","785.00","-72738.00","820350.00","747612.00"
"114/10/29","111","3","1319","東陽","4159931.00","-327754.00","-3486847.00","65523.00","410853.00","1453510.00","1864363.00"
"114/10/29","111","3","1321","大洋","343819.00","-126202.00","-168345.00","13738.00","63010.00","414256.00","477266.00"
"114/10/29","111","3","1323","永裕","400533.00","-219915.00","-279063.00","76122.00","-22323.00","1097968.00","1075645.00"
"114/10/29","111","3","1324","地球","68456.00","-7370.00","-16228.00","-536.00","44322.00","225429.00","269751.00"
"114/10/29","111","3","1325","恆大","64690.00","438197.00","-170311.00","8183.00","340759.00","406558.00","747317.00"
"114/10/29","111","3","1326","台化","26089114.00","-16058313.00","8664304.00","2672377.00","21367482.00","23062097.00","44429579.00"
"114/10/29","111","3","1337","再生-KY","-282210.00","-17910.00","0.00","38660.00","-261460.00","1513235.00","1251775.00"
"114/10/29","111","3","1338","廣華-KY","712324.00","-323114.00","-355064.00","8361.00","42507.00","2300865.00","2343372.00"
"114/10/29","111","3","1339","昭輝","615153.00","-253899.00","-93553.00","-9803.00","257898.00","635392.00","893290.00"
"114/10/29","111","3","1340","勝悅-KY","-265611.00","3521.00","-13606.00","-42343.00","-318039.00","1680584.00","1362545.00"
"114/10/29","111","3","1341","富林-KY","421647.00","31222.00","-335767.00","-19713.00","97389.00","297980.00","395369.00"
"114/10/29","111","3","1342","八貫","350136.00","-178978.00","98218.00","--","269376.00","252247.00","521623.00"
"114/10/29","111","3","1402","遠東新","25973646.00","-16132612.00","784476.00","648146.00","11273656.00","34544963.00","45818619.00"
"114/10/29","111","3","1410","南染","67028.00","28719.00","-84074.00","--","11673.00","435974.00","447647.00"
"114/10/29","111","3","1413","宏洲","38542.00","-54424.00","-64901.00","--","-80783.00","158555.00","77772.00"
"114/10/29","111","3","1414","東和","185734.00","-111188.00","-155487.00","--","-80941.00","275877.00","194936.00"
"114/10/29","111","3","1416","廣豐","233829.00","-469248.00","239285.00","323.00","4189.00","301622.00","305811.00"
"114/10/29","111","3","1417","嘉裕","-607210.00","55528.00","537742.00","24433.00","10493.00","476075.00","486568.00"
"114/10/29","111","3","1418","東華","-84838.00","-101887.00","259006.00","-10.00","72271.00","352852.00","425123.00"
"114/10/29","111","3","1419","新紡","-7395.00","84020.00","-641918.00","294.00","-564999.00","1409594.00","844595.00"
"114/10/29","111","3","1423","利華","300697.00","-68136.00","-103120.00","--","129441.00","429663.00","559104.00"
"114/10/29","111","3","1432","大魯閣","184809.00","-219456.00","-115986.00","1027.00","-149606.00","544824.00","395218.00"
"114/10/29","111","3","1434","福懋","2447219.00","-605092.00","-1010220.00","109603.00","941510.00","3471141.00","4412651.00"
"114/10/29","111","3","1435","中福","-77583.00","6228.00","15101.00","--","-56254.00","88676.00","32422.00"
"114/10/29","111","3","1436","華友聯","1604229.00","-5400.00","-1463414.00","--","135415.00","530554.00","665969.00"
"114/10/29","111","3","1437","勤益控","241246.00","-688924.00","338558.00","89256.00","-19864.00","949383.00","929519.00"
"114/10/29","111","3","1438","三地開發","69803.00","-1995659.00","1862732.00","--","-63124.00","124477.00","61353.00"
"114/10/29","111","3","1439","雋揚","-112210.00","282899.00","-529608.00","--","-358919.00","953814.00","594895.00"
"114/10/29","111","3","1440","南紡","1946551.00","-150587.00","-1759872.00","750207.00","786299.00","4630792.00","5417091.00"
"114/10/29","111","3","1441","大東","-197353.00","-59594.00","199414.00","23764.00","-33769.00","141032.00","107263.00"
"114/10/29","111","3","1442","名軒","-1468972.00","348817.00","1041528.00","--","-78627.00","212130.00","133503.00"
"114/10/29","111","3","1443","立益物流","214965.00","-140260.00","-85309.00","-71623.00","-82227.00","171216.00","88989.00"
