"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1240 - 茂生農經","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/11","108/06/17","        102,209,777","         99,929,835","        214,989,707","        155,589,707","1.50000000","0.0","         49,500,000","0.30000000","0.0","            990,000","本公司年度如有獲利，應提撥1.5%以上為員工酬勞，由董事會決議以股票或現金分派發放，其發放對象包含符合一定條件之從屬公司員工；本公司得以上開獲利數額，由董事會參照董事對公司營運參與之程度及貢獻之價值，提撥不高於5%為董事酬勞。
員工酬勞及董事酬勞分派案應由董事會決議行之，並報告股東會。但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董事酬勞。
本公司年度總決算如有盈餘時，除先依法完納稅捐，彌補累積虧損後，次提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；再依法令或主管機關規定提撥或迴轉特別盈餘公積；其餘額併同累積未分配盈餘，由董事會擬具盈餘分派議案，提請股東會決議分派股東股息紅利。若公司股東會決議發放股東紅利時，得以現金或股票方式為之。本公司股利政策係考量以公司永續經營、穩定成長及維護股東權益、健全財務結購為目標，由董事會依公司資金需求擬訂盈餘分派案。若公司股東會決議發放股東股利時，每&#63886;就累積可供分配盈餘提撥不低於10％分配股東股息紅利，惟累積可供分配盈餘低於實收股本 1％時，得不予分配，其中現金股利不得低於股利總額之10%。","",
"1259 - 安心","股東會確認","107年 年度","107/01/01~107/12/31","1","108/02/26","108/06/05","        376,465,829","        140,649,235","        486,688,034","        389,870,534","3.00000000","0.0","         96,817,500","0.0","0.0","                  0","第  二十一  條	公司年度總決算如有盈餘，應先提繳稅款、彌補累積虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時不在此限；
另視公司營運需要及法令規定提列特別盈餘公積，其餘除派付股息外，如尚有盈餘併同期初未分配盈餘，由董事會擬具盈餘分配案提請股東會決議分派之。
本公司屬餐飲服務業，企業生命週期正值成熟茁壯期，財務結構健全，故盈餘之分派，除依公司法及本公司章程規定外，將視公司資本規劃及經營成果，決定每年股利分派方式。惟原則採取股利穩定暨平衡政策，並於每年股東常會前由董事會依據經營結果、財務狀況及資本規劃情形，擬訂盈餘分派方式(現金股利或股票股利)及金額，其中現金股利比率不低於股利總額百分之三十。","",
"1264 - 德麥","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/12","108/05/29","        547,667,903","        447,052,125","        949,239,604","        578,583,934","11.00000000","0.0","        370,655,670","0.0","0.0","                  0","本公司正值成長階段，基於公司營運之需要暨股東權益最大化之考量，股利分配採剩餘股利政策，依本公司未來之資本預算規劃，衡量未來年度之資金需求，並綜合考量獲利狀況財務結構及每年盈餘稀釋程度等因素將當年度可分配盈餘提撥百分之二十以上分派股東紅利，股東紅利之分派得以現金或股票方式發放，其中現金股利之發放以不低於當年度全部股利之百分之二十。","",
"1268 - 漢來美食","股東會確認","107年 年度","107/01/01~107/12/31","1","108/04/11","108/05/23","         69,560,716","        234,445,028","         87,597,484","             11,769","2.37400000","4.62600000","        258,256,110","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素而定，每年就可供分配盈餘提撥不低於10%分配股東股息紅利，惟累積可供分配盈餘低於實收股本1%時，得不予分配；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之20%。","",
"1336 - 台翰","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/19","108/06/12","         -2,957,581","        106,720,709","         47,084,942","            821,462","0.55000000","0.25000000","         67,292,335","0.0","0.0","                  0","第二十條：本公司股利政策採穩健平衡原則，並參酌獲利狀況、財務結構及公司未來發展等因素，就當年度所分配之股利中提撥至少百分之二十發放現金股利。
員工紅利如以股票方式發放，本公司之從屬公司之員工符合一定條件時，亦得分配之，其一定條件授權董事長訂定之。
第廿一條：本公司每年決算後當期淨利，應先彌補虧損，次就其餘額提存百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。
另依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，應先提全體員工紅利不低於百分之一，董事監察人酬勞不高於百分之三後，其餘併同以前年度累積未分配盈餘及當年度未分配盈餘。","",
"1565 - 精華","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/14","108/06/13","      1,715,608,064","      1,667,501,063","      3,221,785,059","      1,885,747,385","26.50000000","0.0","      1,336,037,674","0.0","0.0","                  0","第廿四條之一：
本公司年度總決算如有盈餘，除依法繳納稅捐
外，應先彌補虧損，次提百分之十為法定盈餘
公積，但法定公積已達實收資本額時，得免繼
續提撥，並按法令規定或得視業務需要，提列
或迴轉特別盈餘公積，如尚有餘額，併同累計
未分配盈餘，由董事會擬具盈餘分派案，提請
股東會決議分派股東股息紅利。","",
"1569 - 濱川","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/26","108/06/25","        231,177,844","         38,944,017","        259,238,627","        231,060,311","0.25000000","0.0","         28,178,316","0.0","0.0","                  0","本公司年度總決算如有盈餘，依下列順序分派
之：
1、提繳稅捐。
2、彌補以往年度虧損。
3、提列百分之十為法定盈餘公積(但法定盈餘
公積已達股本總額時不在此限)。
4、按法令規定提列或迴轉特別盈餘公積。
5、其餘加計期初未分配盈餘後由董事會擬訂
盈餘分派案分派之，惟股利分配數額不得低於
當年度利潤依1 至4 規定數額扣除後剩餘數額
之25%。
股利政策
本公司正處於企業成長階段，為考量公司財務
結構及因應未來預計資本支出之需要，本公司
股利政策係以部分分派股票股利及部分分派現
金股利，其中現金股利百分之二十至百分百，
股票股利零至百分之八十。惟為維持公司每股
獲利水準，考量股票股利對公司營業績效之影
響，如股利發放年度之每股盈餘較前一年度衰
退達百分之二十以上者，或得視資金情形，調
整現金股利發放比例為百分之五十至百分之
百，股票股利零至百分之五十，依前述原則決
定最適當之股利政策及發放方式，由董事會擬
具盈餘分派案，經股東會決議後辦理。","",
"1570 - 力肯","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/21","108/06/14","        114,823,197","         83,511,919","        188,881,796","        147,681,125","0.80000000","0.0","         41,200,671","0.0","0.0","                  0","第23-1條：
本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合業務規模拓展，考量公司資本支出及營運週轉所需，並同時兼顧股東利益。股東紅利之分派得以現金或股票方式發放，其中現金股利不得低於股東紅利之百分之十。","",
"1580 - 新麥","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/14","108/06/14","        567,388,575","        473,613,290","        982,220,282","        655,723,709","6.50000000","0.0","        326,496,573","0.0","0.0","                  0","本公司年度扣除員工酬勞及董事酬勞前之本期稅前利益，應提撥百分之二至百分之十為員工酬勞及不高於百分之五之董事酬勞。前項員工酬勞得以股票或現金為之，其給付對象得包括符合董事會所訂條件之從屬公司員工。前項董事酬勞僅得以現金為之。前二項應由董事會決議行之，並報告股東會。經前項董事會決議以股票之方式發給員工酬勞者，得同次決議以發行新股或收買自己之股份為之。
但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董事酬勞。
本公司年度決算如有本期稅後淨利，應先彌補累積虧損後(包括調整未分配盈餘金額)，再依法提撥百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，不在此限。次依法令或主管機關規定提撥或迴轉特別盈餘公積；嗣餘盈餘，連同期初未分配盈餘(包括調整未分配盈餘金額)，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，每年就可供分配盈餘提撥不低於百分之二十分配股東股息紅利，分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之百分之二十。","",
"1584 - 精剛","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/13","108/06/03","        -81,437,060","        -69,567,177","       -117,701,263","       -117,701,263","0.0","0.0","                  0","0.0","0.0","                  0","本公司年終結算如有盈餘，除提付應納稅款外，應先彌補以往年度虧損，
次就其餘額提出百分之十為法定盈餘公積，並得視業務需要或法令規定提列
特別盈餘公積，如尚有盈餘，加計前期累積未分配盈餘後，由董事會擬定分配案，
提請股東會通過後分配之。
本公司正處於成長期，為因應未來營運擴展計劃，盈餘之分派以現金股利為優先，
亦得搭配以股票股利之方式分派。","",
