證券代號,證券簡稱,除息交易日,收益分配基準日,收益分配發放日,收益分配金額 (每1受益權益單位),收益分配標準 (102年度起啟用),公告年度
00940,元大台灣價值高息,114年12月10日,114年12月16日,115年01月02日,,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金除息交易日前(不含當日)受益權單位投資所得之現金股利、股票股利、利息收入、子基金收益分配、收益平準金、本基金因出借有價證券而由借券人返還之現金股利及租賃所得等收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司得依該等收入之情況，決定分配之收益金額。
2.前款可分配收益若另增配投資所得之已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於做成收益分配決定時每受益權單位之淨資產價值應高於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位分配收益之餘額，不得低於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣10元。
3.經理公司得依本基金收益之情況自行決定當次分配之金額，故每次分配之金額並非一定相同。本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入下次之可分配收益。",114
00946,群益科技高息成長,114年12月03日,114年12月09日,114年12月30日,,"本基金可分配收益，應符合下列規定，並應經金管會核准辦理公開發行公司之簽證會計師出具收益分配核閱報告後，始得分配：
(1)本基金每受益權單位可分配之收益，係指以本基金收益分配權最後交易日受益權單位投資所得之股利收入、利息收入、出借有價證券之租賃所得及收益平準金，扣除本基金應負擔之費用後，為本基金之可分配收益。
(2)前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於作成收益分配決定時每受益權單位之淨資產價值應高於信託契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於信託契約第五條第一項第二款所列本基金每受益權單位之發行價格。
(3)經理公司得依收益之情況自行決定當次分配之金額或不分配，故每次分配之金額並非一定相同。本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入下次之可分配收益。",114
00953B,群益優選非投等債,114年12月03日,114年12月09日,114年12月30日,,"本基金可分配收益，應符合下列規定，並應經金管會核准辦理公開發行公司之簽證會計師出具收益分配核閱報告後，始得分配：
(1)本基金每受益權單位可分配之收益，係指以本基金收益分配權最後交易日受益權單位投資所得之利息收入及收益平準金扣除本基金應負擔之費用後，為本基金之可分配收益。
(2)前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
(3)經理公司得依收益之情況自行決定當次分配之金額或不分配，故每次分配之金額並非一定相同。 本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入下次之可分配收益。",114
00985B,群益ESG投等債0-5,114年12月03日,114年12月09日,114年12月30日,,"本基金可分配收益，應符合下列規定，並應經金管會核准辦理公開發行公司之簽證會計師出具收益分配核閱報告後，始得分配：
(1)本基金每受益權單位可分配之收益，係指以本基金收益分配權最後交易日受益權單位投資所得之利息收入及收益平準金扣除本基金應負擔之費用後，為本基金之可分配收益。
(2)前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用後之餘額為正數時，則本基金做成收益分配決定時每受益權單位之淨資產價值應高於本契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於本契約第五條第一項第二款所列本基金每受益權單位之發行價格。
(3)經理公司得依收益之情況自行決定當次分配之金額或不分配，故每次分配之金額並非一定相同。 本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入下次之可分配收益。",114
00939,統一台灣高息動能,114年12月02日,114年12月08日,114年12月24日,0.072,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配（倘可分配收益未涉及資本利得，得以簽證會計師出具核閱報告後進行分配）：本基金之可分配收益來源為：1.本基金每受益權單位可分配之收益係指以本基金除息交易日前(不含當日)受益權單位投資於下列各款所得，做為本基金可分配收益：(1)現金股利、利息收入、收益平準金、借券收入，本基金因出借有價證券而由借券人返還之現金股利等收入扣除本基金應負擔之費用後，為可分配收益。(2)本基金已實現資本利得扣除資本損失（包括已實現及未實現資本損失）及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。2.經理公司應按每月收益評價日(即每月十五日)之本基金淨資產價值即收入情況進行收益分配評價，本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入下次之可分配收益。如欲分配前項(2)款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣壹拾伍元)。,114
00901,永豐智能車供應鏈,114年11月25日,114年12月01日,114年12月19日,2.6,1.本基金可分配收益，應符合下列規定：(1) 本基金投資於中華民國境內所得之現金股利、利息收入、本基金因出借有價證券而由借券人返還之現金股利及租賃所得等收入扣除本基金應負擔之各項成本費用後，為本基金之可分配收益。(2) 前款可分配收益若另增配已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）與本基金應負擔之費用時，則本基金於收益分配評價日之每受益權單位之淨資產價值應高於本基金成立日前（不含當日）每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於本基金成立日前（不含當日）每受益權單位之發行價格。(3) 經理公司得依收益之情況決定應分配之收益金額。本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入次年度之可分配收益。2.本基金每受益權單位之可分配收益，應經金管會核准辦理公開發行公司之簽證會計師出具查核簽證報告後始得進行分配。惟如收益分配內容未涉及資本利得時，經簽證會計師出具核閱報告後即得進行分配。,114
00930,永豐ESG低碳高息,114年11月25日,114年12月01日,114年12月19日,0.129,1.本基金可分配收益，應符合下列規定：(1)本基金除息交易日前（不含當日）投資於中華民國境內所得之現金股利、利息收入、收益平準金、本基金因出借有價證券而由借券人返還之現金股利及租賃所得等收入扣除本基金應負擔之各項成本費用後，為本基金之可分配收益。(2)前款可分配收益若另增配已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）與本基金應負擔之費用時，則本基金於收益分配評價日（即每年二月、四月、六月、八月、十月、十二月最後一個日曆日）之每受益權單位之淨資產價值應高於本基金成立日前（不含當日）每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於本基金成立日前（不含當日）每受益權單位之發行價格。(3)經理公司得依收益之情況決定應分配之收益金額。本基金受益權單位可分配收益，於經理公司決定收益分配金額後，若有未分配收益得累積併入下次之可分配收益。2.本基金每受益權單位之可分配收益，應經金管會核准辦理公開發行公司之簽證會計師出具查核簽證報告後始得進行分配。惟如收益分配內容未涉及資本利得時，經簽證會計師出具核閱報告後即得進行分配。,114
0051,元大中型100,114年11月21日,114年11月29日,114年12月12日,3.0,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失 (包括已實現及未實現之資本損失 )及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前 (不含當日 )每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前 (不含當日 )每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣26.12元。,114
0053,元大電子,114年11月21日,114年11月29日,114年12月12日,3.0,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣30元。,114
0055,元大MSCI金融,114年11月21日,114年11月29日,114年12月12日,1.25,本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配查核簽證報告後，始得分配：1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣15元。,114
