出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/30","106","4","2801","彰銀","22656870.00","8139849.00","791185.00","15821315.00","14184219.00","-2091113.00","12093106.00","--","--","12093106.00","-903865.00","11189241.00","--","--","--","--","--","--","1.28"
"114/11/30","106","4","2812","台中銀","8186007.00","3208748.00","1124859.00","5914684.00","4355212.00","-722670.00","3632542.00","--","--","3632542.00","168335.00","3800877.00","3632542.00","--","--","3800877.00","--","--","1.10"
"114/11/30","106","4","2820","華票","1158918.00","936028.00","-7283.00","476026.00","1626203.00","-275139.00","1351064.00","--","--","1351064.00","364896.00","1715960.00","--","--","--","--","--","--","1.01"
"114/11/30","106","4","2834","臺企銀","15425422.00","5437273.00","3028711.00","11962883.00","5871101.00","-831177.00","5039924.00","--","--","5039924.00","516236.00","5556160.00","5039924.00","0.00","0.00","5556160.00","0.00","0.00","0.82"
"114/11/30","106","4","2836","高雄銀","2534509.00","757847.00","590254.00","2203366.00","498736.00","-46320.00","452416.00","--","--","452416.00","71658.00","524074.00","452416.00","--","--","524074.00","--","--","0.47"
"114/11/30","106","4","2838","聯邦銀","6591048.00","5880317.00","356861.00","8727933.00","3386571.00","-620536.00","2766035.00","--","--","2766035.00","396819.00","3162854.00","2744987.00","--","21048.00","3141678.00","--","21176.00","1.05"
"114/11/30","106","4","2845","遠東銀","5404874.00","5015382.00","731847.00","6420765.00","3267644.00","-413761.00","2853883.00","--","--","2853883.00","288686.00","3142569.00","2853883.00","--","--","3142569.00","--","--","0.90"
"114/11/30","106","4","2849","安泰銀","4040712.00","2318833.00","645864.00","3013837.00","2699844.00","-599412.00","2100432.00","0.00","--","2100432.00","9299.00","2109731.00","--","--","--","--","--","--","1.24"
"114/11/30","106","4","2897","王道銀行","4592175.00","3321879.00","894250.00","4175614.00","2844190.00","-732303.00","2111887.00","-52986.00","--","2058901.00","-41924.00","2016977.00","1072080.00","--","986821.00","799316.00","--","1217661.00","0.45"
"114/11/30","106","4","5876","上海商銀","23976809.00","10787641.00","832442.00","12723131.00","21208877.00","-4589911.00","16618966.00","--","--","16618966.00","-8954570.00","7664396.00","12385227.00","--","4233739.00","8287050.00","--","-622654.00","3.04"
