出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/30","106","4","2880","華南金","26938742.00","15281806.00","42220548.00","4950360.00","237716.00","23223104.00","13809368.00","-1793800.00","12015568.00","--","12015568.00","599718.00","12615286.00","12015482.00","--","86.00","12615200.00","--","86.00","1.09"
"114/11/30","106","4","2881","富邦金","113212070.00","292932896.00","406144966.00","2913810.00","289890386.00","55290193.00","58050577.00","-4034260.00","54016317.00","0.00","54016317.00","28021126.00","82037443.00","54122463.00","--","-106146.00","82142395.00","--","-104952.00","5.19"
"114/11/30","106","4","2882","國泰金","168460750.00","415992524.00","584453274.00","3459544.00","445832540.00","75525573.00","59635617.00","-2962393.00","56673224.00","--","56673224.00","44354346.00","101027570.00","56306735.00","--","366489.00","100990096.00","--","37474.00","4.47"
"114/11/30","106","4","2883","凱基金","22070412.00","63343239.00","85413651.00","613750.00","48277392.00","22002711.00","14519798.00","-2154331.00","12365467.00","--","12365467.00","4499766.00","16865233.00","11695285.00","--","670182.00","13408973.00","--","3456260.00","0.80"
"114/11/30","106","4","2884","玉山金","20249616.00","25857573.00","46107189.00","4055371.00","--","25178945.00","16872873.00","-2218434.00","14654439.00","--","14654439.00","-70657.00","14583782.00","14756556.00","--","-102117.00","14721101.00","--","-137319.00","1.49"
"114/11/30","106","4","2885","元大金","23058279.00","70726639.00","93784918.00","746771.00","33895878.00","38726825.00","20415444.00","-2559332.00","17856112.00","-352057.00","17504055.00","177608.00","17681663.00","16204948.00","--","1299107.00","15879969.00","--","1801694.00","1.37"
"114/11/30","106","4","2886","兆豐金","35879524.00","23780864.00","59660388.00","4336814.00","-152758.00","26195605.00","29280727.00","-3551632.00","25729095.00","--","25729095.00","-349226.00","25379869.00","25734515.00","0.00","-5420.00","25380530.00","0.00","-661.00","1.89"
"114/11/30","106","4","2887","台新新光金","18734569.00","19067332.00","37801901.00","1851058.00","--","21141214.00","14809629.00","-1739463.00","13070166.00","--","13070166.00","-107224.00","12962942.00","13060662.00","--","9504.00","12953592.00","--","9350.00","1.15"
"114/11/30","106","4","2889","國票金","1857747.00","4485003.00","6342750.00","372757.00","--","2953947.00","3016046.00","-472230.00","2543816.00","--","2543816.00","340485.00","2884301.00","2370784.00","--","173032.00","2681767.00","--","202534.00","0.86"
"114/11/30","106","4","2890","永豐金","16103056.00","16402895.00","32505951.00","2435754.00","--","19520429.00","10549768.00","-1465349.00","9084419.00","--","9084419.00","-998313.00","8086106.00","9085309.00","--","-890.00","8086996.00","--","-890.00","0.82"
"114/11/30","106","4","2891","中信金","91605166.00","258158491.00","349763657.00","2519102.00","239860214.00","62658046.00","44726295.00","-7502115.00","37224180.00","--","37224180.00","1052317.00","38276497.00","37222217.00","--","1963.00","38281597.00","--","-5100.00","1.91"
"114/11/30","106","4","2892","第一金","29993041.00","20834071.00","50827112.00","6771717.00","4559675.00","21347661.00","18148059.00","-2715668.00","15432391.00","--","15432391.00","-1038119.00","14394272.00","15483032.00","--","-50641.00","14379838.00","--","14434.00","1.27"
"114/11/30","106","4","5880","合庫金","34366142.00","12262258.00","46628400.00","5220930.00","340273.00","24264694.00","16802503.00","-2090418.00","14712085.00","--","14712085.00","1318173.00","16030258.00","14317798.00","--","394287.00","15359505.00","--","670753.00","1.17"
