出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","107","1","2801","彰銀","5769672.00","2053193.00","340541.00","3820294.00","3662030.00","233332.00","3428698.00","--","--","3428698.00","-63138.00","3365560.00","--","--","--","--","--","--","0.36"
"114/10/29","107","1","2812","台中銀","2003434.00","717173.00","169921.00","1622599.00","928087.00","47273.00","880814.00","0.00","--","880814.00","11739.00","892553.00","880814.00","--","--","892553.00","--","--","0.27"
"114/10/29","107","1","2820","華票","260005.00","237516.00","-4697.00","117021.00","385197.00","50721.00","334476.00","--","--","334476.00","-97587.00","236889.00","--","--","--","--","--","--","0.25"
"114/10/29","107","1","2834","臺企銀","4246100.00","1525637.00","356608.00","3296699.00","2118430.00","259669.00","1858761.00","0.00","--","1858761.00","-8828.00","1849933.00","1858761.00","0.00","0.00","1849933.00","0.00","0.00","0.30"
"114/10/29","107","1","2836","高雄銀","635797.00","262616.00","422178.00","554715.00","-78480.00","-87241.00","8761.00","--","--","8761.00","-60629.00","-51868.00","--","--","--","--","--","--","0.01"
"114/10/29","107","1","2838","聯邦銀","1654604.00","1378470.00","142772.00","2159753.00","730549.00","49245.00","681304.00","--","--","681304.00","-316304.00","365000.00","678552.00","--","2752.00","362248.00","--","2752.00","0.26"
"114/10/29","107","1","2845","遠東銀","1351744.00","1192505.00","146751.00","1609232.00","788266.00","51887.00","736379.00","--","--","736379.00","-198874.00","537505.00","736379.00","--","--","537505.00","--","--","0.23"
"114/10/29","107","1","2849","安泰銀","922149.00","656125.00","284919.00","688970.00","604385.00","146000.00","458385.00","0.00","--","458385.00","-74735.00","383650.00","--","--","--","--","--","--","0.26"
"114/10/29","107","1","2897","王道銀行","1147916.00","654197.00","134122.00","1073187.00","594804.00","167273.00","427531.00","-2830.00","--","424701.00","-223308.00","201393.00","178517.00","--","246184.00","35797.00","--","165596.00","0.07"
"114/10/29","107","1","5876","上海商銀","6241386.00","2121696.00","160540.00","3107820.00","5094722.00","1249951.00","3844771.00","--","--","3844771.00","-1620902.00","2223869.00","2938774.00","--","905997.00","1643703.00","--","580166.00","0.72"
