出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","111","1","1240","茂生農經","761457.00","689068.00","-1349.00","10261.00","81301.00","--","--","81301.00","62888.00","--","18413.00","-7906.00","10507.00","5554.00","4953.00","--","--","4953.00","29985.00","--","34938.00","12856.00","--","-7903.00","42841.00","--","-7903.00","0.35"
"114/10/29","111","1","1259","安心","1337517.00","1007802.00","--","--","329715.00","--","--","329715.00","313947.00","--","15768.00","-2832.00","12936.00","4378.00","8558.00","--","--","8558.00","-448.00","--","8110.00","13367.00","--","-4809.00","12011.00","--","-3901.00","0.41"
"114/10/29","111","1","1264","德麥","1226415.00","781119.00","--","--","445296.00","--","--","445296.00","206458.00","--","238838.00","527.00","239365.00","55775.00","183590.00","--","--","183590.00","51670.00","--","235260.00","163974.00","--","19616.00","191094.00","--","44166.00","4.43"
"114/10/29","111","1","1268","漢來美食","1036633.00","588774.00","--","--","447859.00","--","--","447859.00","393826.00","--","54033.00","321.00","54354.00","11593.00","42761.00","--","--","42761.00","-3803.00","--","38958.00","42761.00","--","--","38958.00","--","--","1.01"
"114/10/29","111","1","1336","台翰","525337.00","442528.00","--","--","82809.00","--","--","82809.00","44185.00","--","38624.00","3185.00","41809.00","15335.00","26474.00","--","--","26474.00","21338.00","--","47812.00","26474.00","--","--","47812.00","--","--","0.34"
"114/10/29","111","1","1565","精華","1345762.00","950982.00","--","--","394780.00","--","--","394780.00","95591.00","--","299189.00","71632.00","370821.00","74199.00","296622.00","--","--","296622.00","3816.00","--","300438.00","296622.00","--","--","300438.00","--","--","5.88"
"114/10/29","111","1","1569","濱川","1494804.00","1195808.00","--","--","298996.00","--","--","298996.00","149534.00","--","149462.00","30122.00","179584.00","30083.00","149501.00","--","--","149501.00","116138.00","--","265639.00","145882.00","--","3619.00","259285.00","--","6354.00","1.21"
"114/10/29","111","1","1570","力肯","158523.00","115001.00","--","--","43522.00","--","--","43522.00","17523.00","--","25999.00","8179.00","34178.00","6226.00","27952.00","--","--","27952.00","4996.00","--","32948.00","27952.00","--","0.00","32948.00","--","0.00","0.54"
"114/10/29","111","1","1580","新麥","796290.00","515216.00","--","--","281074.00","--","--","281074.00","201744.00","--","79330.00","11506.00","90836.00","31465.00","59371.00","--","--","59371.00","74722.00","--","134093.00","57526.00","--","1845.00","131409.00","--","2684.00","1.15"
"114/10/29","111","1","1584","精剛","332586.00","282387.00","--","--","50199.00","--","--","50199.00","23172.00","--","27027.00","6054.00","33081.00","504.00","32577.00","--","--","32577.00","7313.00","--","39890.00","--","--","--","--","--","--","0.27"
"114/10/29","111","1","1586","和勤","724048.00","605464.00","--","--","118584.00","--","--","118584.00","95770.00","--","22814.00","6900.00","29714.00","3363.00","26351.00","--","--","26351.00","53128.00","--","79479.00","26351.00","--","--","79479.00","--","0.00","0.32"
"114/10/29","111","1","1591","駿吉-KY","178263.00","130239.00","--","--","48024.00","--","--","48024.00","13916.00","--","34108.00","884.00","34992.00","9121.00","25871.00","--","--","25871.00","11613.00","--","37484.00","25871.00","--","0.00","37484.00","--","0.00","0.80"
