出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/13","113","4","2880","華南金","26228121.00","40550670.00","66778791.00","3656196.00","535597.00","33431223.00","29155775.00","6023000.00","23132775.00","--","23132775.00","5774127.00","28906902.00","23132593.00","--","182.00","28906645.00","--","257.00","1.68"
"114/11/13","113","4","2881","富邦金","181744840.00","165718655.00","347463495.00","12926807.00","68382783.00","93846014.00","172307891.00","21446852.00","150861039.00","--","150861039.00","33389868.00","184250907.00","150820135.00","--","40904.00","184300033.00","--","-49126.00","10.77"
"114/11/13","113","4","2882","國泰金","262121947.00","95594970.00","357716917.00","9279241.00","114344275.00","107250646.00","126842755.00","16625802.00","110216953.00","1009965.00","111226918.00","25876732.00","137103650.00","110269745.00","--","957173.00","131792634.00","--","5311016.00","7.29"
"114/11/13","113","4","2883","凱基金","74907797.00","-1619028.00","73288769.00","1463952.00","-5806041.00","36751974.00","40878884.00","7323901.00","33554983.00","--","33554983.00","19552307.00","53107290.00","33552462.00","--","2521.00","53100925.00","--","6365.00","1.97"
"114/11/13","113","4","2884","玉山金","33997447.00","42147098.00","76144545.00","4146556.00","--","39738650.00","32259339.00","6110615.00","26148724.00","--","26148724.00","9245853.00","35394577.00","26127505.00","--","21219.00","35372202.00","--","22375.00","1.63"
"114/11/13","113","4","2885","元大金","33122767.00","87576915.00","120699682.00","2174270.00","12605146.00","60168145.00","45752121.00","7439717.00","38312404.00","--","38312404.00","4582855.00","42895259.00","35829914.00","--","2482490.00","41179720.00","--","1715539.00","2.77"
"114/11/13","113","4","2886","兆豐金","36793927.00","46691204.00","83485131.00","7692005.00","453908.00","36247405.00","39091813.00","4325927.00","34765886.00","--","34765886.00","4621808.00","39387694.00","34765886.00","0.00","0.00","39387694.00","0.00","0.00","2.35"
"114/11/13","113","4","2887","台新新光金","34926704.00","51681546.00","86608250.00","1194596.00","24814519.00","36943010.00","23656125.00","3591125.00","20065000.00","--","20065000.00","1787431.00","21852431.00","20064396.00","--","604.00","21851775.00","--","656.00","1.39"
"114/11/13","113","4","2889","國票金","1434135.00","6773252.00","8207387.00","172971.00","--","4555135.00","3479281.00","676911.00","2802370.00","--","2802370.00","677590.00","3479960.00","2171129.00","--","631241.00","2350487.00","--","1129473.00","0.61"
"114/11/13","113","4","2890","永豐金","25791706.00","38631669.00","64423375.00","4570873.00","--","32557936.00","27294566.00","5065587.00","22228979.00","--","22228979.00","4100343.00","26329322.00","22228979.00","--","0.00","26329322.00","--","0.00","1.75"
"114/11/13","113","4","2891","中信金","133369772.00","56039801.00","189409573.00","12114994.00","-3487216.00","92692080.00","88089715.00","14725655.00","73364060.00","--","73364060.00","7747426.00","81111486.00","72028449.00","--","1335611.00","77972273.00","--","3139213.00","3.64"
"114/11/13","113","4","2892","第一金","31234313.00","40885162.00","72119475.00","5763335.00","2613608.00","32504823.00","31237709.00","5878259.00","25359450.00","--","25359450.00","5659154.00","31018604.00","25359450.00","--","--","31018604.00","--","--","1.81"
"114/11/13","113","4","5880","合庫金","30173537.00","35650155.00","65823692.00","5750254.00","3368758.00","31725419.00","24979261.00","5170000.00","19809261.00","--","19809261.00","4664760.00","24474021.00","19219939.00","--","589322.00","24182865.00","--","291156.00","1.26"
