出表日期,年度,季別,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/03/28","114","4","2855","統一證","13541305.00","9961188.00","3580117.00","1739918.00","5320035.00","494257.00","4825778.00","--","--","4825778.00","818729.00","--","5644507.00","4804426.00","--","21352.00","5615187.00","--","29320.00","3.00"
"115/03/28","114","4","6005","群益證","19230991.00","14810845.00","4420146.00","2997221.00","7417367.00","1091244.00","6326123.00","--","--","6326123.00","755620.00","--","7081743.00","5735934.00","--","590189.00","6504208.00","--","577535.00","2.64"
"115/03/28","114","4","6024","群益期","2903056.00","3086943.00","-183887.00","1814312.00","1630425.00","299904.00","1330521.00","--","--","1330521.00","-27980.00","--","1302541.00","1330911.00","--","-390.00","1302912.00","--","-371.00","5.48"
.00","-22906020.00","32015307.00","--","199349.00","-22567344.00","--","-338676.00","2.18"
"115/03/28","114","1","2883","凱基金","19332189.00","7807884.00","27140073.00","294983.00","7535962.00","8958068.00","10351060.00","1644382.00","8706678.00","--","8706678.00","-16649299.00","-7942621.00","8706307.00","--","371.00","-7944986.00","--","2365.00","0.52"
"115/03/28","114","1","2884","玉山金","9227335.00","12211572.00","21438907.00","353866.00","--","10355628.00","10729413.00","1919406.00","8810007.00","--","8810007.00","767435.00","9577442.00","8809484.00","--","523.00","9576869.00","--","573.00","0.55"
"115/03/28","114","1","2885","元大金","9205994.00","22019586.00","31225580.00","502816.00","6095645.00","14560804.00","10066315.00","1865551.00","8200764.00","--","8200764.00","984018.00","9184782.00","7638340.00","--","562424.00","8529651.00","--","655131.00","0.59"
"115/03/28","114","1","2886","兆豐金","9533604.00","9328638.00","18862242.00","388261.00","23894.00","8776367.00","9673720.00","1662928.00","8010792.00","--","8010792.00","4022572.00","12033364.00","8010792.00","--","0.00","12033364.00","--","0.00","0.54"
"115/03/28","114","1","2887","台新新光金","9331132.00","15432102.00","24763234.00","769433.00","8914215.00","9337846.00","5741740.00","1009317.00","4732423.00","--","4732423.00","-3808650.00","923773.00","4732707.00","--","-284.00","924057.00","--","-284.00","0.33"
"115/03/28","114","1","2889","國票金","422612.00","1292490.00","1715102.00","31066.00","--","1003633.00","680403.00","207682.00","472721.00","--","472721.00","46498.00","519219.00","401795.00","--","70926.00","609654.00","--","-90435.00","0.11"
"115/03/28","114","1","2890","永豐金","8473458.00","10186247.00","18659705.00","888411.00","--","9177713.00","8593581.00","1331335.00","7262246.00","--","7262246.00","896860.00","8159106.00","7201742.00","--","60504.00","8084956.00","--","74150.00","0.57"
"115/03/28","114","1","2891","中信金","35517239.00","25934586.00","61451825.00","3562733.00","8923749.00","24393901.00","24571442.00","4242399.00","20329043.00","--","20329043.00","-6716581.00","13612462.00","19908299.00","--","420744.00","12423538.00","--","1188924.00","1.02"
"115/03/28","114","1","2892","第一金","7960202.00","10314345.00","18274547.00","71006.00","1100256.00","8216899.00","8886386.00","1680615.00","7205771.00","--","7205771.00","1523921.00","8729692.00","7205771.00","--","--","8729692.00","--","--","0.51"
"115/03/28","114","1","5880","合庫金","8288190.00","9119417.00","17407607.00","668354.00","2622564.00","7747769.00","6368920.00","1377688.00","4991232.00","--","4991232.00","-28485.00","4962747.00","4934624.00","--","56608.00","4959514.00","--","3233.00","0.32"
