出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險其他營業成本,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/08/31","115","1","2880","華南金","7844963.00","10882474.00","18727437.00","532769.00","-19920.00","8886602.00","9327986.00","1664716.00","7663270.00","--","7663270.00","-569207.00","7094063.00","7663213.00","--","57.00","7093978.00","--","85.00","0.55"
"115/08/31","115","1","2881","富邦金","55117949.00","11075297.00","66193246.00","3423002.00","6922527.00","17222856.00","38624861.00","5062760.00","33562101.00","--","33562101.00","89166636.00","122728737.00","33551455.00","--","10646.00","122526534.00","--","202203.00","2.40"
"115/08/31","115","1","2882","國泰金","76415488.00","-3877435.00","72538053.00","2144227.00","13366691.00","18635397.00","38391738.00","6735806.00","31655932.00","--","31655932.00","104526822.00","136182754.00","31593811.00","--","62121.00","136051274.00","--","131480.00","2.15"
"115/08/31","115","1","2883","凱基金","21099662.00","2465851.00","23565513.00","-31306.00","124833.00","10372371.00","13099615.00","1407592.00","11692023.00","--","11692023.00","27592302.00","39284325.00","11689699.00","--","2324.00","39279408.00","--","4917.00","0.69"
"115/08/31","115","1","2884","玉山金","11865143.00","13304278.00","25169421.00","1006751.00","--","11455963.00","12706707.00","2639201.00","10067506.00","--","10067506.00","1340426.00","11407932.00","10056957.00","--","10549.00","11397335.00","--","10597.00","0.62"
"115/08/31","115","1","2885","元大金","11256497.00","28728437.00","39984934.00","691371.00","-2007589.00","22577299.00","18723853.00","3129395.00","15594458.00","--","15594458.00","3679286.00","19273744.00","14409154.00","--","1185304.00","18889159.00","--","384585.00","1.08"
"115/08/31","115","1","2886","兆豐金","10111366.00","10657076.00","20768442.00","413832.00","9550.00","9125466.00","11219594.00","1822242.00","9397352.00","--","9397352.00","502924.00","9900276.00","9397352.00","--","--","9900276.00","--","--","0.63"
"115/08/31","115","1","2887","台新新光金","42542838.00","5324618.00","47867456.00","1597271.00","2771663.00","17909768.00","25588754.00","4532177.00","21056577.00","--","21056577.00","36934756.00","57991333.00","21040510.00","--","16067.00","57976164.00","--","15169.00","0.82"
"115/08/31","115","1","2889","國票金","510235.00","2160382.00","2670617.00","60641.00","--","1291010.00","1318966.00","191865.00","1127101.00","--","1127101.00","-462708.00","664393.00","897373.00","--","229728.00","407919.00","--","256474.00","0.25"
"115/08/31","115","1","2890","永豐金","11931484.00","14267833.00","26199317.00","1456225.00","--","11570601.00","13172491.00","2157069.00","11015422.00","1155.00","11016577.00","-997568.00","10019009.00","10973530.00","--","43047.00","9931307.00","--","87702.00","0.76"
"115/08/31","115","1","2891","中信金","41556941.00","18302543.00","59859484.00","3310133.00","2429818.00","25820174.00","28299359.00","4691107.00","23608252.00","--","23608252.00","35260425.00","58868677.00","23103564.00","--","504688.00","59722104.00","--","-853427.00","1.18"
"115/08/31","115","1","2892","第一金","9664412.00","9632261.00","19296673.00","898516.00","186968.00","8175431.00","10035758.00","1792064.00","8243694.00","--","8243694.00","524194.00","8767888.00","8243694.00","--","--","8767888.00","--","--","0.57"
"115/08/31","115","1","5880","合庫金","9166334.00","6966750.00","16133084.00","1165653.00","-46612.00","7769661.00","7244382.00","1432147.00","5812235.00","--","5812235.00","-1842234.00","3970001.00","5589587.00","--","222648.00","3846885.00","--","123116.00","0.36"
