出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/09/04","115","2","2801","彰銀","15221502.00","10607584.00","1490700.00","11225331.00","13113055.00","1798702.00","11314353.00","--","--","11314353.00","7471507.00","--","18785860.00","11314353.00","--","--","18785860.00","--","--","0.94"
"115/09/04","115","2","2812","台中銀","6858846.00","4970619.00","586803.00","4987480.00","6255182.00","986315.00","5268867.00","--","--","5268867.00","1382714.00","--","6651581.00","5268867.00","--","--","6651581.00","--","--","0.87"
"115/09/04","115","2","2820","華票","665492.00","1574308.00","109644.00","382526.00","1747630.00","311434.00","1436196.00","--","--","1436196.00","-186633.00","--","1249563.00","--","--","--","--","--","--","1.07"
"115/09/04","115","2","2834","臺企銀","11191590.00","7318636.00","853738.00","8717537.00","8938951.00","1529383.00","7409568.00","--","--","7409568.00","3134183.00","--","10543751.00","7409568.00","--","--","10543751.00","--","--","0.71"
"115/09/04","115","2","2836","高雄銀","1869873.00","808632.00","269115.00","1500814.00","908576.00","158367.00","750209.00","--","--","750209.00","1274787.00","--","2024996.00","--","--","--","--","--","--","0.39"
"115/09/04","115","2","2838","聯邦銀","5249178.00","6735537.00","1387674.00","6383877.00","4213164.00","601115.00","3612049.00","--","--","3612049.00","771068.00","--","4383117.00","3618157.00","--","-6108.00","4389220.00","--","-6103.00","0.67"
"115/09/04","115","2","2845","遠東銀","3708812.00","3570206.00","124733.00","4213382.00","2940903.00","309956.00","2630947.00","--","--","2630947.00","1763331.00","--","4394278.00","2630947.00","--","--","4394278.00","--","--","0.54"
"115/09/04","115","2","2849","安泰銀","1885857.00","1448567.00","203187.00","1919765.00","1211472.00","151985.00","1059487.00","0.00","--","1059487.00","-90042.00","--","969445.00","--","--","--","--","--","--","0.54"
"115/09/04","115","2","2897","王道銀行","1695791.00","4758621.00","448265.00","2769034.00","3237113.00","567787.00","2669326.00","--","--","2669326.00","851609.00","--","3520935.00","1625874.00","--","1043452.00","2603818.00","--","917117.00","0.54"
"115/09/04","115","2","5876","上海商銀","18352870.00","9075754.00","2181537.00","10171190.00","15075897.00","2367464.00","12708433.00","--","--","12708433.00","7014982.00","--","19723415.00","10165383.00","--","2543050.00","17880817.00","--","1842598.00","2.08"
