股票代號,股票名稱,收盤價,收盤日,配股方式,近一年股利,近一年股利值利率,115現金股利,114現金股利,113現金股利,112現金股利,111現金股利,110現金股利,109現金股利,108現金股利,107現金股利,115殖利率,114殖利率,113殖利率,112殖利率,111殖利率,110殖利率,109殖利率,108殖利率,107殖利率,115ROE,114ROE,113ROE,112ROE,111ROE,110ROE,109ROE,108ROE,107ROE,115EPS_年度,114EPS_年度,113EPS_年度,112EPS_年度,111EPS_年度,110EPS_年度,109EPS_年度,108EPS_年度,107EPS_年度,近3年平均股息,近5年平均股息,近8年平均股息,近3年平均殖利率,近5年平均殖利率,近8年平均殖利率,近3年平均ROE,近5年平均ROE,近8年平均ROE,近3年平均配息率,近5年平均配息率,近8年平均配息率,114Q4_EPS,114Q3_EPS,114Q2_EPS,114Q1_EPS,113Q4_EPS,113Q3_EPS,113Q2_EPS,113Q1_EPS,114Q4_vs_113Q4_EPS差率,114Q3_vs_113Q3_EPS差率,114Q2_vs_113Q2_EPS差率,114Q1_vs_113Q1_EPS差率,近四季EPS總合,近四季_vs_前年度_EPS差率
1101,台泥,24.45,2026-04-24,年配,0.8,3.27,,0.8,1.0,1.0,0.5,1.0,3.5,2.5,3.3,,3.27,4.09,4.09,2.04,4.09,14.31,10.22,13.5,,-3.95,5.56,4.07,1.79,9.54,13.1,12.54,12.94,,-1.6,1.45,1.06,0.74,3.3,4.32,4.43,4.37,0.93,0.86,1.7,3.82,3.52,6.95,1.89,3.4,6.95,37.77,42.24,53.02,-1.6,-1.28,0.07,0.07,1.45,0.93,0.51,0.26,-210.34,-237.63,-86.27,-73.08,-1.6,-210.34
1101B,台泥乙特,45.6,2026-04-24,年配,2.03,4.45,,2.02625,2.02625,1.76362329,1.75,1.75,1.75,1.75,0.09109589,,4.44,4.44,3.87,3.84,3.84,3.84,3.84,0.2,,,,,,,,,,,,,,,,,,,1.94,1.86,1.61,4.25,4.09,3.54,,,,,,,,,,,,,,,,,,,,
1102,亞泥,35.9,2026-04-24,季配,2.3,6.41,,2.3,2.2,2.1,2.3,3.4,3.55,3.0,2.8,,6.41,6.13,5.85,6.41,9.47,9.89,8.36,7.8,,5.0,6.38,5.89,6.91,10.01,11.07,13.54,9.77,,3.0,3.86,3.28,3.63,4.7,4.7,5.56,3.54,2.2,2.46,2.71,6.13,6.85,7.54,5.76,6.84,8.57,65.89,66.68,67.75,3.0,2.42,1.28,0.41,3.86,2.72,2.16,0.89,-22.28,-11.03,-40.74,-53.93,3.0,-22.28
1103,嘉泥,13.55,2026-04-24,年配,0.55,4.06,,0.55,0.55,0.5,0.3,0.65,1.4,1.0,1.0,,4.06,4.06,3.69,2.21,4.8,10.33,7.38,7.38,,2.81,1.53,0.43,-0.73,2.94,7.55,6.32,3.83,,0.84,0.48,0.12,-0.28,1.02,2.74,2.02,1.09,0.53,0.51,0.74,3.94,3.76,5.49,1.59,1.4,3.08,198.91,110.66,93.21,0.84,0.73,-0.32,0.13,0.48,0.79,0.05,-0.06,75.0,-7.59,-740.0,316.67,0.84,75.0
1104,環泥,28.6,2026-04-24,年配,1.85,6.47,,1.85,1.7,1.8,1.5,1.0,1.1,1.0,1.0,,6.47,5.94,6.29,5.24,3.5,3.85,3.5,3.5,,7.29,6.49,10.62,10.67,5.84,6.83,6.35,6.01,,2.56,2.16,3.13,3.12,1.66,1.91,1.74,1.62,1.78,1.57,1.37,6.23,5.49,4.79,8.13,8.18,7.51,69.49,63.36,61.7,2.56,1.8,0.98,0.42,2.16,1.61,0.92,0.37,18.52,11.8,6.52,13.51,2.56,18.52
1108,幸福,14.55,2026-04-24,半年配,1.0,6.87,,1.0,0.75,1.0,0.8,0.6,0.7,0.15,,,6.87,5.15,6.87,5.5,4.12,4.81,1.03,,,16.1,9.63,10.57,12.17,5.64,8.74,1.07,-4.66,,2.18,1.22,1.3,1.44,0.65,0.97,0.11,-0.44,0.92,0.83,0.71,6.3,5.7,4.91,12.1,10.82,7.41,61.42,66.43,77.24,2.18,2.02,1.72,0.32,1.22,0.9,0.63,0.3,78.69,124.44,173.02,6.67,2.18,78.69
1109,信大,15.4,2026-04-24,年配,0.9,5.84,,0.9,0.9,1.2,0.8,1.5,1.5,1.1,0.8,,5.84,5.84,7.79,5.19,9.74,9.74,7.14,5.19,,3.73,5.19,8.22,5.31,12.51,15.95,17.87,17.31,,1.03,1.38,2.01,1.17,2.52,2.94,2.82,2.38,1.0,1.06,1.09,6.49,6.88,7.06,5.71,6.99,10.76,70.77,68.04,57.98,1.03,0.8,0.49,0.25,1.38,1.08,0.9,0.35,-25.36,-25.93,-45.56,-28.57,1.03,-25.36
1110,東泥,14.95,2026-04-24,年配,0.3,2.01,,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.1,,2.01,2.01,1.34,0.67,1.34,0.67,0.67,0.67,,2.38,4.06,1.76,1.24,1.55,0.2,0.39,0.77,,0.36,0.61,0.26,0.26,0.25,0.04,0.06,0.12,0.27,0.22,0.18,1.79,1.47,1.17,2.73,2.2,1.54,69.81,65.58,103.49,0.36,0.29,0.07,0.08,0.61,0.5,0.15,0.05,-40.98,-42.0,-53.33,60.0,0.36,-40.98
1201,味全,12.9,2026-04-24,年配,0.21,1.63,,0.21,0.5,0.266,0.238,0.501,0.53,1.3339,0.8,,1.63,3.88,2.06,1.84,3.88,4.11,10.34,6.2,,2.65,5.91,3.71,3.38,7.3,7.77,20.55,12.41,,0.4,0.87,0.53,0.47,1.0,1.06,2.67,1.94,0.33,0.34,0.55,2.52,2.66,4.24,4.09,4.59,7.96,53.39,52.18,50.26,0.4,0.43,0.27,0.22,0.87,0.74,0.46,0.26,-54.02,-41.89,-41.3,-15.38,0.4,-54.02
1203,味王,44.1,2026-04-24,年配,1.0,2.27,,1.0,1.2,1.1,1.1,1.1,1.1,1.0,1.0,,2.27,2.72,2.49,2.49,2.49,2.49,2.27,2.27,,9.42,12.37,9.86,13.87,11.1,11.08,11.86,12.26,,1.81,2.36,1.8,2.63,1.88,1.81,1.92,1.82,1.1,1.1,1.08,2.49,2.49,2.44,10.55,11.32,11.48,55.74,53.51,54.42,1.81,1.28,0.64,0.58,2.36,1.58,1.14,0.64,-23.31,-18.99,-43.86,-9.38,1.81,-23.31
