出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,合併前非屬共同控制股權損益,本期淨利（淨損）,合併前非屬共同控制股權綜合損益淨額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,繼續營業單位稅前淨利（淨損）,其他綜合損益,利息以外淨損益,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益
114/10/28,110,4,2880,華南金,28000367.00,23072171.00,51072538.00,2749701.00,692380.00,28093730.00,19536727.00,2330406.00,17206321.00,--,17206321.00,-2497076.00,14709245.00,17206199.00,--,122.00,14709075.00,--,170.00,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2881,富邦金,143471653.00,342360524.00,485832177.00,4587597.00,243782313.00,71872868.00,165589399.00,18354467.00,147234932.00,--,147234932.00,18561610.00,165796542.00,144559046.00,--,2675886.00,165196199.00,--,600343.00,12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2882,國泰金,194882161.00,431080444.00,625962605.00,3484370.00,377408390.00,85543474.00,159526371.00,18637061.00,140889310.00,--,140889310.00,-94275862.00,46613448.00,139514082.00,--,1375228.00,45166120.00,--,1447328.00,10.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2883,凱基金,65652263.00,126625907.00,192278170.00,186398.00,104875754.00,35016319.00,52199699.00,5100224.00,47099475.00,--,47099475.00,-32944620.00,14154855.00,35043431.00,--,12056044.00,16764244.00,--,-2609389.00,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2884,玉山金,25984324.00,31913116.00,57897440.00,2129603.00,--,31808398.00,23959439.00,3373936.00,20585503.00,--,20585503.00,-642507.00,19942996.00,20558988.00,--,26515.00,19916428.00,--,26568.00,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2885,元大金,29973751.00,89266752.00,119240503.00,534256.00,21301277.00,53263626.00,44141344.00,6950633.00,37190711.00,--,37190711.00,-6141800.00,31048911.00,34865957.00,--,2324754.00,30263795.00,--,785116.00,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2886,兆豐金,32468345.00,27762501.00,60230846.00,1904434.00,64520.00,29605479.00,28656413.00,2925343.00,25731070.00,--,25731070.00,-2433425.00,23297645.00,25731070.00,0.00,0.00,23297645.00,0.00,0.00,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2887,台新新光金,24360390.00,39403708.00,63764098.00,546413.00,11762052.00,28300132.00,23155501.00,2856788.00,20298713.00,--,20298713.00,-491932.00,19806781.00,20311808.00,--,-13095.00,19819890.00,--,-13109.00,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2889,國票金,2689313.00,7474554.00,10163867.00,151088.00,--,4517024.00,5495755.00,890705.00,4605050.00,--,4605050.00,-1165141.00,3439909.00,3883865.00,--,721185.00,2502467.00,--,937442.00,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2890,永豐金,22119957.00,23583285.00,45703242.00,2226883.00,--,24827129.00,18649230.00,2438225.00,16211005.00,--,16211005.00,-1387147.00,14823858.00,16211005.00,--,0.00,14823858.00,--,0.00,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
