出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,保留盈餘,歸屬於母公司業主之權益合計,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益,<html>
114/10/28,110,1,5864,致和證,5337291.00,1505804.00,6843095.00,2680087.00,62876.00,2742963.00,2374904.00,--,119608.00,1542167.00,63453.00,--,--,--,--,--,4100132.00,0.00,0.00,0.00,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,6015,宏遠證,12887749.00,1093875.00,13981624.00,9593856.00,77964.00,9671820.00,3308168.00,--,312359.00,618295.00,70982.00,0.00,4309804.00,--,--,--,4309804.00,0.00,0.00,0.00,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,6016,康和證,31218445.00,5416700.00,36635145.00,27439771.00,522668.00,27962439.00,5944550.00,--,175307.00,2033103.00,463521.00,0.00,8616481.00,--,--,56225.00,8672706.00,0.00,0.00,0.00,14.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,6020,大展證,6676563.00,790781.00,7467344.00,3030828.00,8680.00,3039508.00,2523532.00,--,461.00,1789155.00,114214.00,--,4427362.00,--,--,474.00,4427836.00,0.00,0.00,0.00,17.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,6021,美好證,14467236.00,1215704.00,15682940.00,9206674.00,811183.00,10017857.00,3097559.00,--,42157.00,1622028.00,903339.00,--,5665083.00,--,--,--,5665083.00,--,0.00,0.00,18.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,6023,元大期貨,100760303.00,3380740.00,104141043.00,91598729.00,233494.00,91832223.00,2899763.00,--,3070484.00,4935834.00,1402739.00,--,12308820.00,--,--,--,12308820.00,0.00,0.00,0.00,42.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,6026,福邦證,6106386.00,1005211.00,7111597.00,3091899.00,84455.00,3176354.00,2485541.00,--,14831.00,1014229.00,31854.00,--,3546455.00,--,--,388788.00,3935243.00,0.00,469000.00,0.00,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,5864,致和證,6690528.00,1706814.00,8397342.00,3621705.00,50469.00,3672174.00,2517398.00,--,119609.00,1815957.00,272204.00,--,--,--,--,--,4725168.00,0.00,0.00,0.00,18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,6015,宏遠證,15253011.00,1242124.00,16495135.00,10340111.00,826386.00,11166497.00,3313694.00,--,359443.00,1537273.00,118228.00,0.00,5328638.00,--,--,--,5328638.00,0.00,0.00,0.00,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,6016,康和證,33503764.00,5885084.00,39388848.00,29632811.00,826057.00,30458868.00,5944550.00,--,175320.00,2291877.00,463248.00,0.00,8874995.00,--,--,54985.00,8929980.00,0.00,0.00,0.00,14.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,6020,大展證,6880515.00,899720.00,7780235.00,2856665.00,5881.00,2862546.00,2523532.00,--,461.00,2168858.00,224367.00,--,4917218.00,--,--,471.00,4917689.00,0.00,0.00,0.00,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,6021,美好證,15133727.00,1289697.00,16423424.00,9686734.00,1146386.00,10833120.00,3098559.00,--,30845.00,1782797.00,678103.00,--,5590304.00,--,--,--,5590304.00,0.00,0.00,0.00,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,6023,元大期貨,94260758.00,3718974.00,97979732.00,83923548.00,1706286.00,85629834.00,2899763.00,--,3070484.00,4763738.00,1615913.00,--,12349898.00,--,--,--,12349898.00,0.00,0.00,0.00,42.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,6026,福邦證,12776213.00,945303.00,13721516.00,8137177.00,67678.00,8204855.00,3001349.00,--,147066.00,1923868.00,70816.00,--,5143099.00,--,--,373562.00,5516661.00,--,0.00,0.00,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,1409,新纖,131442733.00,64588854.00,196031587.00,129634890.00,20078809.00,149713699.00,16184093.00,--,1946797.00,,4124832.00,-29834.00,,--,,10229333.00,,--,0.00,,22.36,13862667.00,36088555.00,46317888.00,4680487.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,1718,中纖,604324432.00,196813823.00,801138255.00,704776403.00,24585824.00,729362227.00,16862097.00,0.00,1656687.00,,807582.00,-1136802.00,,0.00,,48448944.00,,--,0.00,,17.39,5137520.00,23327084.00,71776028.00,344529645.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2207,和泰車,249589847.00,100022937.00,349612784.00,228560880.00,26585939.00,255146819.00,5461792.00,--,2807477.00,,3248943.00,--,,--,,20695114.00,,0.00,0.00,,135.07,62252639.00,73770851.00,94465965.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,4,2905,三商,193126751.00,1233919752.00,1427046503.00,15524240.00,1364296471.00,1379820711.00,9133620.00,0.00,2455481.00,,-4375416.00,-488279.00,,0.00,,27504955.00,,0.00,255335.00,,22.79,12995431.00,19720837.00,47225792.00,48173000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,2816,旺旺保,,,19133506.00,,,13052697.00,2236080.00,,0.00,,80555.00,--,,--,--,--,6080809.00,--,0.00,,27.19,3764174.00,--,,0.00,2581936.00,966668.00,302.00,--,--,9072411.00,4468158.00,1156258.00,21681.00,137144.00,--,728948.00,--,--,1330222.00,25748.00,--,--,--,--,--,--,21656.00,11342585.00,--,--,199958.00,63920.00,68608.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,2832,台產,,,21845092.00,,,12381082.00,3622004.00,,98962.00,,326130.00,--,,--,--,--,9464010.00,--,0.00,,26.13,5416914.00,--,,0.00,4711142.00,1432050.00,920.00,--,--,12343378.00,2015629.00,462909.00,42815.00,10537.00,60462.00,765250.00,--,--,1757336.00,38918.00,--,--,--,--,--,--,67025.00,10102000.00,--,--,81286.00,264150.00,70367.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,2850,新產,,,41524491.00,,,27625540.00,3159633.00,,64800.00,,1500048.00,0.00,,--,--,--,13898951.00,0.00,0.00,,43.99,9174470.00,--,,0.00,10849810.00,1831499.00,0.00,--,--,18546859.00,8163083.00,1075461.00,33650.00,16458.00,234679.00,772992.00,--,--,2692815.00,239602.00,--,11992.00,--,--,--,--,34201.00,24368077.00,--,--,125826.00,27361.00,125666.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,2851,中再保,,,45663345.00,,,31489869.00,5903888.00,,300000.00,,552369.00,--,,--,--,--,14173476.00,0.00,0.00,,24.01,7417219.00,--,,0.00,17487211.00,222060.00,--,--,--,18280238.00,7528107.00,205679.00,1685.00,4438.00,164812.00,1769115.00,--,--,592190.00,228979.00,--,23628.00,--,--,--,--,1688.00,30492457.00,--,--,660.00,71905.00,78362.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,2852,第一保,,,16379172.00,,,9471059.00,3011638.00,,0.00,,337762.00,--,,--,--,--,6908113.00,--,0.00,,22.94,3558713.00,--,,0.00,1822508.00,605815.00,--,--,--,10320919.00,2247961.00,660946.00,4804.00,49306.00,42917.00,623996.00,--,--,646113.00,7499.00,--,--,--,--,--,--,4855.00,8485631.00,--,--,133576.00,93224.00,100161.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,2867,三商壽,,,1367506073.00,,,1324583220.00,25019715.00,,1563582.00,,-6971267.00,--,,--,--,--,42922853.00,--,0.00,,17.16,23310823.00,--,,0.00,130364014.00,10101586.00,143341.00,--,--,1080615048.00,1345590.00,8373428.00,317172.00,100534.00,4863360.00,9612050.00,121669950.00,--,6555401.00,874652.00,--,6367372.00,--,7500000.00,--,--,319739.00,1178419536.00,--,821509.00,1096829.00,402753.00,555479.00,121669950.00,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,1,1409,新纖,119985775.00,58589019.00,178574794.00,120120693.00,17262729.00,137383422.00,16184093.00,--,1951710.00,,2211377.00,-29834.00,,0.00,,10515560.00,,0.00,0.00,,19.01,10358466.00,30675812.00,41191372.00,4680487.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
