出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,合併前非屬共同控制股權損益,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,本期淨利（淨損）,營業收入,營業成本,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,收入,支出,其他綜合損益
114/10/28,111,1,2880,華南金,7630585.00,4843678.00,12474263.00,389251.00,691309.00,6833053.00,4560650.00,866363.00,3694287.00,--,3694287.00,-6280940.00,-2586653.00,3694267.00,--,20.00,-2586689.00,--,36.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2881,富邦金,38912740.00,95182319.00,134095059.00,1054355.00,58681432.00,16801854.00,57557418.00,10576794.00,46980624.00,--,46980624.00,-136659384.00,-89678760.00,46477062.00,--,503562.00,-87667526.00,--,-2011234.00,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2882,國泰金,50042435.00,82034447.00,132076882.00,47565.00,71020633.00,21200251.00,39808433.00,5433150.00,34375283.00,--,34375283.00,-181104992.00,-146729709.00,34206762.00,--,168521.00,-147190984.00,--,461275.00,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2883,凱基金,16499699.00,25157033.00,41656732.00,-104719.00,22548567.00,7607996.00,11604888.00,1924701.00,9680187.00,--,9680187.00,-40361734.00,-30681547.00,9673661.00,--,6526.00,-30693594.00,--,12047.00,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2884,玉山金,7383914.00,6167073.00,13550987.00,344264.00,--,7867436.00,5339287.00,1012481.00,4326806.00,--,4326806.00,-2870318.00,1456488.00,4325267.00,--,1539.00,1454791.00,--,1697.00,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2885,元大金,7712078.00,18107471.00,25819549.00,-45770.00,6205256.00,11388306.00,8271757.00,1623662.00,6648095.00,--,6648095.00,-7794791.00,-1146696.00,6166106.00,--,481989.00,-1787212.00,--,640516.00,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2886,兆豐金,8493119.00,5762101.00,14255220.00,304491.00,57313.00,7216243.00,6677173.00,631069.00,6046104.00,--,6046104.00,-6673873.00,-627769.00,6046104.00,--,0.00,-627769.00,--,0.00,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2887,台新新光金,6718128.00,9892913.00,16611041.00,556783.00,6060527.00,7058926.00,2934805.00,793660.00,2141145.00,--,2141145.00,474686.00,2615831.00,2143825.00,--,-2680.00,2618511.00,--,-2680.00,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2889,國票金,644822.00,937389.00,1582211.00,-3093.00,--,940533.00,644771.00,129165.00,515606.00,--,515606.00,-1967939.00,-1452333.00,405728.00,--,109878.00,-1455563.00,--,3230.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2890,永豐金,5887943.00,6622137.00,12510080.00,774230.00,--,6477690.00,5258160.00,849200.00,4408960.00,--,4408960.00,-3867405.00,541555.00,4408960.00,--,0.00,541555.00,--,0.00,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
