出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,<html>
114/10/28,111,1,2880,華南金,-7641686.00,-178881.00,1706233.00,1401356.00,-4712978.00,168056396.00,163343418.00,
114/10/28,111,1,2881,富邦金,60422374.00,-7238095.00,-3336892.00,3499282.00,53346669.00,503419124.00,556765793.00,
114/10/28,111,1,2882,國泰金,-108918761.00,-35235054.00,-173622.00,-1260584.00,-145588021.00,692041687.00,546453666.00,
114/10/28,111,1,2883,凱基金,-25045905.00,-42906741.00,5689369.00,200497.00,-62062780.00,230064311.00,168001531.00,
114/10/28,111,1,2884,玉山金,5519208.00,-4224013.00,5366298.00,-9410453.00,-2748960.00,104712225.00,101963265.00,
114/10/28,111,1,2885,元大金,-50154216.00,461522.00,11311015.00,2846983.00,-35534696.00,167631719.00,132097023.00,
114/10/28,111,1,2886,兆豐金,23851739.00,-408041.00,-14915697.00,1086306.00,9614307.00,408584597.00,418198904.00,
114/10/28,111,1,2887,台新新光金,550696.00,-304543.00,-4624865.00,62306.00,-4316406.00,65445130.00,61128724.00,
114/10/28,111,1,2889,國票金,3083202.00,-796786.00,-1489179.00,59860.00,857097.00,2277539.00,3134636.00,
114/10/28,111,1,2890,永豐金,-80330365.00,-296055.00,7109489.00,803600.00,-72713331.00,253520365.00,180807034.00,
114/10/28,111,1,2891,中信金,-78349316.00,-1137428.00,57768281.00,1348988.00,-20369475.00,428490846.00,408121371.00,
114/10/28,111,1,2892,第一金,-13023484.00,-1522991.00,17821883.00,2747806.00,6023214.00,325110504.00,331133718.00,
114/10/28,111,1,5880,合庫金,-24701747.00,-518307.00,-38561619.00,-4909924.00,-68691597.00,204390245.00,135698648.00,
114/10/28,111,2,2880,華南金,1948062.00,-893802.00,-37498958.00,2213791.00,-34230907.00,168056396.00,133825489.00,
114/10/28,111,2,2881,富邦金,38751702.00,-23682971.00,-27420771.00,4992632.00,-7359408.00,503419124.00,496059716.00,
114/10/28,111,2,2882,國泰金,-181668392.00,-59575912.00,-8637299.00,555928.00,-249325675.00,692041687.00,442716012.00,
114/10/28,111,2,2883,凱基金,-3148189.00,-79901227.00,7006186.00,365213.00,-75678017.00,230064311.00,154386294.00,
114/10/28,111,2,2884,玉山金,15960583.00,-7841100.00,-5478167.00,-9016113.00,-6374797.00,104712225.00,98337428.00,
114/10/28,111,2,2885,元大金,-48665901.00,213186.00,12909372.00,3814060.00,-31729283.00,167631719.00,135902436.00,
114/10/28,111,2,2886,兆豐金,48147692.00,-1156873.00,-14378876.00,1582443.00,34194386.00,408584597.00,442778983.00,
114/10/28,111,2,2887,台新新光金,-4163740.00,-627160.00,-19361080.00,40002.00,-24111978.00,65445130.00,41333152.00,
114/10/28,111,2,2889,國票金,8902718.00,-739816.00,-6489211.00,60850.00,1734541.00,2277539.00,4012080.00,
114/10/28,111,2,2890,永豐金,-41018009.00,-605872.00,-704542.00,1061738.00,-41266685.00,253520365.00,212253680.00,
114/10/28,111,2,2891,中信金,22691882.00,-3468730.00,44902728.00,-1372210.00,62753670.00,428490846.00,491244516.00,
114/10/28,111,2,2892,第一金,-35914536.00,-2240980.00,-24466506.00,4696209.00,-57925813.00,325110504.00,267184691.00,
114/10/28,111,2,5880,合庫金,46017468.00,-1169126.00,-106731433.00,-6396178.00,-68279269.00,204390245.00,136110976.00,
114/10/28,111,3,2855,統一證,2173393.00,-793817.00,-705521.00,7231.00,681286.00,5757012.00,6438298.00,
114/10/28,111,3,6005,群益證,4080743.00,-567865.00,-2227500.00,544197.00,1829575.00,9807123.00,11636698.00,
114/10/28,111,3,6024,群益期,558777.00,14100.00,-365317.00,118671.00,326231.00,5248044.00,5574275.00,
114/10/28,111,3,2801,彰銀,-53683791.00,-1174591.00,25279380.00,3440464.00,-26138538.00,194506675.00,168368137.00,
114/10/28,111,3,2812,台中銀,6747110.00,-778058.00,-3602475.00,75992.00,2442569.00,47367088.00,49809657.00,
114/10/28,111,3,2820,華票,-5082789.00,-3193.00,5651560.00,--,565578.00,554598.00,1120176.00,
