出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
114/10/28,112,2,2880,華南金,-46953963.00,-2402421.00,1088462.00,-54176.00,-48322098.00,186822057.00,138499959.00
114/10/28,112,2,2881,富邦金,-233982745.00,-7512061.00,41708092.00,-440026.00,-200226740.00,573733858.00,373507118.00
114/10/28,112,2,2882,國泰金,148412028.00,4039944.00,-4193360.00,1960699.00,150219311.00,620603407.00,770822718.00
114/10/28,112,2,2883,凱基金,-49253307.00,-839137.00,16688682.00,-39778.00,-33443540.00,200161850.00,166718310.00
114/10/28,112,2,2884,玉山金,-7288015.00,-3949760.00,11641229.00,1198033.00,1601487.00,115750099.00,117351586.00
114/10/28,112,2,2885,元大金,-90659900.00,-1595457.00,70478644.00,-403499.00,-22180212.00,206929363.00,184749151.00
114/10/28,112,2,2886,兆豐金,-32493754.00,-589618.00,6621845.00,571613.00,-25889914.00,435380396.00,409490482.00
114/10/28,112,2,2887,台新新光金,-30347947.00,-947988.00,20189316.00,-26826.00,-11133445.00,80598219.00,69464774.00
114/10/28,112,2,2889,國票金,-13385119.00,-123479.00,12840168.00,-29999.00,-698429.00,3739285.00,3040856.00
114/10/28,112,2,2890,永豐金,-112054779.00,-628784.00,34674804.00,-246613.00,-78255372.00,326689284.00,248433912.00
114/10/28,112,2,2891,中信金,-64016378.00,-4878872.00,56506856.00,-2556894.00,-14945288.00,522661164.00,507715876.00
114/10/28,112,2,2892,第一金,-54950129.00,545526.00,8988912.00,160319.00,-45255372.00,311099856.00,265844484.00
114/10/28,112,2,5880,合庫金,-53781921.00,-670019.00,6340507.00,-866355.00,-48977788.00,140044317.00,91066529.00
114/10/28,112,2,1101,台泥,13390966.00,-37388280.00,-11765441.00,-341211.00,-36103966.00,88842494.00,52738528.00
114/10/28,112,2,1102,亞泥,-4658994.00,-4059538.00,3945235.00,-683283.00,-5456580.00,43486332.00,38029752.00
114/10/28,112,2,1103,嘉泥,-43791.00,-2026702.00,22564.00,-64493.00,-2112422.00,4463396.00,2350974.00
114/10/28,112,2,1104,環泥,536023.00,27396.00,-485720.00,--,77699.00,784464.00,862163.00
114/10/28,112,2,1108,幸福,365621.00,-120183.00,-275890.00,-956.00,-31408.00,269974.00,238566.00
114/10/28,112,2,1109,信大,109192.00,163071.00,-112746.00,-43614.00,115903.00,2767084.00,2882987.00
114/10/28,112,2,1110,東泥,166821.00,-498922.00,307146.00,--,-24955.00,296374.00,271419.00
114/10/28,112,2,1201,味全,499115.00,-460919.00,1272316.00,34655.00,1345167.00,964499.00,2309666.00
114/10/28,112,2,1203,味王,401527.00,-137551.00,-267365.00,-16715.00,-20104.00,1288739.00,1268635.00
114/10/28,112,2,1210,大成,4609612.00,-2120602.00,-2047823.00,97130.00,538317.00,5145691.00,5684008.00
114/10/28,112,2,1213,大飲,11987.00,-2918.00,-9728.00,-38.00,-697.00,8683.00,7986.00
114/10/28,112,2,1215,卜蜂,2463145.00,-971374.00,-1536975.00,790.00,-44414.00,311085.00,266671.00
114/10/28,112,2,1216,統一,22777607.00,-37929646.00,18083053.00,887541.00,3818555.00,96986253.00,100804808.00
114/10/28,112,2,1217,愛之味,-146314.00,-74405.00,23398.00,23058.00,-174263.00,616521.00,442258.00
114/10/28,112,2,1218,泰山,-598101.00,-3755417.00,-1047429.00,-18520.00,-5419467.00,8504412.00,3084945.00
114/10/28,112,2,1219,福壽,520077.00,-171220.00,-318554.00,-3785.00,26518.00,1080690.00,1107208.00
114/10/28,112,2,1220,台榮,294959.00,-15626.00,-148001.00,--,131332.00,152402.00,283734.00
114/10/28,112,2,1225,福懋油,863660.00,-37106.00,-770536.00,834.00,56852.00,1022951.00,1079803.00
114/10/28,112,2,1227,佳格,-676008.00,-1055055.00,363561.00,-24417.00,-1391919.00,4348255.00,2956336.00
114/10/28,112,2,1229,聯華,967076.00,-60185.00,193793.00,26110.00,1126794.00,2914046.00,4040840.00
114/10/28,112,2,1231,聯華食,456694.00,-795199.00,524645.00,-2437.00,183703.00,315115.00,498818.00
114/10/28,112,2,1232,大統益,1056178.00,-101279.00,-89552.00,--,865347.00,981106.00,1846453.00
114/10/28,112,2,1233,天仁,148968.00,-19406.00,-78870.00,994.00,51686.00,200226.00,251912.00
114/10/28,112,2,1234,黑松,604126.00,-139029.00,-160066.00,-7484.00,297547.00,976892.00,1274439.00
114/10/28,112,2,1235,興泰,-27486.00,-261843.00,285318.00,--,-4011.00,8858.00,4847.00
114/10/28,112,2,1236,宏亞,128889.00,26023.00,63669.00,-28.00,218553.00,68219.00,286772.00
114/10/28,112,2,1256,鮮活果汁-KY,332987.00,-668660.00,41249.00,-41456.00,-335880.00,1156885.00,821005.00
114/10/28,112,2,1301,台塑,-3976866.00,-5658059.00,4187757.00,-452874.00,-5900042.00,17110163.00,11210121.00
114/10/28,112,2,1303,南亞,16044665.00,-14450222.00,-508476.00,-1169774.00,-83807.00,89444513.00,89360706.00
114/10/28,112,2,1304,台聚,953792.00,-1467314.00,688087.00,-35816.00,138749.00,11498415.00,11637164.00
114/10/28,112,2,1305,華夏,513884.00,-561455.00,1020265.00,-2400.00,970294.00,1276545.00,2246839.00
114/10/28,112,2,1307,三芳,877038.00,-188172.00,-302876.00,34025.00,420015.00,4830365.00,5250380.00
114/10/28,112,2,1308,亞聚,-65764.00,-193934.00,-29555.00,-1842.00,-291095.00,1481970.00,1190875.00
114/10/28,112,2,1309,台達化,-130050.00,-265054.00,37474.00,-34442.00,-392072.00,2662088.00,2270016.00
114/10/28,112,2,1310,台苯,-495853.00,-29534.00,266723.00,642.00,-258022.00,765147.00,507125.00
114/10/28,112,2,1312,國喬,-263367.00,-912384.00,940278.00,-155686.00,-391159.00,6279477.00,5888318.00
114/10/28,112,2,1313,聯成,125199.00,-740938.00,339494.00,-183682.00,-459927.00,4244635.00,3784708.00
114/10/28,112,2,1314,中石化,-3148122.00,-928407.00,3924067.00,15265.00,-137197.00,6824456.00,6687259.00
114/10/28,112,2,1315,達新,208740.00,661568.00,-381676.00,-13045.00,475587.00,2019589.00,2495176.00
114/10/28,112,2,1316,上曜,-416198.00,255420.00,122257.00,100.00,-38421.00,763148.00,724727.00
114/10/28,112,2,1319,東陽,2859068.00,-1199830.00,-542848.00,34198.00,1150588.00,2344300.00,3494888.00
114/10/28,112,2,1321,大洋,-176395.00,-94540.00,539056.00,-14164.00,253957.00,471820.00,725777.00
114/10/28,112,2,1323,永裕,217119.00,-146040.00,-36461.00,-22239.00,12379.00,1241321.00,1253700.00
114/10/28,112,2,1324,地球,14288.00,-466.00,-936.00,-1824.00,11062.00,262709.00,273771.00
114/10/28,112,2,1325,恆大,55327.00,41004.00,-15728.00,-3474.00,77129.00,1013789.00,1090918.00
114/10/28,112,2,1326,台化,-1926760.00,-10118957.00,2451279.00,-384966.00,-9979404.00,33002871.00,23023467.00
114/10/28,112,2,1337,再生-KY,-101692.00,-90495.00,--,-30414.00,-222601.00,1195479.00,972878.00
114/10/28,112,2,1338,廣華-KY,383666.00,-311106.00,207137.00,-37127.00,242570.00,2151723.00,2394293.00
114/10/28,112,2,1339,昭輝,358839.00,-646410.00,-202235.00,-14698.00,-504504.00,1036374.00,531870.00
114/10/28,112,2,1340,勝悅-KY,-180602.00,-250719.00,19062.00,-63363.00,-475622.00,1120989.00,645367.00
114/10/28,112,2,1341,富林-KY,280463.00,-143144.00,-214235.00,-2017.00,-78933.00,361451.00,282518.00
114/10/28,112,2,1342,八貫,278591.00,-84717.00,-327232.00,--,-133358.00,700684.00,567326.00
114/10/28,112,2,1402,遠東新,19408568.00,-11144209.00,-41405597.00,-721118.00,-33862356.00,47244499.00,13382143.00
114/10/28,112,2,1410,南染,6126.00,-39638.00,1534.00,--,-31978.00,531642.00,499664.00
114/10/28,112,2,1413,宏洲,-138584.00,-10148.00,134236.00,--,-14496.00,71700.00,57204.00
114/10/28,112,2,1414,東和,-48798.00,-81419.00,106950.00,--,-23267.00,202677.00,179410.00
114/10/28,112,2,1416,廣豐,70680.00,-103015.00,-7042.00,-2965.00,-42342.00,311144.00,268802.00
114/10/28,112,2,1417,嘉裕,373236.00,-23342.00,-242520.00,-26329.00,81045.00,941946.00,1022991.00
114/10/28,112,2,1418,東華,-55263.00,-35183.00,449089.00,--,358643.00,447724.00,806367.00
114/10/28,112,2,1419,新紡,-119585.00,475718.00,21350.00,-167.00,377316.00,889783.00,1267099.00
114/10/28,112,2,1423,利華,83528.00,-171195.00,183.00,--,-87484.00,550269.00,462785.00
114/10/28,112,2,1432,大魯閣,126641.00,-249468.00,49697.00,1233.00,-71897.00,493208.00,421311.00
114/10/28,112,2,1434,福懋,1812444.00,-262723.00,-1399207.00,-31498.00,119016.00,5216541.00,5335557.00
114/10/28,112,2,1435,中福,22438.00,161968.00,-7332.00,--,177074.00,34555.00,211629.00
114/10/28,112,2,1436,華友聯,-1177043.00,-19461.00,974445.00,--,-222059.00,906914.00,684855.00
114/10/28,112,2,1437,勤益控,151669.00,-60949.00,-108963.00,-3945.00,-22188.00,870299.00,848111.00
114/10/28,112,2,1438,三地開發,-341702.00,18110.00,207325.00,--,-116267.00,408059.00,291792.00
114/10/28,112,2,1439,雋揚,79428.00,46255.00,61344.00,--,187027.00,521760.00,708787.00
114/10/28,112,2,1440,南紡,-416532.00,-971623.00,75889.00,120798.00,-1191468.00,6218881.00,5027413.00
114/10/28,112,2,1441,大東,-54649.00,67374.00,-133922.00,3976.00,-117221.00,212398.00,95177.00
114/10/28,112,2,1442,名軒,163033.00,4801.00,42219.00,--,210053.00,160404.00,370457.00
114/10/28,112,2,1443,立益物流,92861.00,-258300.00,49088.00,80609.00,-35742.00,132941.00,97199.00
