出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益─具證券性質之虛擬通貨,保留盈餘,歸屬於母公司業主之權益合計,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,其他資產,分離帳戶保險商品資產,短期債務,本期所得稅負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債
114/10/28,112,3,5864,致和證,5420428.00,1609634.00,7030062.00,2109861.00,29408.00,2139269.00,2721811.00,--,55566.00,1914420.00,198996.00,--,--,--,--,--,4890793.00,0.00,0.00,0.00,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,6015,宏遠證,12362284.00,1650791.00,14013075.00,9084839.00,235820.00,9320659.00,3512516.00,--,355468.00,694374.00,130058.00,--,4692416.00,--,--,--,4692416.00,0.00,0.00,0.00,13.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,6016,康和證,32550148.00,6523259.00,39073407.00,28917901.00,1240766.00,30158667.00,5944550.00,--,175331.00,2319573.00,416457.00,--,8855911.00,--,--,58829.00,8914740.00,0.00,0.00,0.00,14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,6020,大展證,6031265.00,1107938.00,7139203.00,2586574.00,2788.00,2589362.00,2523532.00,--,461.00,1602102.00,423291.00,--,4549386.00,--,--,455.00,4549841.00,0.00,0.00,0.00,18.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,6021,美好證,12420174.00,1343722.00,13763896.00,7293557.00,1092494.00,8386051.00,3121409.00,--,43509.00,1861293.00,351634.00,--,5377845.00,--,--,--,5377845.00,0.00,0.00,0.00,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,6023,元大期貨,101861709.00,3999040.00,105860749.00,90053352.00,1659298.00,91712650.00,2899763.00,--,3070484.00,6130308.00,2047544.00,--,14148099.00,--,--,--,14148099.00,0.00,0.00,0.00,48.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,6026,福邦證,12468660.00,677100.00,13145760.00,7442724.00,42525.00,7485249.00,3961619.00,--,153055.00,1220724.00,161668.00,--,5497066.00,--,--,163445.00,5660511.00,--,0.00,0.00,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,1,2855,統一證,104236030.00,9559066.00,113795096.00,83249335.00,104321.00,83353656.00,14558313.00,--,91261.00,14243303.00,1458437.00,--,30351314.00,--,--,90126.00,30441440.00,0.00,0.00,0.00,20.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,1,6005,群益證,183367022.00,22172192.00,205539214.00,163220378.00,2020153.00,165240531.00,21709081.00,--,2743256.00,11036754.00,1761152.00,--,37250243.00,--,--,3048440.00,40298683.00,--,0.00,0.00,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,1,6024,群益期,48610212.00,563203.00,49173415.00,42102195.00,53508.00,42155703.00,2104376.00,--,1663251.00,3285499.00,-37799.00,--,7015327.00,--,--,2385.00,7017712.00,0.00,0.00,0.00,33.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
