出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業費用,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益
114/10/28,113,4,2816,旺旺保,11016347.00,7219117.00,2358520.00,1438710.00,26749.00,1465459.00,243936.00,1221523.00,--,--,1221523.00,-7194.00,--,1214329.00,--,--,--,--,--,--,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2832,台產,7340275.00,4452504.00,1507226.00,1380545.00,-1315.00,1379230.00,216901.00,1162329.00,--,--,1162329.00,397966.00,--,1560295.00,--,--,--,--,--,--,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2850,新產,20853743.00,12942922.00,3908079.00,4002742.00,5876.00,4008618.00,699338.00,3309280.00,--,--,3309280.00,-15418.00,--,3293862.00,--,--,--,--,--,--,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2851,中再保,22886773.00,19321860.00,608681.00,2956232.00,8510.00,2964742.00,449565.00,2515177.00,--,--,2515177.00,454486.00,--,2969663.00,--,--,--,--,--,--,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2852,第一保,7799051.00,5110644.00,1607909.00,1080498.00,-873.00,1079625.00,176328.00,903297.00,--,--,903297.00,5773.00,--,909070.00,--,--,--,--,--,--,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2867,三商壽,136846587.00,131847943.00,4995218.00,3426.00,-282967.00,-279541.00,-2454914.00,2175373.00,--,--,2175373.00,-4673365.00,--,-2497992.00,--,--,--,--,--,--,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2880,華南金,,,33431223.00,,,,,,--,,,,,28906902.00,23132593.00,--,182.00,28906645.00,--,257.00,1.68,26228121.00,40550670.00,66778791.00,3656196.00,535597.00,29155775.00,6023000.00,23132775.00,23132775.00,5774127.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2881,富邦金,,,93846014.00,,,,,,--,,,,,184250907.00,150820135.00,--,40904.00,184300033.00,--,-49126.00,10.77,181744840.00,165718655.00,347463495.00,12926807.00,68382783.00,172307891.00,21446852.00,150861039.00,150861039.00,33389868.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2882,國泰金,,,107250646.00,,,,,,1009965.00,,,,,137103650.00,110269745.00,--,957173.00,131792634.00,--,5311016.00,7.29,262121947.00,95594970.00,357716917.00,9279241.00,114344275.00,126842755.00,16625802.00,110216953.00,111226918.00,25876732.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2883,凱基金,,,36751974.00,,,,,,--,,,,,53107290.00,33552462.00,--,2521.00,53100925.00,--,6365.00,1.97,74907797.00,-1619028.00,73288769.00,1463952.00,-5806041.00,40878884.00,7323901.00,33554983.00,33554983.00,19552307.00,,,,,,,,,,,,,,,,,,,,,,,,
