出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,保留盈餘,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,權益總額,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,113,1,2855,統一證,171107548.00,9612105.00,180719653.00,146440655.00,236744.00,146677399.00,14558313.00,--,91261.00,17691262.00,1605111.00,--,33945947.00,--,--,96307.00,34042254.00,0.00,0.00,0.00,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,6005,群益證,269472593.00,24163865.00,293636458.00,247027371.00,1728275.00,248755646.00,21709081.00,--,2743256.00,14560855.00,2611358.00,--,41624550.00,--,--,3256262.00,44880812.00,--,0.00,0.00,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,1,6024,群益期,55208505.00,888964.00,56097469.00,48516936.00,85885.00,48602821.00,2104376.00,--,1663251.00,3685410.00,37925.00,--,7490962.00,--,--,3686.00,7494648.00,0.00,0.00,0.00,35.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2816,旺旺保,,,23230597.00,,,15915621.00,2236080.00,,0.00,,-48424.00,--,,--,--,--,7314976.00,--,0.00,,32.71,3132839.00,653103.00,11911.00,--,--,11861336.00,5327368.00,1486826.00,13211.00,213969.00,--,530034.00,--,--,1463821.00,180909.00,--,--,--,--,--,--,13351.00,14097745.00,--,--,69727.00,63920.00,26148.00,--,--,5127320.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2832,台產,,,24909836.00,,,12637789.00,3622004.00,,98964.00,,523618.00,--,,--,--,--,12272047.00,--,0.00,,33.88,3778443.00,740961.00,--,--,--,16323176.00,2908234.00,354882.00,41768.00,10588.00,16851.00,734933.00,--,--,1263281.00,86088.00,--,--,--,--,--,--,44598.00,10825005.00,--,--,40229.00,289256.00,89332.00,--,--,8027461.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2850,新產,,,54607964.00,,,35371891.00,3159633.00,,64839.00,,776506.00,0.00,,--,--,--,19236073.00,0.00,0.00,,60.88,14896632.00,2250214.00,0.00,--,--,25007698.00,10123560.00,1166795.00,32633.00,25970.00,183187.00,921275.00,--,--,3688499.00,364300.00,--,108915.00,--,--,--,--,33155.00,30725011.00,--,--,19367.00,96661.00,335983.00,--,--,15235095.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2851,中再保,,,57853650.00,,,36950222.00,8003888.00,,1560000.00,,717314.00,--,,--,--,--,20903428.00,0.00,0.00,,26.12,11701505.00,743512.00,13117.00,--,--,36205294.00,6298100.00,281703.00,801.00,10394.00,82233.00,2516991.00,--,--,1333363.00,182686.00,--,406235.00,--,--,--,--,824.00,34508361.00,--,--,--,463566.00,55187.00,--,--,10622226.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2852,第一保,,,19706605.00,,,11010219.00,3011638.00,,0.00,,232628.00,--,,--,--,--,8696386.00,--,0.00,,28.88,2293568.00,312502.00,--,--,--,13175046.00,2723633.00,612125.00,2946.00,21141.00,13285.00,552359.00,--,--,690452.00,87818.00,--,--,--,--,--,--,2984.00,10016064.00,--,--,0.00,99591.00,113310.00,--,--,5452120.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2867,三商壽,,,1625142670.00,,,1583715893.00,56995011.00,,31876.00,,-5954170.00,--,,--,--,--,41426777.00,--,0.00,,7.27,29137616.00,11464430.00,834795.00,--,--,1264830243.00,3713228.00,10060612.00,621174.00,144194.00,28951795.00,63871328.00,211513255.00,--,9249549.00,--,--,13954361.00,--,11000000.00,--,--,628251.00,1308510764.00,--,12284671.00,308219.00,15498271.00,768552.00,211513255.00,--,-9645940.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,1409,新纖,146262124.00,68029821.00,214291945.00,135661949.00,29003386.00,164665335.00,16184093.00,--,2165692.00,,4903427.00,-29834.00,,--,,11542470.00,,--,0.00,,23.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14860762.00,38084140.00,4680487.00,49626610.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,1718,中纖,745922400.00,250658203.00,996580603.00,883413218.00,29109861.00,912523079.00,16859057.00,--,1712237.00,,1221655.00,-1135056.00,,--,,62766246.00,,--,0.00,,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633385.00,21291278.00,344225645.00,84057524.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2207,和泰車,370575705.00,139983867.00,510559572.00,361071093.00,35366483.00,396437576.00,5571028.00,--,2871305.00,,6694406.00,--,,--,,35838179.00,,0.00,0.00,,140.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63147078.00,78283817.00,0.00,114121996.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2905,三商,125547721.00,1532253813.00,1657801534.00,20473141.00,1587149068.00,1607622209.00,11224957.00,0.00,4456229.00,,-3327357.00,-592930.00,,0.00,,33518844.00,,0.00,0.00,,15.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4899582.00,16660481.00,57093000.00,50179325.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
