出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益
114/10/28,114,3,3169,亞信,712668.00,334427.00,--,--,378241.00,--,--,378241.00,176442.00,--,201799.00,8719.00,210518.00,34867.00,175651.00,--,--,175651.00,-13080.00,--,162571.00,175651.00,--,--,162571.00,--,--,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,3265,台星科,3397416.00,2500776.00,--,--,896640.00,--,--,896640.00,217422.00,--,679218.00,-64165.00,615053.00,107248.00,507805.00,--,--,507805.00,-213596.00,--,294209.00,507805.00,--,--,294209.00,--,--,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,5508,永信建,1756150.00,963655.00,--,--,792495.00,--,--,792495.00,165001.00,--,627494.00,-14024.00,613470.00,122592.00,490878.00,--,--,490878.00,--,--,490878.00,490878.00,--,--,490878.00,--,--,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,5902,德記,1781497.00,1354988.00,--,--,426509.00,--,--,426509.00,224114.00,--,202395.00,9322.00,211717.00,43016.00,168701.00,--,--,168701.00,-76.00,--,168625.00,168701.00,--,--,168625.00,--,--,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,5904,寶雅,18741127.00,10427065.00,--,--,8314062.00,--,--,8314062.00,5618015.00,--,2696047.00,31873.00,2727920.00,540946.00,2186974.00,--,--,2186974.00,--,--,2186974.00,--,--,--,--,--,--,20.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,6762,達亞,534270.00,379949.00,--,--,154321.00,--,--,154321.00,102082.00,--,52239.00,-24441.00,27798.00,3959.00,23839.00,--,--,23839.00,--,--,23839.00,--,--,--,--,--,--,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,7782,光速火箭,519660.00,161900.00,--,--,357760.00,--,--,357760.00,313573.00,--,44187.00,-4844.00,39343.00,8217.00,31126.00,--,--,31126.00,--,--,31126.00,31325.00,--,-199.00,31325.00,--,-199.00,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2816,旺旺保,2483707.00,1785727.00,,,,,,,609283.00,,88697.00,14311.00,,72497.00,,--,--,30511.00,,--,65860.00,--,--,--,--,--,--,0.14,103008.00,30511.00,35349.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2832,台產,1864053.00,1027646.00,,,,,,,410773.00,,425634.00,-1316.00,,83592.00,,--,--,340726.00,,--,282825.00,--,--,--,--,--,--,0.94,424318.00,340726.00,-57901.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2850,新產,5176334.00,3320269.00,,,,,,,977672.00,,878393.00,1152.00,,167571.00,,--,--,711974.00,,--,353383.00,--,--,--,--,--,--,2.25,879545.00,711974.00,-358591.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2851,中再保,5792588.00,4873636.00,,,,,,,146431.00,,772521.00,22.00,,146019.00,,--,--,626524.00,,--,-8765.00,--,--,--,--,--,--,0.78,772543.00,626524.00,-635289.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2852,第一保,1863130.00,1177410.00,,,,,,,368094.00,,317626.00,62.00,,64287.00,,--,--,253401.00,,--,318283.00,--,--,--,--,--,--,0.84,317688.00,253401.00,64882.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2867,三商壽,32806783.00,31594568.00,,,,,,,1201462.00,,10753.00,-23294.00,,-200131.00,,--,--,187590.00,,--,-4596179.00,--,--,--,--,--,--,0.03,-12541.00,187590.00,-4783769.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,5864,致和證,,,,,,,,,,,,,-482486.00,10181.00,-492667.00,--,--,-492667.00,,--,-496853.00,,--,,--,--,--,-1.17,,,,-426732.00,66969.00,-493701.00,11215.00,-4186.00,--,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6015,宏遠證,,,,,,,,,,,,,-85695.00,8001.00,-93696.00,--,--,-93696.00,,--,-97566.00,,--,,-97566.00,--,--,-0.24,,,,175995.00,308549.00,-132554.00,46859.00,-3870.00,-93696.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6016,康和證,,,,,,,,,,,,,-357952.00,46322.00,-404274.00,--,--,-404274.00,,--,-308151.00,,--,,-309696.00,--,1545.00,-0.65,,,,159689.00,597039.00,-437350.00,79398.00,96123.00,-405468.00,1194.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6020,大展證,,,,,,,,,,,,,-40313.00,1373.00,-41686.00,--,--,-41686.00,,--,-99666.00,,--,,-99666.00,--,0.00,-0.17,,,,-5901.00,44217.00,-50118.00,9805.00,-57980.00,-41686.00,0.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6021,美好證,,,,,,,,,,,,,-377897.00,-3853.00,-374044.00,--,--,-374044.00,,--,-535021.00,,--,,-535021.00,--,--,-1.22,,,,-147280.00,253772.00,-401052.00,23155.00,-160977.00,-374044.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6023,元大期貨,,,,,,,,,,,,,770328.00,152866.00,617462.00,--,--,617462.00,,--,579883.00,,--,,579883.00,--,--,2.08,,,,893373.00,1172859.00,-279486.00,1049814.00,-37579.00,617462.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6026,福邦證,,,,,,,,,,,,,57893.00,21341.00,36552.00,--,--,36552.00,,--,52820.00,,--,,52820.00,--,--,0.09,,,,185680.00,150902.00,34778.00,23115.00,16268.00,36552.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,2855,統一證,,,,,,,,,,,,,50497.00,113379.00,-62882.00,--,--,-62882.00,,--,35791.00,,--,,29412.00,--,6379.00,-0.05,,,,1728323.00,1991190.00,-262867.00,313364.00,98673.00,-67237.00,4355.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6005,群益證,,,,,,,,,,,,,1188089.00,191093.00,996996.00,--,--,996996.00,,--,1118034.00,,--,,979553.00,--,138481.00,0.40,,,,3988568.00,3414764.00,573804.00,614285.00,121038.00,874656.00,122340.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6024,群益期,,,,,,,,,,,,,345906.00,66163.00,279743.00,--,--,279743.00,,--,316321.00,,--,,316318.00,--,3.00,1.26,,,,704890.00,757603.00,-52713.00,398619.00,36578.00,279830.00,-87.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,2801,彰銀,,,,,,,,,5175409.00,,,,,960337.00,,--,--,,,--,,,,,4558243.00,--,--,0.37,,,,,,,,,4134766.00,--,6372921.00,4368294.00,470703.00,5095103.00,4134766.00,4134766.00,423477.00,4558243.00,--,,,,,,,,
114/10/28,114,1,2812,台中銀,,,,,,,,,2218234.00,,,,,440420.00,,--,--,,,--,,,,,2168569.00,--,--,0.39,,,,,,,,,2174483.00,--,3225670.00,1790634.00,183167.00,2614903.00,2174483.00,2174483.00,-5914.00,2168569.00,--,,,,,,,,
114/10/28,114,1,2820,華票,,,,,,,,,126518.00,,,,,98231.00,,--,--,,,--,,,,,--,--,--,0.30,,,,,,,,,--,--,170019.00,417145.00,-34127.00,494773.00,396542.00,396542.00,292497.00,689039.00,--,,,,,,,,
114/10/28,114,1,2834,臺企銀,,,,,,,,,4044329.00,,,,,821692.00,,--,--,,,--,,,,,2487635.00,0.00,0.00,0.32,,,,,,,,,2935375.00,0.00,4844708.00,3744977.00,788289.00,3757067.00,2935375.00,2935375.00,-447740.00,2487635.00,0.00,,,,,,,,
114/10/28,114,1,2836,高雄銀,,,,,,,,,717285.00,,,,,90119.00,,--,--,,,--,,,,,--,--,--,0.15,,,,,,,,,--,--,833492.00,329990.00,90213.00,355984.00,265865.00,265865.00,387042.00,652907.00,--,,,,,,,,
114/10/28,114,1,2838,聯邦銀,,,,,,,,,3054859.00,,,,,301926.00,,--,--,,,--,,,,,3499545.00,--,-22936.00,0.30,,,,,,,,,1206352.00,-22953.00,2222604.00,2460033.00,142453.00,1485325.00,1183399.00,1183399.00,2293210.00,3476609.00,--,,,,,,,,
114/10/28,114,1,2845,遠東銀,,,,,,,,,1925633.00,,,,,118029.00,,--,--,,,--,,,,,1151235.00,--,--,0.26,,,,,,,,,1107361.00,--,1564193.00,1626049.00,39219.00,1225390.00,1107361.00,1107361.00,43874.00,1151235.00,--,,,,,,,,
114/10/28,114,1,2849,安泰銀,,,,,,,,,857708.00,,,,,61622.00,,0.00,--,,,--,,,,,--,--,--,0.19,,,,,,,,,--,--,718105.00,648247.00,83754.00,424890.00,363268.00,363268.00,397465.00,760733.00,--,,,,,,,,
114/10/28,114,1,2897,王道銀行,,,,,,,,,1222755.00,,,,,265121.00,,--,--,,,--,,,,,955128.00,--,512253.00,0.19,,,,,,,,,537095.00,291497.00,577379.00,1773586.00,34497.00,1093713.00,828592.00,828592.00,638789.00,1467381.00,--,,,,,,,,
114/10/28,114,1,5876,上海商銀,,,,,,,,,5291052.00,,,,,1125333.00,,--,--,,,--,,,,,5873619.00,--,3047739.00,0.96,,,,,,,,,4667070.00,1233518.00,9576282.00,4248836.00,1508145.00,7025921.00,5900588.00,5900588.00,3020770.00,8921358.00,--,,,,,,,,
114/10/28,114,2,5864,致和證,,,,,,,,,,,,,-184024.00,11592.00,-195616.00,--,--,-195616.00,,--,-229942.00,,--,,--,--,--,-0.43,,,,-79817.00,129504.00,-209321.00,25297.00,-34326.00,--,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6015,宏遠證,,,,,,,,,,,,,-99412.00,6088.00,-105500.00,--,--,-105500.00,,--,-109682.00,,--,,-109682.00,--,--,-0.27,,,,422620.00,615215.00,-192595.00,93183.00,-4182.00,-105500.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6016,康和證,,,,,,,,,,,,,-253884.00,55559.00,-309443.00,--,--,-309443.00,,--,-112121.00,,--,,-114829.00,--,2708.00,-0.45,,,,784938.00,1174192.00,-389254.00,135370.00,197322.00,-311061.00,1618.00,,,,,,,,,,,,,,,,,
114/10/28,114,2,6020,大展證,,,,,,,,,,,,,-19158.00,-2312.00,-16846.00,--,--,-16846.00,,--,-20433.00,,--,,-20433.00,--,0.00,-0.07,,,,35793.00,93712.00,-57919.00,38761.00,-3587.00,-16846.00,0.00,,,,,,,,,,,,,,,,,
114/10/28,114,2,6021,美好證,,,,,,,,,,,,,-203652.00,-29640.00,-174012.00,--,--,-174012.00,,--,-455437.00,,--,,-455437.00,--,--,-0.57,,,,263359.00,518417.00,-255058.00,51406.00,-281425.00,-174012.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6023,元大期貨,,,,,,,,,,,,,1584946.00,282746.00,1302200.00,--,--,1302200.00,,--,1138321.00,,--,,1138321.00,--,--,4.22,,,,1799750.00,2345293.00,-545543.00,2130489.00,-163879.00,1302200.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6026,福邦證,,,,,,,,,,,,,40949.00,25549.00,15400.00,--,--,15400.00,,--,32222.00,,--,,32222.00,--,0.00,0.04,,,,304947.00,289616.00,15331.00,25618.00,16822.00,15400.00,0.00,,,,,,,,,,,,,,,,,
114/10/28,114,2,1409,新纖,,,,,,,,,,,,,,79933.00,498945.00,--,,498945.00,,,59004.00,288663.00,--,210282.00,-112475.00,--,171479.00,0.18,,,,,,,,,,,,,,578878.00,,,,,,20103421.00,19524543.00,-439941.00,,,,,
114/10/28,114,2,1718,中纖,,,,,,,,,,,,,,854057.00,3058255.00,--,,3058255.00,,,3317414.00,-56948.00,--,3115203.00,43047.00,--,3274367.00,-0.04,,,,,,,,,,,,,,3912312.00,,,,,,23021270.00,19108958.00,259159.00,,,,,
114/10/28,114,2,2207,和泰車,,,,,,,,,,,,,,2623609.00,9923928.00,--,,9923928.00,,,5636951.00,8264307.00,--,1659621.00,4390916.00,--,1246035.00,14.83,,,,,,,,,,,,,,12547537.00,,,,,,141095374.00,128547837.00,-4286977.00,,,,,
114/10/28,114,2,2905,三商,,,,,,,,,,,,,,-939.00,-324194.00,--,,-324194.00,,,-10144926.00,-64512.00,--,-259682.00,-3652902.00,--,-6492024.00,-0.06,,,,,,,,,,,,,,-325133.00,,,,,,96960709.00,97285842.00,-9820732.00,,,,,
