出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","2","1240","茂生農經","1636960.00","1489489.00","348.00","22061.00","169880.00","--","--","169880.00","127127.00","--","42753.00","-6406.00","36347.00","13465.00","22882.00","--","--","22882.00","-15510.00","--","7372.00","35325.00","--","-12443.00","19815.00","--","-12443.00","0.92"
"114/10/28","111","2","1259","安心","2745832.00","2054212.00","--","--","691620.00","--","--","691620.00","646256.00","--","45364.00","-9651.00","35713.00","5086.00","30627.00","--","--","30627.00","-98486.00","--","-67859.00","36776.00","--","-6149.00","-62412.00","--","-5447.00","1.14"
"114/10/28","111","2","1264","德麥","2448990.00","1574241.00","--","--","874749.00","--","--","874749.00","413607.00","--","461142.00","2785.00","463927.00","107446.00","356481.00","--","--","356481.00","42031.00","--","398512.00","315047.00","--","41434.00","341603.00","--","56909.00","8.50"
"114/10/28","111","2","1268","漢來美食","1574218.00","966963.00","--","--","607255.00","--","--","607255.00","711494.00","--","-104239.00","26343.00","-77896.00","-18349.00","-59547.00","--","--","-59547.00","-117996.00","--","-177543.00","-59547.00","--","--","-177543.00","--","--","-1.41"
"114/10/28","111","2","1294","漢田生技","110071.00","67648.00","--","--","42423.00","--","--","42423.00","30980.00","--","11443.00","232.00","11675.00","2571.00","9104.00","--","--","9104.00","--","--","9104.00","10279.00","--","-1175.00","10279.00","--","-1175.00","0.71"
"114/10/28","111","2","1336","台翰","1150500.00","958588.00","--","--","191912.00","--","--","191912.00","92636.00","--","99276.00","14374.00","113650.00","42827.00","70823.00","--","--","70823.00","22497.00","--","93320.00","70823.00","--","--","93320.00","--","--","0.92"
"114/10/28","111","2","1565","精華","2571002.00","1815476.00","--","--","755526.00","--","--","755526.00","194603.00","--","560923.00","119271.00","680194.00","141808.00","538386.00","--","--","538386.00","6381.00","--","544767.00","538386.00","--","--","544767.00","--","--","10.68"
"114/10/28","111","2","1569","濱川","2843016.00","2270803.00","--","--","572213.00","--","--","572213.00","322707.00","--","249506.00","103447.00","352953.00","63363.00","289590.00","--","--","289590.00","83675.00","--","373265.00","286671.00","--","2919.00","368572.00","--","4693.00","2.36"
"114/10/28","111","2","1570","力肯","324989.00","235201.00","--","--","89788.00","--","--","89788.00","35899.00","--","53889.00","18122.00","72011.00","17522.00","54489.00","--","--","54489.00","-9311.00","--","45178.00","54489.00","--","0.00","45178.00","--","0.00","1.06"
"114/10/28","111","2","1580","新麥","1840929.00","1200744.00","--","--","640185.00","--","--","640185.00","417845.00","--","222340.00","48745.00","271085.00","88177.00","182908.00","--","--","182908.00","53588.00","--","236496.00","178641.00","--","4267.00","231165.00","--","5331.00","3.56"
"114/10/28","111","2","1584","精剛","748448.00","628282.00","--","--","120166.00","--","--","120166.00","49476.00","--","70690.00","6246.00","76936.00","187.00","76749.00","--","--","76749.00","1174.00","--","77923.00","--","--","--","--","--","--","0.63"
"114/10/28","111","2","1586","和勤","1345541.00","1118909.00","--","--","226632.00","--","--","226632.00","189485.00","--","37147.00","24701.00","61848.00","510.00","61338.00","--","--","61338.00","31288.00","--","92626.00","61338.00","--","--","92626.00","--","--","0.74"
