出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","112","4","2801","彰銀","22232574.00","16337498.00","3241455.00","19092029.00","16236588.00","3254446.00","12982142.00","--","--","12982142.00","11814097.00","--","24796239.00","12982142.00","--","--","24796239.00","--","--","1.20"
"114/10/28","112","4","2812","台中銀","11324777.00","6172894.00","1667977.00","7596145.00","8233549.00","1412115.00","6821434.00","--","--","6821434.00","1968558.00","--","8789992.00","6821434.00","--","--","8789992.00","--","--","1.31"
"114/10/28","112","4","2820","華票","244948.00","1774179.00","-17941.00","514544.00","1522524.00","234002.00","1288522.00","--","--","1288522.00","2336400.00","--","3624922.00","--","--","--","--","--","--","0.96"
"114/10/28","112","4","2834","臺企銀","18705510.00","13208034.00","4226518.00","15259219.00","12427807.00","1860132.00","10567675.00","0.00","--","10567675.00","6250321.00","--","16817996.00","10567675.00","0.00","0.00","16817996.00","--","--","1.29"
"114/10/28","112","4","2836","高雄銀","2543497.00","1277277.00","-92090.00","2707575.00","1205289.00","340076.00","865213.00","--","--","865213.00","1643124.00","--","2508337.00","--","--","--","--","--","--","0.70"
"114/10/28","112","4","2838","聯邦銀","8351987.00","9582640.00","628393.00","12070837.00","5235397.00","914717.00","4320680.00","--","--","4320680.00","3784705.00","--","8105385.00","4317286.00","--","3394.00","8101987.00","--","3398.00","1.02"
"114/10/28","112","4","2845","遠東銀","6505038.00","6288637.00","540238.00","7546365.00","4707072.00","532863.00","4174209.00","--","--","4174209.00","1392282.00","--","5566491.00","4174209.00","--","--","5566491.00","--","--","1.03"
"114/10/28","112","4","2849","安泰銀","3377521.00","2445284.00","1397355.00","3175301.00","1250149.00","149122.00","1101027.00","0.00","--","1101027.00","491515.00","--","1592542.00","--","--","--","--","--","--","0.56"
"114/10/28","112","4","2897","王道銀行","2126277.00","7417668.00","897034.00","4618171.00","4028740.00","602681.00","3426059.00","--","--","3426059.00","2865588.00","--","6291647.00","2492420.00","--","933639.00","3683548.00","--","2608099.00","0.87"
"114/10/28","112","4","5876","上海商銀","39151574.00","10159627.00","9882613.00","18199784.00","21228804.00","3803667.00","17425137.00","--","--","17425137.00","9590866.00","--","27016003.00","14659995.00","--","2765142.00","22144340.00","--","4871663.00","3.02"
