出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","113","1","2880","華南金","6205338.00","10123410.00","16328748.00","739449.00","496398.00","8048060.00","7044841.00","1415893.00","5628948.00","--","5628948.00","4015436.00","9644384.00","5628913.00","--","35.00","9644332.00","--","52.00","0.41"
"114/10/28","113","1","2881","富邦金","43887078.00","45318389.00","89205467.00","2992456.00","30245078.00","20968582.00","34999351.00","4563126.00","30436225.00","--","30436225.00","63505480.00","93941705.00","30407666.00","--","28559.00","94018806.00","--","-77101.00","2.34"
"114/10/28","113","1","2882","國泰金","62425086.00","54142658.00","116567744.00","2302172.00","46209644.00","24826997.00","43228931.00","5442168.00","37786763.00","-224334.00","37562429.00","36239262.00","73801691.00","38108670.00","--","-546241.00","72875554.00","--","926137.00","2.60"
"114/10/28","113","1","2883","凱基金","18322767.00","-2630589.00","15692178.00","398442.00","-3213437.00","8611615.00","9895558.00","1679787.00","8215771.00","--","8215771.00","19531448.00","27747219.00","8213902.00","--","1869.00","27743311.00","--","3908.00","0.49"
"114/10/28","113","1","2884","玉山金","7821425.00","9665104.00","17486529.00","371442.00","--","9379757.00","7735330.00","1481063.00","6254267.00","--","6254267.00","2476143.00","8730410.00","6250969.00","--","3298.00","8726934.00","--","3476.00","0.40"
"114/10/28","113","1","2885","元大金","7609146.00","23406657.00","31015803.00","314737.00","4136147.00","14572883.00","11992036.00","2033552.00","9958484.00","--","9958484.00","3093408.00","13051892.00","9235010.00","--","723474.00","12310035.00","--","741857.00","0.73"
"114/10/28","113","1","2886","兆豐金","9314481.00","13111202.00","22425683.00","1131912.00","15791.00","8496356.00","12781624.00","1291443.00","11490181.00","--","11490181.00","4100815.00","15590996.00","11490181.00","--","0.00","15590996.00","--","0.00","0.80"
"114/10/28","113","1","2887","台新新光金","8266907.00","13052907.00","21319814.00","626944.00","6062448.00","8565207.00","6065215.00","1053366.00","5011849.00","--","5011849.00","5973.00","5017822.00","5011462.00","--","387.00","5017435.00","--","387.00","0.36"
"114/10/28","113","1","2889","國票金","328448.00","1707967.00","2036415.00","44093.00","--","1070031.00","922291.00","150707.00","771584.00","--","771584.00","-108040.00","663544.00","628428.00","--","143156.00","419471.00","--","244073.00","0.18"
"114/10/28","113","1","2890","永豐金","5730673.00","11020306.00","16750979.00","613968.00","--","7980219.00","8156792.00","1245679.00","6911113.00","--","6911113.00","1921045.00","8832158.00","6911113.00","--","0.00","8832158.00","--","0.00","0.56"
"114/10/28","113","1","2891","中信金","31902964.00","16608586.00","48511550.00","2476132.00","-1758446.00","22251239.00","25542625.00","4369947.00","21172678.00","--","21172678.00","6770169.00","27942847.00","20920112.00","--","252566.00","27949493.00","--","-6646.00","1.07"
"114/10/28","113","1","2892","第一金","7797891.00","10928921.00","18726812.00","1166035.00","1459894.00","7674887.00","8425996.00","1411043.00","7014953.00","--","7014953.00","3896071.00","10911024.00","7014953.00","--","--","10911024.00","--","--","0.52"
"114/10/28","113","1","5880","合庫金","7158860.00","8641433.00","15800293.00","1177011.00","544031.00","7532729.00","6546522.00","1163293.00","5383229.00","--","5383229.00","1686574.00","7069803.00","5237347.00","--","145882.00","6949126.00","--","120677.00","0.36"
