出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/28","110","3","2880","華南金","-20336788.00","498823.00","19070877.00","-458518.00","-1225606.00","174436057.00","173210451.00"
"114/10/28","110","3","2881","富邦金","58709226.00","-7351158.00","-21329856.00","-2572292.00","27455920.00","491035150.00","518491070.00"
"114/10/28","110","3","2882","國泰金","40648366.00","-7627628.00","-25139307.00","-141127.00","7740304.00","657824480.00","665564784.00"
"114/10/28","110","3","2883","凱基金","48598454.00","-29515098.00","-14272968.00","-734225.00","4076163.00","190342413.00","194418576.00"
"114/10/28","110","3","2884","玉山金","10961136.00","-2776046.00","-4916358.00","3926465.00","7195197.00","70065700.00","77260897.00"
"114/10/28","110","3","2885","元大金","13480723.00","-980952.00","-8531625.00","-5614459.00","-1646313.00","157785378.00","156139065.00"
"114/10/28","110","3","2886","兆豐金","109202430.00","-1046996.00","-964216.00","-968983.00","106222235.00","313126220.00","419348455.00"
"114/10/28","110","3","2887","台新新光金","-10402553.00","-1606151.00","7954683.00","-24191.00","-4078212.00","53680777.00","49602565.00"
"114/10/28","110","3","2889","國票金","-6012654.00","-338038.00","5948927.00","-27507.00","-429272.00","2684860.00","2255588.00"
"114/10/28","110","3","2890","永豐金","-6278194.00","-986165.00","-2570071.00","-507884.00","-10342314.00","166636587.00","156294273.00"
"114/10/28","110","3","2891","中信金","21593949.00","-14813691.00","-32936361.00","-5681879.00","-31837982.00","449691651.00","417853669.00"
"114/10/28","110","3","2892","第一金","26450875.00","2551045.00","-11007213.00","-926212.00","17068495.00","232368462.00","249436957.00"
"114/10/28","110","3","5880","合庫金","-16559888.00","-221575.00","36599412.00","1805647.00","21623596.00","95067646.00","116691242.00"
