出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","111","2","2880","華南金","37019494.00","228030353.00","82304413.00","364944794.00","704438016.00","--","2268330.00","54613897.00","184647.00","--","--","2080203709.00","6845048.00","359115.00","--","14847389.00","12083802.00","32890445.00","2093897.00","913166.00","3587534.00","4960236.00","3632588285.00","174729595.00","0.00","8326789.00","--","63981129.00","19029280.00","119246829.00","1797414.00","--","2894535319.00","65092577.00","2716000.00","--","25256006.00","57879450.00","2138949.00","6093752.00","13456922.00","3454280011.00","136427459.00","17758986.00","39800935.00","-15681219.00","--","--","178306161.00","2113.00","178308274.00","--","0.00","0.00","13.51"
"114/10/28","111","2","2881","富邦金","246959132.00","329396148.00","1420244599.00","1068282852.00","3272791187.00","11418211.00","117766130.00","258356081.00","1792148.00","0.00","--","2615255793.00","42520499.00","55289134.00","--","500595438.00","305160279.00","64992481.00","10497407.00","33860627.00","56584568.00","59309293.00","10471072007.00","150989807.00","744374.00","116134001.00","13756008.00","126854205.00","21571314.00","207671897.00","8719744.00","--","3551291016.00","260322456.00","1289017.00","--","4656631031.00","599127608.00","22052421.00","21366158.00","66314676.00","9824835733.00","139952026.00","168823026.00","503362792.00","-185341957.00","0.00","--","626795887.00","19440387.00","646236274.00","0.00","0.00","0.00","46.76"
"114/10/28","111","2","2882","國泰金","226789570.00","256252523.00","1702830104.00","1728060166.00","3468874827.00","32786.00","47677194.00","218205893.00","4489884.00","0.00","--","2405862717.00","16086240.00","34888255.00","--","659172052.00","440912033.00","97695894.00","4390689.00","51475684.00","105357439.00","114230147.00","11583284097.00","90799739.00","0.00","201800499.00","1929739.00","38626244.00","60999761.00","127916024.00","4493448.00","--","2994944560.00","138063726.00","679975.00","--","6705974983.00","689235891.00","18649387.00","34508670.00","23268868.00","11131891514.00","147025102.00","177122144.00","474498126.00","-359066334.00","0.00","0.00","439579038.00","11813545.00","451392583.00","--","0.00","0.00","29.90"
"114/10/28","111","2","2883","凱基金","113706203.00","26388514.00","493781790.00","413024652.00","1421342132.00","2251825.00","31665158.00","136787306.00","181485.00","--","--","421726548.00","910778.00","18775109.00","--","163274603.00","50148715.00","34347474.00","12598012.00","18541156.00","19799397.00","104130931.00","3483381788.00","20522868.00","0.00","96554850.00","619039.00","118377152.00","18253367.00","117128127.00","1804237.00","--","469122820.00","91770877.00","33166224.00","--","2073658223.00","189595543.00","4546353.00","8106681.00","53290546.00","3296516907.00","190824559.00","36134488.00","61255774.00","-92606409.00","-9071501.00","--","186536911.00","327970.00","186864881.00","4465000.00","0.00","651614892.00","10.12"
"114/10/28","111","2","2884","玉山金","72247105.00","126240330.00","385764801.00","343425353.00","351967026.00","--","1684169.00","116586439.00","34215.00","--","--","1872442278.00","--","--","--","7857144.00","1867552.00","34036367.00","6837228.00","6114130.00","3238549.00","12971662.00","3343314348.00","73606922.00","0.00","94247886.00","--","17873538.00","3818380.00","48918052.00","2520443.00","--","2776162645.00","40850000.00","1629412.00","--","1106338.00","89945852.00","3955634.00","1460377.00","3495654.00","3159591133.00","142751000.00","26070164.00","25468643.00","-10717960.00","--","--","183571847.00","151368.00","183723215.00","--","0.00","0.00","13.75"
"114/10/28","111","2","2885","元大金","57202757.00","76233069.00","467087326.00","348890346.00","536006805.00","--","43505146.00","244611845.00","177958.00","138384.00","--","918954433.00","1510758.00","3282308.00","4307627.00","123395937.00","10070414.00","24340815.00","11567715.00","30959342.00","6099137.00","73971503.00","2982313625.00","18026366.00","0.00","152355419.00","--","169933194.00","64803502.00","200709198.00","4384476.00","--","1388946224.00","91267551.00","66044157.00","--","354211317.00","150659803.00","4699598.00","3618387.00","50648644.00","2720307836.00","125015590.00","37890734.00","91015961.00","-11595724.00","--","--","242326561.00","19679228.00","262005789.00","0.00","0.00","0.00","19.97"
"114/10/28","111","2","2886","兆豐金","142661701.00","508395111.00","224599689.00","565340604.00","613456173.00","--","299606.00","112912891.00","336086.00","15813.00","--","2108783986.00","10816479.00","5178193.00","--","6764418.00","1464962.00","21722362.00","1868797.00","1119111.00","8194700.00","4823968.00","4338754650.00","551872593.00","33470594.00","20794636.00","--","283951224.00","15016432.00","140021822.00","10236330.00","--","2889359900.00","7500000.00","3910000.00","--","39947868.00","17644417.00","1924633.00","2357766.00","24463793.00","4042472008.00","139398196.00","68194233.00","98238812.00","-9548599.00","0.00","0.00","296282642.00","0.00","296282642.00","0.00","0.00","0.00","21.79"
"114/10/28","111","2","2887","台新新光金","26905832.00","76722214.00","158305803.00","166530881.00","537916328.00","--","9308541.00","165907526.00","142978.00","--","--","1392216100.00","424516.00","339374.00","--","33918738.00","2850263.00","22257627.00","2438809.00","3283959.00","7808707.00","26417751.00","2633695947.00","37718529.00","891840.00","63694656.00","--","84789543.00","19267958.00","49830214.00","2059463.00","--","1761742784.00","74759587.00","11867764.00","--","214714468.00","113227569.00","2540434.00","1447783.00","8892734.00","2447445326.00","127741476.00","35921647.00","28927444.00","-6367843.00","--","--","186222724.00","27897.00","186250621.00","--","0.00","0.00","15.25"
"114/10/28","111","2","2889","國票金","3417878.00","594202.00","178433495.00","103931994.00","--","--","40000.00","32325756.00","18.00","0.00","--","--","--","6009703.00","--","14600557.00","127689.00","7447766.00","163731.00","246493.00","429969.00","4300798.00","352070049.00","--","22339533.00","2228541.00","--","234171742.00","20053548.00","17473335.00","586759.00","--","--","--","--","--","1986204.00","9130811.00","159898.00","20332.00","4497011.00","312647714.00","31473840.00","208101.00","3864846.00","-1437988.00","0.00","--","34108799.00","5313536.00","39422335.00","0.00","0.00","0.00","11.38"
"114/10/28","111","2","2890","永豐金","51895216.00","168768203.00","102960073.00","339324398.00","198175906.00","--","65218336.00","110106876.00","170995.00","--","--","1246036247.00","--","923378.00","--","46407558.00","2412851.00","13358482.00","3820127.00","2232921.00","2197112.00","32366953.00","2386375632.00","84404884.00","0.00","59599399.00","--","70117893.00","30113050.00","70752001.00","1813882.00","--","1757779398.00","70983482.00","9359746.00","18437.00","3505792.00","59903135.00","3278530.00","1480004.00","15042752.00","2238152385.00","113837646.00","2228781.00","44500902.00","-12344082.00","--","--","148223247.00","0.00","148223247.00","--","0.00","0.00","13.15"
