出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","111","1","1240","茂生農經","1222965.00","932528.00","2155493.00","676465.00","63675.00","740140.00","367602.00","--","145207.00","547057.00","251535.00","--","1311401.00","--","--","103952.00","1415353.00","--","0.00","0.00","35.67"
"114/10/28","111","1","1259","安心","1807554.00","3474278.00","5281832.00","1618292.00","1638636.00","3256928.00","323895.00","--","809816.00","735979.00","126968.00","0.00","1996658.00","--","--","28246.00","2024904.00","--","--","0.00","61.65"
"114/10/28","111","1","1264","德麥","2409871.00","1851142.00","4261013.00","1023519.00","73783.00","1097302.00","370644.00","--","673648.00","1455076.00","-43462.00","-2432.00","2453474.00","--","--","710237.00","3163711.00","--","0.00","12000.00","66.22"
"114/10/28","111","1","1268","漢來美食","2131397.00","2414262.00","4545659.00","1311654.00","1198492.00","2510146.00","427237.00","--","1176918.00","499153.00","-1985.00","-65810.00","2035513.00","--","--","--","2035513.00","--","0.00","500000.00","48.21"
"114/10/28","111","1","1336","台翰","1181420.00","1084100.00","2265520.00","466979.00","201665.00","668644.00","770984.00","--","668899.00","271185.00","-114192.00","--","1596876.00","--","--","--","1596876.00","0.00","0.00","0.00","20.71"
"114/10/28","111","1","1565","精華","4399846.00","4026658.00","8426504.00","2373158.00","537949.00","2911107.00","504165.00","--","526000.00","4490790.00","-5558.00","--","5515397.00","--","--","--","5515397.00","0.00","0.00","0.00","109.40"
"114/10/28","111","1","1569","濱川","4041420.00","3367503.00","7408923.00","3319547.00","454580.00","3774127.00","1214474.00","--","1154878.00","1296935.00","-141186.00","--","3525101.00","--","--","109695.00","3634796.00","--","0.00","0.00","29.03"
"114/10/28","111","1","1570","力肯","826327.00","263855.00","1090182.00","163132.00","27881.00","191013.00","515008.00","--","0.00","382087.00","2074.00","0.00","899169.00","--","--","0.00","899169.00","0.00","0.00","0.00","17.46"
"114/10/28","111","1","1580","新麥","2126775.00","1646121.00","3772896.00","1109124.00","104777.00","1213901.00","502302.00","--","77746.00","2071584.00","-117352.00","--","2534280.00","--","--","24715.00","2558995.00","--","0.00","0.00","50.45"
"114/10/28","111","1","1584","精剛","1740483.00","1163359.00","2903842.00","814978.00","677939.00","1492917.00","1224705.00","--","109818.00","89336.00","-12934.00","--","--","--","--","--","1410925.00","0.00","0.00","0.00","11.52"
"114/10/28","111","1","1586","和勤","2198038.00","2224714.00","4422752.00","1470143.00","1345877.00","2816020.00","858419.00","--","553506.00","404057.00","-66665.00","-142585.00","1606732.00","--","--","--","1606732.00","0.00","0.00","3369000.00","19.48"
"114/10/28","111","1","1591","駿吉-KY","445010.00","302584.00","747594.00","273211.00","25896.00","299107.00","331648.00","--","22159.00","262695.00","-158254.00","-9761.00","448487.00","--","--","--","448487.00","0.00","0.00","500000.00","13.73"
