出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/28","113","1","2801","彰銀","49763631.00","235083796.00","83165911.00","284979748.00","454311970.00","--","--","23410075.00","175771.00","--","--","1857165476.00","--","--","1126660.00","20909155.00","1853389.00","13930163.00","1023558.00","2099802.00","1954483.00","3030953588.00","148752736.00","--","2035785.00","--","23256980.00","41053136.00","2667429.00","--","2549815059.00","48621710.00","--","--","1361704.00","3284355.00","1706581.00","8665588.00","5436692.00","2836657755.00","108582930.00","--","--","76718733.00","8994170.00","0.00","194295833.00","--","--","--","194295833.00","--","0.00","0.00","17.89"
"114/10/28","113","1","2812","台中銀","16021744.00","46728489.00","31684606.00","77360974.00","109118688.00","--","11954946.00","24199224.00","2.00","--","--","549377596.00","179553.00","150425.00","121422.00","18177425.00","1017621.00","1191063.00","256339.00","905307.00","2659315.00","891104739.00","7013656.00","13093280.00","1754013.00","--","9150588.00","11262635.00","1291363.00","--","740374045.00","16500000.00","--","--","8144758.00","1352658.00","1050175.00","109486.00","1084706.00","812181363.00","52260953.00","--","1528256.00","23431817.00","1702350.00","0.00","78923376.00","--","--","0.00","78923376.00","0.00","0.00","0.00","15.10"
"114/10/28","113","1","2820","華票","340109.00","--","127366867.00","96036606.00","2187421.00","--","2644534.00","2057753.00","321480.00","--","--","--","--","--","39049.00","145862.00","13105.00","--","--","268179.00","577035.00","231998000.00","27807535.00","--","49760.00","--","174686009.00","2382204.00","--","--","--","--","--","--","0.00","1375398.00","13302.00","48194.00","231030.00","206593432.00","13429600.00","--","15304.00","12515183.00","-555519.00","--","--","--","--","--","25404568.00","--","0.00","0.00","18.92"
"114/10/28","113","1","2834","臺企銀","34259767.00","125486632.00","75624403.00","205508903.00","248181592.00","--","1416454.00","13175890.00","353060.00","--","--","1491622754.00","0.00","--","7540.00","13962620.00","1262548.00","--","1049242.00","1823363.00","10082939.00","2223817707.00","128147722.00","1510922.00","9650457.00","--","1923927.00","26998450.00","510247.00","--","1868427697.00","53460000.00","--","--","2199375.00","2601533.00","1285776.00","878623.00","2789395.00","2100384124.00","82224061.00","--","815900.00","38942203.00","1451419.00","--","123433583.00","--","--","--","123433583.00","0.00","0.00","0.00","15.01"
"114/10/28","113","1","2836","高雄銀","5044393.00","13718469.00","2583334.00","36865685.00","61848069.00","--","5567777.00","1617707.00","--","--","--","192392020.00","--","--","232083.00","3016440.00","392612.00","--","98642.00","116452.00","162206.00","323655889.00","9592148.00","0.00","4181.00","--","12411335.00","4420758.00","190400.00","--","266366743.00","5377000.00","--","--","--","409870.00","393089.00","22650.00","136779.00","299324953.00","17742982.00","--","1436134.00","5471668.00","-319848.00","--","--","--","--","--","24330936.00","--","0.00","0.00","13.71"
"114/10/28","113","1","2838","聯邦銀","10502357.00","34119340.00","61881778.00","64386542.00","81522338.00","--","61378797.00","37857812.00","91039.00","--","--","567618628.00","387793.00","--","1608266.00","15511259.00","1925655.00","4602219.00","2166955.00","782397.00","9163765.00","955506940.00","10811564.00","1247305.00","405926.00","--","63843981.00","10454696.00","364897.00","--","768255351.00","5000000.00","899354.00","375000.00","11382041.00","412884.00","1921511.00","2415114.00","3586421.00","881376045.00","39789525.00","--","8125732.00","19272377.00","4734597.00","--","71922231.00","--","--","2208664.00","74130895.00","--","0.00","0.00","18.08"
"114/10/28","113","1","2845","遠東銀","6544260.00","50282746.00","41871836.00","65109654.00","127156636.00","--","3359331.00","19587981.00","--","--","--","475340345.00","2769096.00","--","7459335.00","5153848.00","1118205.00","--","1565817.00","126791.00","402021.00","807847902.00","594988.00","400000.00","8850582.00","--","1123671.00","6517093.00","252967.00","--","671474249.00","14401900.00","--","--","41359375.00","667187.00","1130909.00","--","548963.00","747321884.00","40694838.00","--","302926.00","19277030.00","251224.00","--","60526018.00","--","--","--","60526018.00","--","0.00","0.00","14.87"
"114/10/28","113","1","2849","安泰銀","3267213.00","14209951.00","18182213.00","43507662.00","39628877.00","--","448894.00","4280118.00","132679.00","--","--","220863360.00","--","--","106101.00","662861.00","794343.00","58888.00","260707.00","658477.00","1391372.00","348453716.00","3523033.00","--","414310.00","--","946268.00","2486617.00","0.00","--","305114877.00","--","--","--","1034329.00","272785.00","787491.00","60183.00","94995.00","314734888.00","19576094.00","--","402822.00","15117404.00","-1377492.00","0.00","--","--","--","--","33718828.00","0.00","0.00","0.00","17.22"
"114/10/28","113","1","2897","王道銀行","7559906.00","21477952.00","164065960.00","170762410.00","26794827.00","--","2644534.00","5527665.00","600396.00","--","--","233548232.00","7089503.00","--","1071844.00","2377660.00","449459.00","--","1657119.00","996483.00","1662883.00","648286833.00","43354829.00","--","938570.00","--","187921308.00","7254047.00","199020.00","--","322798042.00","14450000.00","--","--","7108009.00","2010522.00","467510.00","807156.00","462124.00","587771137.00","30330063.00","--","25036.00","13111619.00","-1660612.00","-73183.00","41732923.00","--","--","18782773.00","60515696.00","--","7939000.00","0.00","13.80"
"114/10/28","113","1","5876","上海商銀","51640310.00","398513001.00","7335774.00","420460059.00","232681905.00","--","5301087.00","20471467.00","98340.00","--","--","1236580061.00","2382979.00","--","0.00","23669062.00","2005215.00","7560861.00","2256892.00","3766581.00","10981279.00","2425704873.00","34084151.00","--","6012922.00","--","2271282.00","36128384.00","1888105.00","--","1994641671.00","66557917.00","--","--","6993819.00","2990838.00","2011652.00","11071350.00","3906889.00","2168558980.00","48616031.00","--","27548445.00","111357622.00","5298310.00","-83144.00","192737264.00","--","--","64408629.00","257145893.00","0.00","11397439.00","0.00","39.74"
