公司代號,公司名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,107,Q1,2233014.00
1101,台泥,107,Q3,14491475.00
1101,台泥,107,Q2,10686324.00
1101,台泥,107,Q4,22150720.00
1102,亞泥,107,Q1,606531.00
1102,亞泥,107,Q3,3961633.00
1102,亞泥,107,Q2,2444191.00
1102,亞泥,107,Q4,9264060.00
1103,嘉泥,107,Q1,-660329.00
1103,嘉泥,107,Q2,-345028.00
1103,嘉泥,107,Q4,-506413.00
1103,嘉泥,107,Q3,-545497.00
1104,環泥,107,Q4,602424.00
1104,環泥,107,Q3,511442.00
1104,環泥,107,Q2,29546.00
1104,環泥,107,Q1,-4026.00
1108,幸福,107,Q3,65280.00
1108,幸福,107,Q4,51832.00
1108,幸福,107,Q2,1828.00
1108,幸福,107,Q1,47422.00
1109,信大,107,Q4,996902.00
1109,信大,107,Q3,663869.00
1109,信大,107,Q2,442297.00
1109,信大,107,Q1,167841.00
1110,東泥,107,Q3,-29612.00
1110,東泥,107,Q1,-272740.00
1110,東泥,107,Q2,-223431.00
1110,東泥,107,Q4,15927.00
1201,味全,107,Q1,-250281.00
1201,味全,107,Q4,555117.00
1201,味全,107,Q2,-615165.00
1201,味全,107,Q3,316817.00
1203,味王,107,Q4,721679.00
1203,味王,107,Q3,529266.00
1203,味王,107,Q1,28650.00
1203,味王,107,Q2,215136.00
1210,大成,107,Q2,-823206.00
1210,大成,107,Q1,152095.00
1210,大成,107,Q3,840501.00
1210,大成,107,Q4,1906518.00
1213,大飲,107,Q1,-28745.00
1213,大飲,107,Q3,-63985.00
1213,大飲,107,Q2,-24065.00
1213,大飲,107,Q4,-29936.00
1215,卜蜂,107,Q1,366595.00
1215,卜蜂,107,Q4,995382.00
1215,卜蜂,107,Q2,124487.00
1215,卜蜂,107,Q3,489065.00
1216,統一,107,Q1,72533.00
1216,統一,107,Q4,43096879.00
1216,統一,107,Q2,13671800.00
1216,統一,107,Q3,34711005.00
1217,愛之味,107,Q3,60817.00
1217,愛之味,107,Q1,-102927.00
1217,愛之味,107,Q4,430382.00
1217,愛之味,107,Q2,-44896.00
1218,泰山,107,Q1,404462.00
1218,泰山,107,Q2,160285.00
1218,泰山,107,Q4,420026.00
1218,泰山,107,Q3,271764.00
1219,福壽,107,Q3,87195.00
1219,福壽,107,Q4,328760.00
1219,福壽,107,Q1,526199.00
1219,福壽,107,Q2,430632.00
1220,台榮,107,Q3,100223.00
1220,台榮,107,Q2,117760.00
1220,台榮,107,Q1,199859.00
1220,台榮,107,Q4,117254.00
1225,福懋油,107,Q1,782375.00
1225,福懋油,107,Q3,427927.00
1225,福懋油,107,Q4,763601.00
1225,福懋油,107,Q2,531339.00
1227,佳格,107,Q4,2639247.00
1227,佳格,107,Q3,2062062.00
1227,佳格,107,Q1,1450343.00
1227,佳格,107,Q2,1448979.00
1229,聯華,107,Q4,2219706.00
1229,聯華,107,Q2,1362012.00
1229,聯華,107,Q3,1884558.00
1229,聯華,107,Q1,256565.00
1231,聯華食,107,Q4,539258.00
1231,聯華食,107,Q1,-516586.00
1231,聯華食,107,Q2,-152478.00
1231,聯華食,107,Q3,140697.00
1232,大統益,107,Q4,1390399.00
1232,大統益,107,Q1,610865.00
1232,大統益,107,Q3,679532.00
1232,大統益,107,Q2,479263.00
1233,天仁,107,Q3,128781.00
1233,天仁,107,Q1,47055.00
1233,天仁,107,Q4,202364.00
1233,天仁,107,Q2,124781.00
1234,黑松,107,Q3,-58508.00
1234,黑松,107,Q1,397917.00
1234,黑松,107,Q4,461274.00
1234,黑松,107,Q2,260784.00
1235,興泰,107,Q1,-5720.00
1235,興泰,107,Q4,41587.00
1235,興泰,107,Q2,-19264.00
1235,興泰,107,Q3,47716.00
1236,宏亞,107,Q2,85502.00
1236,宏亞,107,Q4,195259.00
1236,宏亞,107,Q1,-10213.00
1236,宏亞,107,Q3,172391.00
1240,茂生農經,107,Q2,60806.00
1240,茂生農經,107,Q4,58512.00
1240,茂生農經,107,Q1,41204.00
1240,茂生農經,107,Q3,25476.00
1256,鮮活果汁-KY,107,Q1,50277.00
1256,鮮活果汁-KY,107,Q2,250891.00
1256,鮮活果汁-KY,107,Q4,527928.00
1256,鮮活果汁-KY,107,Q3,487734.00
1259,安心,107,Q1,-53229.00
1259,安心,107,Q4,386097.00
1259,安心,107,Q2,160313.00
1259,安心,107,Q3,278372.00
1264,德麥,107,Q4,581363.00
1264,德麥,107,Q2,175947.00
1264,德麥,107,Q3,322190.00
1264,德麥,107,Q1,155664.00
1268,漢來美食,107,Q1,96189.00
1268,漢來美食,107,Q4,342137.00
1268,漢來美食,107,Q2,136577.00
1268,漢來美食,107,Q3,193983.00
1301,台塑,107,Q1,3070964.00
1301,台塑,107,Q4,50507277.00
1301,台塑,107,Q3,43210336.00
1301,台塑,107,Q2,12733361.00
