公司代號,公司名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.30000000,"     16,856,366,706",0.70000000,"        357,559,293"
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.30000000,"     16,856,366,706",0.70000000,"        357,559,293"
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,"         18,219,178",0.0,                  0
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,"         18,219,178",0.0,                  0
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.30000000,"     16,856,366,706",0.70000000,"        357,559,293"
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,"         18,219,178",0.0,                  0
1101B,台泥乙特,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.09109589,"         18,219,178",0.0,                  0
1101,台泥,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,3.30000000,"     16,856,366,706",0.70000000,"        357,559,293"
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.80000000,"      9,412,052,154",0.0,                  0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.80000000,"      9,412,052,154",0.0,                  0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.80000000,"      9,412,052,154",0.0,                  0
1102,亞泥,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,2.80000000,"      9,412,052,154",0.0,                  0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.00000000,"        771,780,548",0.0,                  0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.00000000,"        771,780,548",0.0,                  0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.00000000,"        771,780,548",0.0,                  0
1103,嘉泥,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,1.00000000,"        771,780,548",0.0,                  0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.00000000,"        653,609,192",0.0,                  0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.00000000,"        653,609,192",0.0,                  0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.00000000,"        653,609,192",0.0,                  0
1104,環泥,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.00000000,"        653,609,192",0.0,                  0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1108,幸福,107,Y1,108/06/12,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.80000000,"        273,566,294",0.0,                  0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.80000000,"        273,566,294",0.0,                  0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.80000000,"        273,566,294",0.0,                  0
1109,信大,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,0.80000000,"        273,566,294",0.0,                  0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.10000000,"         57,200,079",0.0,                  0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.10000000,"         57,200,079",0.0,                  0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.10000000,"         57,200,079",0.0,                  0
1110,東泥,107,Y1,108/06/20,107/01/01~107/12/31,股東會確認,0.10000000,"         57,200,079",0.0,                  0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.80000000,"        404,850,331",0.0,                  0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.80000000,"        404,850,331",0.0,                  0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.80000000,"        404,850,331",0.0,                  0
1201,味全,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.80000000,"        404,850,331",0.0,                  0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.00000000,"        240,000,000",0.0,                  0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.00000000,"        240,000,000",0.0,                  0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.00000000,"        240,000,000",0.0,                  0
1203,味王,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.00000000,"        240,000,000",0.0,                  0
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.50000000,"      1,181,912,980",0.50000000,"         39,397,099"
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.50000000,"      1,181,912,980",0.50000000,"         39,397,099"
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.50000000,"      1,181,912,980",0.50000000,"         39,397,099"
1210,大成,107,Y1,108/05/31,107/01/01~107/12/31,股東會確認,1.50000000,"      1,181,912,980",0.50000000,"         39,397,099"
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,                  0,0.0,                  0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,                  0,0.0,                  0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,                  0,0.0,                  0
1213,大飲,107,Y1,108/10/03,107/01/01~107/12/31,董事會擬議,0.0,                  0,0.0,                  0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.00000000,"        803,972,994",0.0,                  0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.00000000,"        803,972,994",0.0,                  0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.00000000,"        803,972,994",0.0,                  0
1215,卜蜂,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,3.00000000,"        803,972,994",0.0,                  0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.50000000,"     14,205,038,553",0.0,                  0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.50000000,"     14,205,038,553",0.0,                  0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.50000000,"     14,205,038,553",0.0,                  0
1216,統一,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,2.50000000,"     14,205,038,553",0.0,                  0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1217,愛之味,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
1218,泰山,107,Y1,108/05/23,107/01/01~107/12/31,股東會確認,0.80000000,"        399,999,230",0.0,                  0
