公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
1101 - 台泥,109/06/09,108年 年度,2.50000000,"     13,644,048,010",0.50000000
1101 - 台泥,109/06/09,108年 年度,2.50000000,"     13,644,048,010",0.50000000
1101B - 台泥乙特,109/06/09,108年 年度,1.75000000,"        350,000,000",0.0
1101B - 台泥乙特,109/06/09,108年 年度,1.75000000,"        350,000,000",0.0
1101 - 台泥,109/06/09,108年 年度,2.50000000,"     13,644,048,010",0.50000000
1101B - 台泥乙特,109/06/09,108年 年度,1.75000000,"        350,000,000",0.0
1101 - 台泥,109/06/09,108年 年度,2.50000000,"     13,644,048,010",0.50000000
1101B - 台泥乙特,109/06/09,108年 年度,1.75000000,"        350,000,000",0.0
1102 - 亞泥,109/06/23,108年 年度,3.00000000,"     10,084,341,594",0.0
1102 - 亞泥,109/06/23,108年 年度,3.00000000,"     10,084,341,594",0.0
1102 - 亞泥,109/06/23,108年 年度,3.00000000,"     10,084,341,594",0.0
1102 - 亞泥,109/06/23,108年 年度,3.00000000,"     10,084,341,594",0.0
1103 - 嘉泥,109/06/22,108年 年度,1.00000000,"        771,780,548",0.0
1103 - 嘉泥,109/06/22,108年 年度,1.00000000,"        771,780,548",0.0
1103 - 嘉泥,109/06/22,108年 年度,1.00000000,"        771,780,548",0.0
1103 - 嘉泥,109/06/22,108年 年度,1.00000000,"        771,780,548",0.0
1104 - 環泥,109/06/15,108年 年度,1.00000000,"        653,609,192",0.0
1104 - 環泥,109/06/15,108年 年度,1.00000000,"        653,609,192",0.0
1104 - 環泥,109/06/15,108年 年度,1.00000000,"        653,609,192",0.0
1104 - 環泥,109/06/15,108年 年度,1.00000000,"        653,609,192",0.0
1108 - 幸福,109/06/18,108年 下半年,0.15000000,"         60,710,707",0.0
1108 - 幸福,不適用,108年 上半年,0.0,                  0,0.0
1108 - 幸福,109/06/18,108年 下半年,0.15000000,"         60,710,707",0.0
1108 - 幸福,不適用,108年 上半年,0.0,                  0,0.0
1108 - 幸福,109/06/18,108年 下半年,0.15000000,"         60,710,707",0.0
1108 - 幸福,不適用,108年 上半年,0.0,                  0,0.0
1108 - 幸福,不適用,108年 上半年,0.0,                  0,0.0
1108 - 幸福,109/06/18,108年 下半年,0.15000000,"         60,710,707",0.0
1109 - 信大,109/06/23,108年 年度,1.10000000,"        376,153,655",0.0
1109 - 信大,109/06/23,108年 年度,1.10000000,"        376,153,655",0.0
1109 - 信大,109/06/23,108年 年度,1.10000000,"        376,153,655",0.0
1109 - 信大,109/06/23,108年 年度,1.10000000,"        376,153,655",0.0
1110 - 東泥,109/06/20,108年 年度,0.10000000,"         57,200,079",0.0
1110 - 東泥,109/06/20,108年 年度,0.10000000,"         57,200,079",0.0
1110 - 東泥,109/06/20,108年 年度,0.10000000,"         57,200,079",0.0
1110 - 東泥,109/06/20,108年 年度,0.10000000,"         57,200,079",0.0
1201 - 味全,不適用,108年 年度,1.33390000,"        675,037,321",0.0
1201 - 味全,不適用,108年 年度,1.33390000,"        675,037,321",0.0
1201 - 味全,不適用,108年 年度,1.33390000,"        675,037,321",0.0
1201 - 味全,不適用,108年 年度,1.33390000,"        675,037,321",0.0
1203 - 味王,109/06/23,108年 年度,1.00000000,"        240,000,000",0.0
1203 - 味王,109/06/23,108年 年度,1.00000000,"        240,000,000",0.0
1203 - 味王,109/06/23,108年 年度,1.00000000,"        240,000,000",0.0
1203 - 味王,109/06/23,108年 年度,1.00000000,"        240,000,000",0.0
1210 - 大成,不適用,108年 年度,2.20000000,"      1,820,145,990",0.0
1210 - 大成,不適用,108年 年度,2.20000000,"      1,820,145,990",0.0
1210 - 大成,不適用,108年 年度,2.20000000,"      1,820,145,990",0.0
1210 - 大成,不適用,108年 年度,2.20000000,"      1,820,145,990",0.0
1213 - 大飲,109/06/16,108年 年度,0.0,                  0,0.0
1213 - 大飲,109/06/16,108年 年度,0.0,                  0,0.0
