公司代號名稱,股東會日期,股利所屬年(季)度,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101 - 台泥,111/05/26,110年 年度,股東會確認,1.00000000,0.0,0.0,"      6,116,173,402",1.00000000,0.0,0.0,"        611,617,340"
1101B - 台泥乙特,111/05/26,110年 年度,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1101 - 台泥,111/05/26,110年 年度,股東會確認,1.00000000,0.0,0.0,"      6,116,173,402",1.00000000,0.0,0.0,"        611,617,340"
1101 - 台泥,111/05/26,110年 年度,股東會確認,1.00000000,0.0,0.0,"      6,116,173,402",1.00000000,0.0,0.0,"        611,617,340"
1101B - 台泥乙特,111/05/26,110年 年度,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1101B - 台泥乙特,111/05/26,110年 年度,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1101 - 台泥,111/05/26,110年 年度,股東會確認,1.00000000,0.0,0.0,"      6,116,173,402",1.00000000,0.0,0.0,"        611,617,340"
1101B - 台泥乙特,111/05/26,110年 年度,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1102 - 亞泥,111/06/29,110年 年度,股東會確認,3.40000000,0.0,0.0,"     12,054,945,041",0.0,0.0,0.0,                  0
1102 - 亞泥,111/06/29,110年 年度,股東會確認,3.40000000,0.0,0.0,"     12,054,945,041",0.0,0.0,0.0,                  0
1102 - 亞泥,111/06/29,110年 年度,股東會確認,3.40000000,0.0,0.0,"     12,054,945,041",0.0,0.0,0.0,                  0
1102 - 亞泥,111/06/29,110年 年度,股東會確認,3.40000000,0.0,0.0,"     12,054,945,041",0.0,0.0,0.0,                  0
1103 - 嘉泥,111/06/14,110年 年度,股東會確認,0.65000000,0.0,0.0,"        502,674,606",0.0,0.0,0.0,                  0
1103 - 嘉泥,111/06/14,110年 年度,股東會確認,0.65000000,0.0,0.0,"        502,674,606",0.0,0.0,0.0,                  0
1103 - 嘉泥,111/06/14,110年 年度,股東會確認,0.65000000,0.0,0.0,"        502,674,606",0.0,0.0,0.0,                  0
1103 - 嘉泥,111/06/14,110年 年度,股東會確認,0.65000000,0.0,0.0,"        502,674,606",0.0,0.0,0.0,                  0
1104 - 環泥,111/06/14,110年 年度,股東會確認,1.00000000,0.0,0.0,"        653,609,192",0.0,0.0,0.0,                  0
1104 - 環泥,111/06/14,110年 年度,股東會確認,1.00000000,0.0,0.0,"        653,609,192",0.0,0.0,0.0,                  0
1104 - 環泥,111/06/14,110年 年度,股東會確認,1.00000000,0.0,0.0,"        653,609,192",0.0,0.0,0.0,                  0
1104 - 環泥,111/06/14,110年 年度,股東會確認,1.00000000,0.0,0.0,"        653,609,192",0.0,0.0,0.0,                  0
1108 - 幸福,111/06/30,110年 下半年,股東會確認,0.60000000,0.0,0.0,"        242,842,829",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,110年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,111/06/30,110年 下半年,股東會確認,0.60000000,0.0,0.0,"        242,842,829",0.0,0.0,0.0,                  0
1108 - 幸福,111/06/30,110年 下半年,股東會確認,0.60000000,0.0,0.0,"        242,842,829",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,110年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,不適用,110年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,111/06/30,110年 下半年,股東會確認,0.60000000,0.0,0.0,"        242,842,829",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,110年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1109 - 信大,111/06/22,110年 年度,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1109 - 信大,111/06/22,110年 年度,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1109 - 信大,111/06/22,110年 年度,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1109 - 信大,111/06/22,110年 年度,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1110 - 東泥,111/06/28,110年 年度,股東會確認,0.20000000,0.0,0.0,"        114,400,159",0.0,0.0,0.0,                  0
1110 - 東泥,111/06/28,110年 年度,股東會確認,0.20000000,0.0,0.0,"        114,400,159",0.0,0.0,0.0,                  0
1110 - 東泥,111/06/28,110年 年度,股東會確認,0.20000000,0.0,0.0,"        114,400,159",0.0,0.0,0.0,                  0
1110 - 東泥,111/06/28,110年 年度,股東會確認,0.20000000,0.0,0.0,"        114,400,159",0.0,0.0,0.0,                  0
1201 - 味全,不適用,110年 年度,董事會決議,0.50100000,0.0,0.0,"        253,537,520",0.0,0.0,0.0,                  0
1201 - 味全,不適用,110年 年度,董事會決議,0.50100000,0.0,0.0,"        253,537,520",0.0,0.0,0.0,                  0
1201 - 味全,不適用,110年 年度,董事會決議,0.50100000,0.0,0.0,"        253,537,520",0.0,0.0,0.0,                  0
1201 - 味全,不適用,110年 年度,董事會決議,0.50100000,0.0,0.0,"        253,537,520",0.0,0.0,0.0,                  0
1203 - 味王,111/06/22,110年 年度,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1203 - 味王,111/06/22,110年 年度,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1203 - 味王,111/06/22,110年 年度,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1203 - 味王,111/06/22,110年 年度,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1210 - 大成,111/06/17,110年 年度,現金股利經董事會決議、增資配股經股東會確認,1.50000000,0.0,0.0,"      1,278,238,889",0.50000000,0.0,0.0,"         42,607,963"
1210 - 大成,111/06/17,110年 年度,現金股利經董事會決議、增資配股經股東會確認,1.50000000,0.0,0.0,"      1,278,238,889",0.50000000,0.0,0.0,"         42,607,963"
1210 - 大成,111/06/17,110年 年度,現金股利經董事會決議、增資配股經股東會確認,1.50000000,0.0,0.0,"      1,278,238,889",0.50000000,0.0,0.0,"         42,607,963"
1210 - 大成,111/06/17,110年 年度,現金股利經董事會決議、增資配股經股東會確認,1.50000000,0.0,0.0,"      1,278,238,889",0.50000000,0.0,0.0,"         42,607,963"
1213 - 大飲,111/06/01,110年 年度,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1213 - 大飲,111/06/01,110年 年度,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1213 - 大飲,111/06/01,110年 年度,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1213 - 大飲,111/06/01,110年 年度,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1215 - 卜蜂,111/06/23,110年 年度,現金股利經董事會決議、增資配股經股東會確認,3.00000000,0.0,0.0,"        803,972,994",1.00000000,0.0,0.0,"         26,799,100"
1215 - 卜蜂,111/06/23,110年 年度,現金股利經董事會決議、增資配股經股東會確認,3.00000000,0.0,0.0,"        803,972,994",1.00000000,0.0,0.0,"         26,799,100"
1215 - 卜蜂,111/06/23,110年 年度,現金股利經董事會決議、增資配股經股東會確認,3.00000000,0.0,0.0,"        803,972,994",1.00000000,0.0,0.0,"         26,799,100"
1215 - 卜蜂,111/06/23,110年 年度,現金股利經董事會決議、增資配股經股東會確認,3.00000000,0.0,0.0,"        803,972,994",1.00000000,0.0,0.0,"         26,799,100"
