公司代號名稱,股東會日期,股利所屬年(季)度,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101 - 台泥,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,"        352,724,658",0.0,0.0,0.0,                  0
1101 - 台泥,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,"        352,724,658",0.0,0.0,0.0,                  0
1101 - 台泥,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,"        352,724,658",0.0,0.0,0.0,                  0
1101 - 台泥,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,113/05/21,112年 年度,112/01/01~112/12/31,股東會確認,1.76362329,0.0,0.0,"        352,724,658",0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,112年 第4季,112/10/01~112/12/31,董事會決議,2.10000000,0.0,0.0,"      7,447,782,050",0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,112年 第1季,112/01/01~112/03/31,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,112年 第2季,112/04/01~112/06/30,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,112年 第3季,112/07/01~112/09/30,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
