公司代號,公司名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,112,Q2,114/10/29,,53964171.00,45509992.00,0.64
1101,台泥,112,Q3,114/10/29,,80966464.00,66737333.00,0.82
1101,台泥,112,Q1,114/10/29,,26295929.00,23826708.00,0.20
1102,亞泥,112,Q2,114/10/29,,40345186.00,35013254.00,2.07
1102,亞泥,112,Q1,114/10/29,,19208712.00,17229141.00,0.81
1102,亞泥,112,Q3,114/10/29,,60239086.00,52098598.00,2.88
1103,嘉泥,112,Q3,114/10/29,,2115231.00,1866223.00,0.21
1103,嘉泥,112,Q2,114/10/29,,1376704.00,1235588.00,0.03
1103,嘉泥,112,Q1,114/10/29,,651402.00,588712.00,0.03
1104,環泥,112,Q1,114/10/29,,1835530.00,1490975.00,0.42
1104,環泥,112,Q3,114/10/29,,5627754.00,4538549.00,2.45
1104,環泥,112,Q2,114/10/29,,3754719.00,3026571.00,1.03
1108,幸福,112,Q1,114/10/29,,1092665.00,891334.00,0.31
1108,幸福,112,Q3,114/10/29,,3689989.00,2984407.00,1.16
1108,幸福,112,Q2,114/10/29,,2414773.00,1940590.00,0.69
1109,信大,112,Q2,114/10/29,,3030613.00,2381032.00,1.02
1109,信大,112,Q3,114/10/29,,4625787.00,3686108.00,1.36
1109,信大,112,Q1,114/10/29,,1334158.00,1069568.00,0.42
1110,東泥,112,Q3,114/10/29,,1641523.00,1527142.00,0.28
1110,東泥,112,Q1,114/10/29,,528054.00,479145.00,0.06
1110,東泥,112,Q2,114/10/29,,1143437.00,996384.00,0.18
1201,味全,112,Q2,114/10/29,,10033918.00,7347139.00,0.32
1201,味全,112,Q1,114/10/29,,4789271.00,3493627.00,0.25
1201,味全,112,Q3,114/10/29,,15990330.00,11671062.00,0.45
1203,味王,112,Q2,114/10/29,,3112428.00,2264822.00,0.71
1203,味王,112,Q3,114/10/29,,4731566.00,3404243.00,1.35
1203,味王,112,Q1,114/10/29,,1576031.00,1168898.00,0.33
1210,大成,112,Q1,114/10/29,,27073084.00,23860047.00,0.90
1210,大成,112,Q3,114/10/29,,83009411.00,72057602.00,3.68
1210,大成,112,Q2,114/10/29,,54671047.00,47707276.00,2.17
1213,大飲,112,Q1,114/10/29,,88390.00,92151.00,-0.34
1213,大飲,112,Q3,114/10/29,,108491.00,178085.00,-1.71
1213,大飲,112,Q2,114/10/29,,115720.00,142309.00,-1.06
1215,卜蜂,112,Q2,114/10/29,,14644087.00,12293757.00,3.47
1215,卜蜂,112,Q3,114/10/29,,21950444.00,18292192.00,5.67
1215,卜蜂,112,Q1,114/10/29,,7232070.00,6207122.00,1.43
1216,統一,112,Q2,114/10/29,,268802050.00,180493577.00,1.97
1216,統一,112,Q1,114/10/29,,131403552.00,88719304.00,0.88
1216,統一,112,Q3,114/10/29,,433848346.00,292156515.00,2.95
1217,愛之味,112,Q2,114/10/29,,2330846.00,1670815.00,0.17
1217,愛之味,112,Q3,114/10/29,,3957479.00,2813382.00,0.36
1217,愛之味,112,Q1,114/10/29,,1171271.00,853661.00,0.13
1218,泰山,112,Q2,114/10/29,,5273321.00,4663702.00,-0.93
1218,泰山,112,Q3,114/10/29,,8573732.00,7439941.00,-0.57
1218,泰山,112,Q1,114/10/29,,2649807.00,2358855.00,-0.14
1219,福壽,112,Q1,114/10/29,,4245125.00,3873860.00,0.19
1219,福壽,112,Q2,114/10/29,,8310934.00,7612441.00,0.42
1219,福壽,112,Q3,114/10/29,,12380972.00,11275481.00,0.70
1220,台榮,112,Q2,114/10/29,,1488004.00,1328752.00,0.16
1220,台榮,112,Q1,114/10/29,,656102.00,604996.00,-0.04
1220,台榮,112,Q3,114/10/29,,2353276.00,2076529.00,0.39
1225,福懋油,112,Q3,114/10/29,,10912671.00,10198063.00,1.02
1225,福懋油,112,Q1,114/10/29,,3797333.00,3580176.00,0.30
1225,福懋油,112,Q2,114/10/29,,7279942.00,6882961.00,0.48
1227,佳格,112,Q1,114/10/29,,5880499.00,4537064.00,0.29
1227,佳格,112,Q2,114/10/29,,12203968.00,9517829.00,0.49
1227,佳格,112,Q3,114/10/29,,20129635.00,15640520.00,1.04
1229,聯華,112,Q3,114/10/29,,9286745.00,7276295.00,2.14
1229,聯華,112,Q1,114/10/29,,2871445.00,2452126.00,0.74
1229,聯華,112,Q2,114/10/29,,6511033.00,4907877.00,1.47
1231,聯華食,112,Q3,114/10/29,,7989458.00,6297036.00,2.01
1231,聯華食,112,Q1,114/10/29,,2773782.00,2172918.00,1.04
1231,聯華食,112,Q2,114/10/29,,5194220.00,4099455.00,1.34
1232,大統益,112,Q2,114/10/29,,11869401.00,10612807.00,3.78
1232,大統益,112,Q1,114/10/29,,6207916.00,5520374.00,2.17
1232,大統益,112,Q3,114/10/29,,17707757.00,15868979.00,5.47
1233,天仁,112,Q2,114/10/29,,1022169.00,430861.00,0.68
1233,天仁,112,Q1,114/10/29,,517813.00,216520.00,0.35
1233,天仁,112,Q3,114/10/29,,1559270.00,657519.00,0.89
1234,黑松,112,Q1,114/10/29,,2542028.00,1955871.00,0.47
1234,黑松,112,Q2,114/10/29,,4842054.00,3574397.00,0.98
1234,黑松,112,Q3,114/10/29,,7964124.00,5681782.00,1.92
1235,興泰,112,Q3,114/10/29,,32440.00,26038.00,1.90
1235,興泰,112,Q2,114/10/29,,15189.00,12185.00,0.31
1235,興泰,112,Q1,114/10/29,,5761.00,6361.00,1.08
1236,宏亞,112,Q1,114/10/29,,489616.00,337793.00,0.03
1236,宏亞,112,Q2,114/10/29,,880311.00,632008.00,-0.13
1236,宏亞,112,Q3,114/10/29,,1421569.00,1022188.00,0.13
1240,茂生農經,112,Q2,114/10/29,,1423618.00,1290594.00,1.39
1240,茂生農經,112,Q3,114/10/29,,2125472.00,1909764.00,2.68
1256,鮮活果汁-KY,112,Q1,114/10/29,,825284.00,600368.00,1.34
1256,鮮活果汁-KY,112,Q3,114/10/29,,3904818.00,2754376.00,12.76
1256,鮮活果汁-KY,112,Q2,114/10/29,,2328156.00,1652249.00,7.44
1259,安心,112,Q3,114/10/29,,4527758.00,3427286.00,4.58
1259,安心,112,Q2,114/10/29,,2932148.00,2236283.00,2.74
1264,德麥,112,Q2,114/10/29,,2738965.00,1813402.00,9.02
1264,德麥,112,Q3,114/10/29,,4254717.00,2828469.00,13.81
1268,漢來美食,112,Q2,114/10/29,,2409493.00,1314406.00,4.80
1268,漢來美食,112,Q3,114/10/29,,3609492.00,1986389.00,6.80
1294,漢田生技,112,Q2,114/10/29,,247309.00,140453.00,2.65
1295,生合,112,Q2,114/10/29,,389112.00,188365.00,2.01
1301,台塑,112,Q2,114/10/29,,100660145.00,96264407.00,0.56
1301,台塑,112,Q3,114/10/29,,151395932.00,143336396.00,1.61
1301,台塑,112,Q1,114/10/29,,52213317.00,48746759.00,0.37
1303,南亞,112,Q2,114/10/29,,129511971.00,120047273.00,0.23
1303,南亞,112,Q1,114/10/29,,65773776.00,60498073.00,0.11
1303,南亞,112,Q3,114/10/29,,196763386.00,182299198.00,0.78
1304,台聚,112,Q2,114/10/29,,25934676.00,22679759.00,-0.06
1304,台聚,112,Q1,114/10/29,,13175556.00,11426806.00,-0.09
1304,台聚,112,Q3,114/10/29,,39435029.00,34779222.00,0.15
1305,華夏,112,Q1,114/10/29,,3780066.00,3080315.00,0.40
1305,華夏,112,Q2,114/10/29,,7120017.00,6146038.00,0.40
1305,華夏,112,Q3,114/10/29,,10485625.00,9040025.00,0.65
1307,三芳,112,Q2,114/10/29,,4901447.00,3731980.00,0.87
1307,三芳,112,Q3,114/10/29,,7671609.00,5818321.00,1.66
1307,三芳,112,Q1,114/10/29,,2609698.00,1987167.00,0.40
1308,亞聚,112,Q2,114/10/29,,3228503.00,2521651.00,0.17
1308,亞聚,112,Q1,114/10/29,,1569177.00,1256455.00,-0.04
1308,亞聚,112,Q3,114/10/29,,5040014.00,4064791.00,0.45
1309,台達化,112,Q2,114/10/29,,7162750.00,6939860.00,-0.22
1309,台達化,112,Q3,114/10/29,,11143463.00,10837203.00,-0.40
1309,台達化,112,Q1,114/10/29,,3575071.00,3475106.00,-0.18
1310,台苯,112,Q1,114/10/29,,2318484.00,2310793.00,0.00
1310,台苯,112,Q2,114/10/29,,4635212.00,4966085.00,-0.57
1310,台苯,112,Q3,114/10/29,,6945287.00,7195550.00,-0.57
1312,國喬,112,Q3,114/10/29,,11983288.00,11511402.00,-1.14
1312,國喬,112,Q1,114/10/29,,4217980.00,4032501.00,-0.16
1312,國喬,112,Q2,114/10/29,,8105018.00,7965519.00,-0.92
1313,聯成,112,Q3,114/10/29,,53343275.00,51597731.00,-0.07
1313,聯成,112,Q2,114/10/29,,33486835.00,32829501.00,-0.46
1313,聯成,112,Q1,114/10/29,,15906445.00,15454508.00,0.02
1314,中石化,112,Q1,114/10/29,,5145424.00,5721439.00,-0.27
1314,中石化,112,Q3,114/10/29,,19039599.00,20037199.00,-0.63
1314,中石化,112,Q2,114/10/29,,12108484.00,12914089.00,-0.48
1315,達新,112,Q1,114/10/29,,541146.00,448325.00,0.33
1315,達新,112,Q2,114/10/29,,1168225.00,958750.00,2.79
1315,達新,112,Q3,114/10/29,,1693225.00,1401288.00,4.16
1316,上曜,112,Q2,114/10/29,,474354.00,405797.00,-0.34
1316,上曜,112,Q1,114/10/29,,311668.00,278329.00,-0.21
1316,上曜,112,Q3,114/10/29,,654698.00,544785.00,-0.50
1319,東陽,112,Q1,114/10/29,,5598265.00,4109431.00,0.83
1319,東陽,112,Q2,114/10/29,,11149457.00,8049411.00,2.11
1319,東陽,112,Q3,114/10/29,,17303529.00,12345482.00,3.76
1321,大洋,112,Q2,114/10/29,,2499093.00,2313740.00,0.68
1321,大洋,112,Q3,114/10/29,,3608325.00,3348657.00,0.90
1321,大洋,112,Q1,114/10/29,,1331591.00,1168679.00,0.59
1323,永裕,112,Q3,114/10/29,,2504095.00,2028360.00,0.71
1323,永裕,112,Q2,114/10/29,,1646990.00,1324945.00,0.52
1323,永裕,112,Q1,114/10/29,,800127.00,649282.00,0.30
1324,地球,112,Q2,114/10/29,,461194.00,364541.00,0.21
1324,地球,112,Q3,114/10/29,,698240.00,550869.00,0.45
1324,地球,112,Q1,114/10/29,,231342.00,184800.00,0.09
1325,恆大,112,Q2,114/10/29,,212856.00,208964.00,0.21
