代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,107,Q2,114/10/29,,57500246.0,41440890.0,2.14
1101,台泥,107,Q3,114/10/29,,89657354.0,64992780.0,3.35
1101,台泥,107,Q4,114/10/29,,124594602.0,91003063.0,4.37
1101,台泥,107,Q1,114/10/29,,24179214.0,18388574.0,0.69
1102,亞泥,107,Q4,114/10/29,,82741004.0,61584690.0,3.54
1102,亞泥,107,Q2,114/10/29,,39009089.0,29679533.0,1.98
1102,亞泥,107,Q3,114/10/29,,60908065.0,45980762.0,2.96
1102,亞泥,107,Q1,114/10/29,,16573882.0,13244409.0,0.6
1103,嘉泥,107,Q2,114/10/29,,1000927.0,856092.0,0.62
1103,嘉泥,107,Q3,114/10/29,,1495207.0,1275757.0,1.37
1103,嘉泥,107,Q1,114/10/29,,471257.0,416427.0,0.24
1103,嘉泥,107,Q4,114/10/29,,2092406.0,1803918.0,1.09
1104,環泥,107,Q1,114/10/29,,1166097.0,1027573.0,0.01
1104,環泥,107,Q4,114/10/29,,4780994.0,4209912.0,1.62
1104,環泥,107,Q2,114/10/29,,2314855.0,2049605.0,0.63
1104,環泥,107,Q3,114/10/29,,3436442.0,3031159.0,1.16
1108,幸福,107,Q3,114/10/29,,2460423.0,2390823.0,0.12
1108,幸福,107,Q1,114/10/29,,832706.0,812140.0,0.01
1108,幸福,107,Q4,114/10/29,,3330601.0,3283834.0,0.44
1108,幸福,107,Q2,114/10/29,,1684246.0,1621869.0,0.02
1109,信大,107,Q2,114/10/29,,2809557.0,1987278.0,0.69
1109,信大,107,Q1,114/10/29,,1061381.0,820373.0,0.34
1109,信大,107,Q3,114/10/29,,4717018.0,3276106.0,1.4
1109,信大,107,Q4,114/10/29,,6701130.0,4517299.0,2.38
1110,東泥,107,Q1,114/10/29,,412490.0,378033.0,0.03
1110,東泥,107,Q2,114/10/29,,792194.0,724213.0,0.1
1110,東泥,107,Q3,114/10/29,,1176164.0,1082054.0,0.16
1110,東泥,107,Q4,114/10/29,,1676187.0,1531733.0,0.12
