代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,2.5,13644048010,0.5,272880960
1101,台泥,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,2.5,13644048010,0.5,272880960
1101B,台泥乙特,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,1.75,350000000,0.0,0
1101B,台泥乙特,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,1.75,350000000,0.0,0
1101,台泥,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,2.5,13644048010,0.5,272880960
1101B,台泥乙特,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,1.75,350000000,0.0,0
1101,台泥,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,2.5,13644048010,0.5,272880960
1101B,台泥乙特,108,Y1,109/06/09,108/01/01~108/12/31,股東會確認,1.75,350000000,0.0,0
1102,亞泥,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,3.0,10084341594,0.0,0
1102,亞泥,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,3.0,10084341594,0.0,0
1102,亞泥,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,3.0,10084341594,0.0,0
1102,亞泥,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,3.0,10084341594,0.0,0
1103,嘉泥,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,1.0,771780548,0.0,0
1103,嘉泥,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,1.0,771780548,0.0,0
1103,嘉泥,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,1.0,771780548,0.0,0
1103,嘉泥,108,Y1,109/06/22,108/01/01~108/12/31,股東會確認,1.0,771780548,0.0,0
1104,環泥,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,1.0,653609192,0.0,0
1104,環泥,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,1.0,653609192,0.0,0
1104,環泥,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,1.0,653609192,0.0,0
1104,環泥,108,Y1,109/06/15,108/01/01~108/12/31,股東會確認,1.0,653609192,0.0,0
1108,幸福,108,H2,109/06/18,108/07/01~108/12/31,股東會確認,0.15,60710707,0.0,0
1108,幸福,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
1108,幸福,108,H2,109/06/18,108/07/01~108/12/31,股東會確認,0.15,60710707,0.0,0
1108,幸福,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
1108,幸福,108,H2,109/06/18,108/07/01~108/12/31,股東會確認,0.15,60710707,0.0,0
1108,幸福,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
1108,幸福,108,H1,不適用,108/01/01~108/06/30,董事會決議,0.0,0,0.0,0
1108,幸福,108,H2,109/06/18,108/07/01~108/12/31,股東會確認,0.15,60710707,0.0,0
1109,信大,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,376153655,0.0,0
1109,信大,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,376153655,0.0,0
1109,信大,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,376153655,0.0,0
1109,信大,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.1,376153655,0.0,0
1110,東泥,108,Y1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,57200079,0.0,0
1110,東泥,108,Y1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,57200079,0.0,0
1110,東泥,108,Y1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,57200079,0.0,0
1110,東泥,108,Y1,109/06/20,108/01/01~108/12/31,股東會確認,0.1,57200079,0.0,0
1201,味全,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.3339,675037321,0.0,0
1201,味全,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.3339,675037321,0.0,0
1201,味全,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.3339,675037321,0.0,0
1201,味全,108,Y1,不適用,108/01/01~108/12/31,董事會決議,1.3339,675037321,0.0,0
1203,味王,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.0,240000000,0.0,0
1203,味王,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.0,240000000,0.0,0
1203,味王,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.0,240000000,0.0,0
1203,味王,108,Y1,109/06/23,108/01/01~108/12/31,股東會確認,1.0,240000000,0.0,0
1210,大成,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1820145990,0.0,0
1210,大成,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1820145990,0.0,0
1210,大成,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1820145990,0.0,0
1210,大成,108,Y1,不適用,108/01/01~108/12/31,董事會決議,2.2,1820145990,0.0,0
1213,大飲,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
1213,大飲,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
1213,大飲,108,Y1,109/06/16,108/01/01~108/12/31,股東會確認,0.0,0,0.0,0
