代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,109,Q3,20256968.00
1101,台泥,109,Q1,7608468.00
1101,台泥,109,Q2,18434241.00
1101,台泥,109,Q4,31279276.00
1102,亞泥,109,Q2,7619882.00
1102,亞泥,109,Q1,2094715.00
1102,亞泥,109,Q4,19615182.00
1102,亞泥,109,Q3,13290565.00
1103,嘉泥,109,Q2,318812.00
1103,嘉泥,109,Q1,14560.00
1103,嘉泥,109,Q4,530831.00
1103,嘉泥,109,Q3,202007.00
1104,環泥,109,Q4,1014179.00
1104,環泥,109,Q2,220209.00
1104,環泥,109,Q3,851821.00
1104,環泥,109,Q1,-28245.00
1108,幸福,109,Q4,832057.00
1108,幸福,109,Q2,357684.00
1108,幸福,109,Q3,569793.00
1108,幸福,109,Q1,89197.00
1109,信大,109,Q3,1316742.00
1109,信大,109,Q1,304424.00
1109,信大,109,Q4,2147630.00
1109,信大,109,Q2,939003.00
1110,東泥,109,Q4,110709.00
1110,東泥,109,Q1,74961.00
1110,東泥,109,Q3,246992.00
1110,東泥,109,Q2,87814.00
1201,味全,109,Q2,93303.00
1201,味全,109,Q3,957919.00
1201,味全,109,Q4,1873619.00
1201,味全,109,Q1,-471016.00
1203,味王,109,Q1,229165.00
1203,味王,109,Q4,1084474.00
1203,味王,109,Q2,249933.00
1203,味王,109,Q3,494713.00
1210,大成,109,Q4,6468899.00
1210,大成,109,Q1,911561.00
1210,大成,109,Q2,2578948.00
1210,大成,109,Q3,4560272.00
1213,大飲,109,Q1,-22854.00
1213,大飲,109,Q4,-3781.00
1213,大飲,109,Q3,-29625.00
1213,大飲,109,Q2,-6672.00
1215,卜蜂,109,Q3,1094049.00
1215,卜蜂,109,Q4,2391646.00
1215,卜蜂,109,Q1,222660.00
1215,卜蜂,109,Q2,837829.00
1216,統一,109,Q3,50336577.00
1216,統一,109,Q1,9900996.00
1216,統一,109,Q4,61720486.00
1216,統一,109,Q2,27033700.00
1217,愛之味,109,Q3,38839.00
1217,愛之味,109,Q1,-64328.00
1217,愛之味,109,Q4,496789.00
1217,愛之味,109,Q2,103823.00
1218,泰山,109,Q4,409369.00
1218,泰山,109,Q1,152365.00
1218,泰山,109,Q3,159353.00
1218,泰山,109,Q2,-143175.00
1219,福壽,109,Q2,326461.00
1219,福壽,109,Q4,822934.00
1219,福壽,109,Q3,480367.00
1219,福壽,109,Q1,399529.00
1220,台榮,109,Q3,323602.00
1220,台榮,109,Q4,463552.00
1220,台榮,109,Q1,238242.00
1220,台榮,109,Q2,380116.00
1225,福懋油,109,Q1,273723.00
1225,福懋油,109,Q2,108037.00
1225,福懋油,109,Q4,522345.00
1225,福懋油,109,Q3,157917.00
1227,佳格,109,Q1,241250.00
1227,佳格,109,Q3,1980542.00
1227,佳格,109,Q2,812381.00
1227,佳格,109,Q4,2430175.00
1229,聯華,109,Q1,174827.00
1229,聯華,109,Q2,416935.00
1229,聯華,109,Q4,2340881.00
1229,聯華,109,Q3,2364831.00
1231,聯華食,109,Q4,1045367.00
1231,聯華食,109,Q1,182046.00
1231,聯華食,109,Q2,342393.00
1231,聯華食,109,Q3,517805.00
1232,大統益,109,Q3,839547.00
1232,大統益,109,Q4,2057038.00
1232,大統益,109,Q1,-270087.00
1232,大統益,109,Q2,232328.00
1233,天仁,109,Q3,196382.00
1233,天仁,109,Q1,65774.00
1233,天仁,109,Q4,245879.00
1233,天仁,109,Q2,82490.00
1234,黑松,109,Q4,1432800.00
1234,黑松,109,Q1,50653.00
1234,黑松,109,Q3,759419.00
1234,黑松,109,Q2,339510.00
1235,興泰,109,Q2,-26390.00
1235,興泰,109,Q4,134987.00
1235,興泰,109,Q1,-13703.00
1235,興泰,109,Q3,75142.00
1236,宏亞,109,Q2,64738.00
1236,宏亞,109,Q3,143834.00
1236,宏亞,109,Q1,-17825.00
1236,宏亞,109,Q4,226805.00
1240,茂生農經,109,Q3,128874.00
1240,茂生農經,109,Q2,119549.00
1240,茂生農經,109,Q4,155071.00
1240,茂生農經,109,Q1,-17215.00
1256,鮮活果汁-KY,109,Q2,307946.00
1256,鮮活果汁-KY,109,Q3,662324.00
1256,鮮活果汁-KY,109,Q1,18627.00
1256,鮮活果汁-KY,109,Q4,864088.00
1259,安心,109,Q4,892125.00
1259,安心,109,Q1,99376.00
1259,安心,109,Q2,375402.00
1259,安心,109,Q3,659469.00
1264,德麥,109,Q4,675032.00
1264,德麥,109,Q3,430054.00
1264,德麥,109,Q1,121959.00
1264,德麥,109,Q2,259575.00
1268,漢來美食,109,Q4,622798.00
1268,漢來美食,109,Q3,355606.00
1268,漢來美食,109,Q1,-100736.00
1268,漢來美食,109,Q2,-27869.00
1294,漢田生技,109,Q4,110836.00
1301,台塑,109,Q3,21609826.00
1301,台塑,109,Q2,5988603.00
1301,台塑,109,Q1,-1953189.00
1301,台塑,109,Q4,31444453.00
1303,南亞,109,Q1,5019312.00
1303,南亞,109,Q3,28380802.00
1303,南亞,109,Q2,13344421.00
1303,南亞,109,Q4,41633569.00
1304,台聚,109,Q1,2560022.00
1304,台聚,109,Q3,7852952.00
1304,台聚,109,Q4,10815721.00
1304,台聚,109,Q2,5135883.00
1305,華夏,109,Q1,112700.00
