代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101B,台泥乙特,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.75,0.0,0.0,350000000,0.0,0.0,0.0,0
1101B,台泥乙特,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.75,0.0,0.0,350000000,0.0,0.0,0.0,0
1101,台泥,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,3.5,0.0,0.0,20594434165,0.0,0.0,0.0,0
1101,台泥,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,3.5,0.0,0.0,20594434165,0.0,0.0,0.0,0
1101B,台泥乙特,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,1.75,0.0,0.0,350000000,0.0,0.0,0.0,0
1101,台泥,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,3.5,0.0,0.0,20594434165,0.0,0.0,0.0,0
1102,亞泥,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,3.55,0.0,0.0,11933137553,0.0,0.0,0.0,0
1102,亞泥,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,3.55,0.0,0.0,11933137553,0.0,0.0,0.0,0
1102,亞泥,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,3.55,0.0,0.0,11933137553,0.0,0.0,0.0,0
1103,嘉泥,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,1079560367,0.0,0.0,0.0,0
1103,嘉泥,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,1079560367,0.0,0.0,0.0,0
1103,嘉泥,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,1079560367,0.0,0.0,0.0,0
1104,環泥,109,Y1,110/06/28,109/01/01~109/12/31,股東會確認,1.1,0.0,0.0,718970111,0.0,0.0,0.0,0
1104,環泥,109,Y1,110/06/28,109/01/01~109/12/31,股東會確認,1.1,0.0,0.0,718970111,0.0,0.0,0.0,0
1104,環泥,109,Y1,110/06/28,109/01/01~109/12/31,股東會確認,1.1,0.0,0.0,718970111,0.0,0.0,0.0,0
1108,幸福,109,H2,110/06/16,109/07/01~109/12/31,股東會確認,0.7,0.0,0.0,283316634,0.0,0.0,0.0,0
1108,幸福,109,H2,110/06/16,109/07/01~109/12/31,股東會確認,0.7,0.0,0.0,283316634,0.0,0.0,0.0,0
1108,幸福,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1108,幸福,109,H2,110/06/16,109/07/01~109/12/31,股東會確認,0.7,0.0,0.0,283316634,0.0,0.0,0.0,0
1108,幸福,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1108,幸福,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1109,信大,109,Y1,110/06/24,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,512936802,0.0,0.0,0.0,0
1109,信大,109,Y1,110/06/24,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,512936802,0.0,0.0,0.0,0
1109,信大,109,Y1,110/06/24,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,512936802,0.0,0.0,0.0,0
1110,東泥,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,0.1,0.0,0.0,57200079,0.0,0.0,0.0,0
1110,東泥,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,0.1,0.0,0.0,57200079,0.0,0.0,0.0,0
1110,東泥,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,0.1,0.0,0.0,57200079,0.0,0.0,0.0,0
1201,味全,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.53,0.0,0.0,268213344,0.0,0.0,0.0,0
1201,味全,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.53,0.0,0.0,268213344,0.0,0.0,0.0,0
1201,味全,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.53,0.0,0.0,268213344,0.0,0.0,0.0,0
1203,味王,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,1.1,0.0,0.0,264000000,0.0,0.0,0.0,0
1203,味王,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,1.1,0.0,0.0,264000000,0.0,0.0,0.0,0
1203,味王,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,1.1,0.0,0.0,264000000,0.0,0.0,0.0,0
1210,大成,109,Y1,110/06/11,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,2.7,0.0,0.0,2233815532,0.3,0.0,0.0,24820173
1210,大成,109,Y1,110/06/11,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,2.7,0.0,0.0,2233815532,0.3,0.0,0.0,24820173
1210,大成,109,Y1,110/06/11,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,2.7,0.0,0.0,2233815532,0.3,0.0,0.0,24820173
1213,大飲,109,Y1,110/06/07,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1213,大飲,109,Y1,110/06/07,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1213,大飲,109,Y1,110/06/07,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1215,卜蜂,109,Y1,不適用,109/01/01~109/12/31,董事會決議,4.5,0.0,0.0,1205959491,0.0,0.0,0.0,0
1215,卜蜂,109,Y1,不適用,109/01/01~109/12/31,董事會決議,4.5,0.0,0.0,1205959491,0.0,0.0,0.0,0
1215,卜蜂,109,Y1,不適用,109/01/01~109/12/31,董事會決議,4.5,0.0,0.0,1205959491,0.0,0.0,0.0,0
1216,統一,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,2.7,0.0,0.0,15341441637,0.0,0.0,0.0,0
1216,統一,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,2.7,0.0,0.0,15341441637,0.0,0.0,0.0,0
1216,統一,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,2.7,0.0,0.0,15341441637,0.0,0.0,0.0,0
1217,愛之味,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1217,愛之味,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1217,愛之味,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1218,泰山,109,Y1,110/05/27,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,699998653,0.0,0.0,0.0,0
1218,泰山,109,Y1,110/05/27,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,699998653,0.0,0.0,0.0,0
1218,泰山,109,Y1,110/05/27,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,699998653,0.0,0.0,0.0,0
1219,福壽,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,321649887,0.0,0.0,0.0,0
1219,福壽,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,321649887,0.0,0.0,0.0,0
1219,福壽,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,321649887,0.0,0.0,0.0,0
1220,台榮,109,Y1,110/06/29,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,177077944,0.0,0.0,0.0,0
1220,台榮,109,Y1,110/06/29,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,177077944,0.0,0.0,0.0,0
1220,台榮,109,Y1,110/06/29,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,177077944,0.0,0.0,0.0,0
1225,福懋油,109,Y1,110/06/24,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,306184272,0.0,0.0,0.0,0
1225,福懋油,109,Y1,110/06/24,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,306184272,0.0,0.0,0.0,0
1225,福懋油,109,Y1,110/06/24,109/01/01~109/12/31,股東會確認,1.4,0.0,0.0,306184272,0.0,0.0,0.0,0
1227,佳格,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,2287723978,0.0,0.0,0.0,0
1227,佳格,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,2287723978,0.0,0.0,0.0,0
1227,佳格,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,2.5,0.0,0.0,2287723978,0.0,0.0,0.0,0
1229,聯華,109,Y1,110/06/22,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,1.7,0.0,0.0,2178546966,1.0,0.0,0.0,128149821
1229,聯華,109,Y1,110/06/22,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,1.7,0.0,0.0,2178546966,1.0,0.0,0.0,128149821
1229,聯華,109,Y1,110/06/22,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,1.7,0.0,0.0,2178546966,1.0,0.0,0.0,128149821
1231,聯華食,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.6,0.0,0.0,293320259,1.0,0.0,0.0,18332517
1231,聯華食,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.6,0.0,0.0,293320259,1.0,0.0,0.0,18332517
1231,聯華食,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.6,0.0,0.0,293320259,1.0,0.0,0.0,18332517
1232,大統益,109,Y1,110/06/09,109/01/01~109/12/31,股東會確認,6.0,0.0,0.0,959849490,0.0,0.0,0.0,0
1232,大統益,109,Y1,110/06/09,109/01/01~109/12/31,股東會確認,6.0,0.0,0.0,959849490,0.0,0.0,0.0,0
1232,大統益,109,Y1,110/06/09,109/01/01~109/12/31,股東會確認,6.0,0.0,0.0,959849490,0.0,0.0,0.0,0
1233,天仁,109,Y1,110/06/10,109/01/01~109/12/31,股東會確認,0.6,0.0,0.2,72473558,0.0,0.0,0.0,0
1233,天仁,109,Y1,110/06/10,109/01/01~109/12/31,股東會確認,0.6,0.0,0.2,72473558,0.0,0.0,0.0,0
1233,天仁,109,Y1,110/06/10,109/01/01~109/12/31,股東會確認,0.6,0.0,0.2,72473558,0.0,0.0,0.0,0
1234,黑松,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.8,0.0,0.0,723367969,0.0,0.0,0.0,0
1234,黑松,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.8,0.0,0.0,723367969,0.0,0.0,0.0,0
1234,黑松,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.8,0.0,0.0,723367969,0.0,0.0,0.0,0
1235,興泰,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,156596977,0.0,0.0,0.0,0
1235,興泰,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,156596977,0.0,0.0,0.0,0
1235,興泰,109,Y1,110/06/17,109/01/01~109/12/31,股東會確認,1.5,0.0,0.0,156596977,0.0,0.0,0.0,0
1236,宏亞,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.2,0.0,0.0,21668502,0.0,0.0,0.0,0
1236,宏亞,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.2,0.0,0.0,21668502,0.0,0.0,0.0,0
1236,宏亞,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.2,0.0,0.0,21668502,0.0,0.0,0.0,0
1240,茂生農經,109,Y1,110/06/21,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,70019400,0.5,0.0,0.0,1750485
1240,茂生農經,109,Y1,110/06/21,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,70019400,0.5,0.0,0.0,1750485
