代號,名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101,台泥,113,Q2,239362656.0,,,171878544.0,,92784347.0,193528227.0,57825050.0,30.96
1101,台泥,113,Q4,248097494.0,,,173380580.0,,86373382.0,199132001.0,59810770.0,32.09
1101,台泥,113,Q3,246909945.0,,,171245549.0,,85893664.0,197210153.0,56473777.0,31.94
1101,台泥,113,Q1,238925148.0,,,176118197.0,,83624804.0,188434804.0,57002207.0,30.9
1102,亞泥,113,Q4,181347447.0,,,116609749.0,,79652998.0,47322542.0,23504237.0,51.13
1102,亞泥,113,Q3,177752368.0,,,113444327.0,,77548186.0,50505442.0,22985601.0,50.12
1102,亞泥,113,Q1,170738338.0,,,126200652.0,,88921160.0,61862679.0,23453981.0,48.14
1102,亞泥,113,Q2,177784409.0,,,124423684.0,,84680479.0,56375010.0,23210205.0,50.13
1103,嘉泥,113,Q3,21712094.0,,,10246779.0,,2454258.0,11091088.0,746040.0,32.88
1103,嘉泥,113,Q2,21342019.0,,,10827742.0,,3473125.0,10758395.0,728449.0,32.39
1103,嘉泥,113,Q1,20862006.0,,,10562877.0,,2861263.0,11141016.0,703589.0,31.66
1103,嘉泥,113,Q4,20881663.0,,,9848540.0,,2925659.0,10562664.0,708094.0,31.62
1104,環泥,113,Q1,22760563.0,,,6635033.0,,3607841.0,1418554.0,786501.0,33.81
1104,環泥,113,Q3,23286571.0,,,6680330.0,,3625437.0,1387663.0,774949.0,33.91
1104,環泥,113,Q4,23656756.0,,,7179390.0,,3799190.0,1372753.0,798807.0,34.45
1104,環泥,113,Q2,22502461.0,,,7415382.0,,4558247.0,1398487.0,770448.0,33.43
1108,幸福,113,Q2,4926373.0,,,5854257.0,,3958201.0,1150623.0,67.0,12.17
1108,幸福,113,Q1,4780856.0,,,5802834.0,,3680966.0,1417812.0,67.0,11.81
1108,幸福,113,Q3,5040085.0,,,5810858.0,,4034244.0,1026119.0,67.0,12.45
1108,幸福,113,Q4,5185678.0,,,5998794.0,,4163555.0,1081968.0,66.0,12.81
1109,信大,113,Q4,8298713.0,,,6377807.0,,911464.0,165976.0,1903081.0,24.33
1109,信大,113,Q1,8294409.0,,,6660394.0,,1200617.0,139179.0,1889007.0,24.31
1109,信大,113,Q2,8100709.0,,,6749081.0,,1520339.0,119365.0,1844503.0,23.74
1109,信大,113,Q3,8216935.0,,,6227525.0,,857321.0,157845.0,1884460.0,24.09
1110,東泥,113,Q2,9093886.0,,,2736307.0,,2066813.0,1116406.0,127819.0,15.96
1110,東泥,113,Q4,9415851.0,,,2954008.0,,1977822.0,1178162.0,150102.0,16.52
1110,東泥,113,Q1,9032099.0,,,2651878.0,,1846642.0,1073142.0,118285.0,15.85
1110,東泥,113,Q3,9345479.0,,,2810611.0,,1905948.0,1160678.0,140755.0,16.4
1201,味全,113,Q2,7533290.0,,,6729345.0,,7186689.0,3309862.0,7503.0,14.89
1201,味全,113,Q4,7725640.0,,,6404977.0,,6163936.0,3723450.0,8056.0,15.27
1201,味全,113,Q1,7399142.0,,,6493324.0,,7021712.0,3380252.0,8286.0,14.62
1201,味全,113,Q3,7643175.0,,,6862541.0,,7070007.0,3288153.0,7726.0,15.1
1203,味王,113,Q3,5982918.0,,,4671234.0,,2066531.0,1349083.0,933992.0,25.17
1203,味王,113,Q4,6179471.0,,,4635296.0,,1725174.0,1343183.0,1031067.0,26.0
1203,味王,113,Q2,5779731.0,,,4339632.0,,2050285.0,1326561.0,789122.0,24.31
1203,味王,113,Q1,5910084.0,,,4752926.0,,1862910.0,1500234.0,1056229.0,24.86
1210,大成,113,Q1,22960469.0,,,28993352.0,,30215111.0,3696298.0,8726965.0,27.2
1210,大成,113,Q4,25650283.0,,,31296031.0,,32027413.0,4207074.0,8870400.0,30.33
1210,大成,113,Q2,23409028.0,,,28575712.0,,30421785.0,3593912.0,8847746.0,27.68
1210,大成,113,Q3,24650388.0,,,29541586.0,,31058028.0,3691890.0,8365622.0,29.15
1213,大飲,113,Q1,202671.0,,,54989.0,,567236.0,47140.0,,3.58
1213,大飲,113,Q3,184647.0,,,566806.0,,735181.0,35709.0,,3.26
1213,大飲,113,Q4,720438.0,,,361486.0,,74498.0,1103.0,,12.72
1213,大飲,113,Q2,202602.0,,,60911.0,,181355.0,427262.0,,3.58
1215,卜蜂,113,Q4,10684458.0,,,7607427.0,,9299721.0,9036511.0,443116.0,36.24
1215,卜蜂,113,Q3,10219166.0,,,8557414.0,,9732339.0,9427761.0,448131.0,34.67
1215,卜蜂,113,Q2,9252717.0,,,8162588.0,,9826600.0,8907279.0,462929.0,31.39
1215,卜蜂,113,Q1,9955054.0,,,7940761.0,,8002314.0,8824088.0,520758.0,33.77
1216,統一,113,Q4,135200351.0,,,237275177.0,,242798727.0,257633825.0,74318243.0,23.79
1216,統一,113,Q2,124139337.0,,,231742380.0,,249683347.0,246618996.0,68213128.0,21.85
1216,統一,113,Q3,129851116.0,,,239446752.0,,253714575.0,249675841.0,71677108.0,22.85
1216,統一,113,Q1,134042267.0,,,221252566.0,,221155812.0,245206702.0,74414978.0,23.59
1217,愛之味,113,Q1,7037438.0,,,2676453.0,,2936428.0,3684975.0,777417.0,14.23
1217,愛之味,113,Q2,7474370.0,,,2922518.0,,3143010.0,3574319.0,782343.0,15.11
1217,愛之味,113,Q3,7529718.0,,,3161260.0,,3474519.0,3463421.0,787203.0,15.23
1217,愛之味,113,Q4,7540724.0,,,2775178.0,,3039709.0,3496807.0,790756.0,15.25
1218,泰山,113,Q3,12710067.0,,,6284323.0,,1538514.0,437481.0,5283.0,26.14
1218,泰山,113,Q2,12464111.0,,,5889837.0,,1360375.0,236034.0,5389.0,25.63
1218,泰山,113,Q1,12239030.0,,,5723172.0,,1412128.0,238775.0,5510.0,25.17
1218,泰山,113,Q4,12810524.0,,,6258367.0,,1394736.0,433662.0,5489.0,26.34
1219,福壽,113,Q2,4480715.0,,,5718306.0,,3810818.0,1851059.0,94532.0,13.52
1219,福壽,113,Q1,4585492.0,,,5371079.0,,3491348.0,1734426.0,50997.0,13.84
1219,福壽,113,Q4,4555687.0,,,5422434.0,,3198773.0,2190876.0,61004.0,13.35
1219,福壽,113,Q3,4495894.0,,,5362817.0,,3364302.0,1938824.0,76587.0,13.18
1220,台榮,113,Q4,2445379.0,,,2140250.0,,614021.0,197750.0,220903.0,13.86
1220,台榮,113,Q2,2375493.0,,,1910689.0,,400343.0,244212.0,202677.0,13.47
1220,台榮,113,Q1,2371097.0,,,1876458.0,,386050.0,216877.0,222029.0,13.44
1220,台榮,113,Q3,2435603.0,,,1972890.0,,481667.0,185531.0,205742.0,13.81
1225,福懋油,113,Q2,3405199.0,,,4728673.0,,3321836.0,1346088.0,414952.0,14.83
1225,福懋油,113,Q1,3589766.0,,,4381627.0,,2646160.0,1534005.0,430378.0,15.63
1225,福懋油,113,Q4,3543573.0,,,6292151.0,,4770662.0,1259346.0,442029.0,15.43
1225,福懋油,113,Q3,3472741.0,,,4943050.0,,3576070.0,1214694.0,427225.0,15.12
1227,佳格,113,Q4,18412497.0,,,19414090.0,,8277273.0,425878.0,314003.0,20.27
1227,佳格,113,Q3,17771871.0,,,18890640.0,,8268389.0,476381.0,303046.0,19.56
1227,佳格,113,Q2,17321417.0,,,18503992.0,,8900353.0,357539.0,282677.0,19.07
1227,佳格,113,Q1,18098165.0,,,17673793.0,,7364615.0,382068.0,306503.0,19.92
1229,聯華,113,Q3,47848033.0,,,16595626.0,,14851590.0,4044582.0,20224178.0,28.09
1229,聯華,113,Q4,52387504.0,,,15965077.0,,14212842.0,4089844.0,21412683.0,30.75
1229,聯華,113,Q2,47333891.0,,,18788009.0,,16948711.0,4023612.0,20332032.0,30.01
1229,聯華,113,Q1,48058414.0,,,16350326.0,,15679589.0,3985189.0,21819800.0,30.47
1231,聯華食,113,Q3,6114433.0,,,5477654.0,,4019829.0,3747195.0,18793.0,22.54
1231,聯華食,113,Q2,5878474.0,,,5930556.0,,4460181.0,3862690.0,18497.0,23.83
1231,聯華食,113,Q4,6539360.0,,,5737009.0,,3543217.0,4126215.0,17769.0,24.1
1231,聯華食,113,Q1,6055041.0,,,5731486.0,,3728455.0,3852676.0,18376.0,24.55
1232,大統益,113,Q3,5310211.0,,,6373934.0,,2181152.0,1266504.0,161347.0,33.19
1232,大統益,113,Q1,5680945.0,,,6243318.0,,1478157.0,984571.0,167619.0,35.51
1232,大統益,113,Q4,5683883.0,,,6496671.0,,2026248.0,1240278.0,174728.0,35.53
1232,大統益,113,Q2,5051514.0,,,6652385.0,,2665946.0,1302181.0,146697.0,31.58
1233,天仁,113,Q3,1410449.0,,,690630.0,,562991.0,273606.0,4117.0,15.58
1233,天仁,113,Q1,1377290.0,,,726308.0,,631780.0,304132.0,3720.0,15.21
1233,天仁,113,Q2,1456167.0,,,698815.0,,580217.0,295165.0,3790.0,16.08
1233,天仁,113,Q4,1458420.0,,,732988.0,,594577.0,301846.0,3203.0,16.11
1234,黑松,113,Q2,18313043.0,,,8693440.0,,2791089.0,2379751.0,0.0,45.57
